colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,newLabel,replaces
,,,,,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,Community,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,,NA,category,,,,,
,,,tr::block,tr,http://purl.obolibrary.org/obo/EUPATH_0035026,Randomization block,"Each randomization block was made up of 9 adjacent clusters that were pair-matched by geography. Each cluster within the randomization block was randomly allocated to one of 7 intervention arms, including 2 clusters randomly allocated to the control arm.",Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,Randomization block,,variable,,,,,
,,,tr::clusterid,tr,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,The unit of randomization. A cluster consisted of 1 or more administrative villages. Two or more neighboring villages may be combined to create 1 cluster as long as the cluster of villages had at least 8 eligible pregnant women and shared a border.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,Cluster ID,,variable,,,,,
,,,tr::tr,tr,http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,"The actual randomized, blinded intervention assigned to the cluster.",Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,Randomized treatment assignment,"1. Control,
2. Water,
3. Sanitation,
4. Handwashing,
5. WSH,
6. Nutrition,
7. Nutrition + WSH,
8. Passive Control",variable,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,Community,,http://www.w3.org/2002/07/owl#Thing,,NA,category,,,,,
,,,anthro_1::bicycle,anthro_1,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",value,,,,,
,,,anthro_2::bicycle,anthro_2,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",value,,,,,
,,,diar::bicycle,diar,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",value,,,,,
,,,anthro_1::car,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No car,
1. Has car,
9. Missing/DK",value,,,,,
,,,anthro_2::car,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No car,
1. Has car,
9. Missing/DK",value,,,,,
,,,diar::car,diar,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No car,
1. Has car,
9. Missing/DK",value,,,,,
,,,anthro_1::clock,anthro_1,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No clock,
1. Has clock,
9. Missing/DK",value,,,,,
,,,anthro_2::clock,anthro_2,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No clock,
1. Has clock,
9. Missing/DK",value,,,,,
,,,diar::clock,diar,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No clock,
1. Has clock,
9. Missing/DK",value,,,,,
,,,anthro_1::cooker,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037014,Gas range,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",value,,,,,
,,,anthro_2::cooker,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037014,Gas range,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",value,,,,,
,,,diar::cooker,diar,http://purl.obolibrary.org/obo/EUPATH_0037014,Gas range,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",value,,,,,
,,,anthro_1::elec,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No electricity,
1. Has electricity,
9. Missing/DK",value,,,,,
,,,anthro_2::elec,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No electricity,
1. Has electricity,
9. Missing/DK",value,,,,,
,,,diar::elec,diar,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No electricity,
1. Has electricity,
9. Missing/DK",value,,,,,
,,,anthro_1::mobilephone,anthro_1,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",value,,,,,
,,,anthro_2::mobilephone,anthro_2,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",value,,,,,
,,,diar::mobilephone,diar,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No mobile phone,
1. Any mobile phones,
9. Missing/DK",value,,,,,
,,,anthro_1::motorcycle,anthro_1,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",value,,,,,
,,,anthro_2::motorcycle,anthro_2,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",value,,,,,
,,,diar::motorcycle,diar,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No motorcycle,
1. Has motorcycle,
9. Missing/DK",value,,,,,
,,,anthro_1::radio,anthro_1,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No radio,
1. Has radio,
9. Missing/DK",value,,,,,
,,,anthro_2::radio,anthro_2,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No radio,
1. Has radio,
9. Missing/DK",value,,,,,
,,,diar::radio,diar,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No radio,
1. Has radio,
9. Missing/DK",value,,,,,
,,,anthro_1::stove,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037002,Stove,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No stove,
1. Has stove,
9. Missing/DK",value,,,,,
,,,anthro_2::stove,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037002,Stove,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No stove,
1. Has stove,
9. Missing/DK",value,,,,,
,,,diar::stove,diar,http://purl.obolibrary.org/obo/EUPATH_0037002,Stove,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No stove,
1. Has stove,
9. Missing/DK",value,,,,,
,,,anthro_1::tv,anthro_1,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No TV,
1. Owns TV,
9. Missing/DK",value,,,,,
,,,anthro_2::tv,anthro_2,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No TV,
1. Owns TV,
9. Missing/DK",value,,,,,
,,,diar::tv,diar,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No TV,
1. Owns TV,
9. Missing/DK",value,,,,,
,,,anthro_1::floor,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,"0. Earth/dung,
1. Cement/concrete,
9. Missing/DK",variable,,,,,
,,,anthro_2::floor,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,"0. Earth/dung,
1. Cement/concrete,
9. Missing/DK",variable,,,,,
,,,diar::floor,diar,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,"0. Earth/dung,
1. Concrete,
9. Missing/DK",variable,,,,,
,,,anthro_1::roof,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",variable,,,,,
,,,anthro_2::roof,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",variable,,,,,
,,,diar::roof,diar,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",variable,,,,,
,,,anthro_1::walls,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0025167,Wall material type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,"0. Bamboo/mud/cane,
1. Concrete,
9. Missing/DK",variable,,,,,
,,,anthro_2::walls,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0025167,Wall material type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,"0. Bamboo/mud/cane,
1. Concrete,
9. Missing/DK",variable,,,,,
,,,diar::walls,diar,http://purl.obolibrary.org/obo/EUPATH_0025167,Wall material type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,"0. Bamboo/mud/cane,
1. Concrete,
9. Missing/DK",variable,,,,,
,,,uptake_0::promoter,uptake_0,http://purl.obolibrary.org/obo/EUPATH_0037009,Promoter visit,"Whether the household was visited by a local health promoter in the past month to encourage the family to adopt the new behaviors. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,variable,,,,,
,,,uptake_1::promoter,uptake_1,http://purl.obolibrary.org/obo/EUPATH_0037009,Promoter visit,"Whether the household was visited by a local health promoter in the past month to encourage the family to adopt the new behaviors. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,variable,,,,,
,,,uptake_2::promoter,uptake_2,http://purl.obolibrary.org/obo/EUPATH_0037009,Promoter visit,"Whether the household was visited by a local health promoter in the past month to encourage the family to adopt the new behaviors. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,variable,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,,NA,category,,,,,
,,,tr::country,tr,http://purl.obolibrary.org/obo/ENVO_00000004,Country,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Country,,"variable, derived",,,,,
,,,anthro_1::time,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,variable,,,,,
,,,anthro_2::time,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,variable,,,,,
,,,diar::time,diar,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,variable,,,,,
