colOrder,variable,dataFile,IRI,label,displayOrder,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
23,cdc lt database::fedfunes,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000192,Bloodfed Anopheles funestus count,3,,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Total blood fed An. funestus,,variable,
17,cdc lt database::totalfunestus,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000136,Female Anopheles funestus count,1,,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Total number of female An. funestus collected,,variable,
25,cdc lt database::gravidfunes,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000197,Gravid Anopheles funestus count,2,,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Total gravid/semigravid An. funestus,,variable,
26,cdc lt database::funableassess,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000202,Unable to assess Anopheles funestus count,5,,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Total An. funestus unable to assess,,variable,
24,cdc lt database::unfedfunes,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000204,Unfed Anopheles funestus count,4,,Entomology,Anopheles funestus results,http://purl.obolibrary.org/obo/EUPATH_0000322,Total unfed An. funestus,,variable,
19,cdc lt database::fedgamb,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000193,Bloodfed Anopheles gambiae count,3,,Entomology,Anopheles gambiae sl results,http://purl.obolibrary.org/obo/EUPATH_0000323,Total blood fed An. gambiae,,variable,
16,cdc lt database::totalgambiae,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000137,Female Anopheles gambiae count,1,,Entomology,Anopheles gambiae sl results,http://purl.obolibrary.org/obo/EUPATH_0000323,Total number of female An. gambiae collected,,variable,
21,cdc lt database::gravidgambie,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000198,Gravid Anopheles gambiae count,2,,Entomology,Anopheles gambiae sl results,http://purl.obolibrary.org/obo/EUPATH_0000323,Total gravid/semigravid An. gambiae,,variable,
22,cdc lt database::gunableassess,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000203,Unable to assess Anopheles gambiae count,5,,Entomology,Anopheles gambiae sl results,http://purl.obolibrary.org/obo/EUPATH_0000323,Total An. gambiae unable to assess,,variable,
20,cdc lt database::unfedgamb,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000205,Unfed Anopheles gambiae count,4,,Entomology,Anopheles gambiae sl results,http://purl.obolibrary.org/obo/EUPATH_0000323,Total unfed An. gambiae,,variable,
31,cdc lt database::discparity,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000194,Anopheles dissected for parity (count),,,Entomology,Anopheles parity,http://purl.obolibrary.org/obo/EUPATH_0000324,Number of mosquitoes disected for parity,,variable,
33,cdc lt database::nulliparous,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000195,Anopheles nulliparous (count),,,Entomology,Anopheles parity,http://purl.obolibrary.org/obo/EUPATH_0000324,Number of nulliparous mosquitoes,,variable,
32,cdc lt database::parous,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000196,Anopheles parous (count),,,Entomology,Anopheles parity,http://purl.obolibrary.org/obo/EUPATH_0000324,Number of parous mosquitoes,,variable,
,,,http://purl.obolibrary.org/obo/EUPATH_0000322,Anopheles funestus results,1,,Entomology,Anopheles results,http://purl.obolibrary.org/obo/EUPATH_0025053,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0000323,Anopheles gambiae sl results,2,,Entomology,Anopheles results,http://purl.obolibrary.org/obo/EUPATH_0025053,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0000324,Anopheles parity,9,,Entomology,Anopheles results,http://purl.obolibrary.org/obo/EUPATH_0025053,,,category,
27,cdc lt database::fedanoph,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0020082,Bloodfed other Anopheles species count,6,,Entomology,Anopheles results,http://purl.obolibrary.org/obo/EUPATH_0025053,Total blood fed other An.,,variable,
