"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI","hidden"
"http://purl.obolibrary.org/obo/EUPATH_0000327","Entomology","","","","","Entomology","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","yes"
"http://purl.obolibrary.org/obo/EUPATH_0000192","Bloodfed Anopheles funestus count","3","cdc lt database::fedfunes","cdc lt database","","Entomology","Anopheles funestus results","http://purl.obolibrary.org/obo/EUPATH_0000322","Total blood fed An. funestus","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000136","Female Anopheles funestus count","1","cdc lt database::totalfunestus","cdc lt database","","Entomology","Anopheles funestus results","http://purl.obolibrary.org/obo/EUPATH_0000322","Total number of female An. funestus collected","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000197","Gravid Anopheles funestus count","2","cdc lt database::gravidfunes","cdc lt database","","Entomology","Anopheles funestus results","http://purl.obolibrary.org/obo/EUPATH_0000322","Total gravid/semigravid An. funestus","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000202","Unable to assess Anopheles funestus count","5","cdc lt database::funableassess","cdc lt database","","Entomology","Anopheles funestus results","http://purl.obolibrary.org/obo/EUPATH_0000322","Total An. funestus unable to assess","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000204","Unfed Anopheles funestus count","4","cdc lt database::unfedfunes","cdc lt database","","Entomology","Anopheles funestus results","http://purl.obolibrary.org/obo/EUPATH_0000322","Total unfed An. funestus","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000193","Bloodfed Anopheles gambiae count","3","cdc lt database::fedgamb","cdc lt database","","Entomology","Anopheles gambiae sl results","http://purl.obolibrary.org/obo/EUPATH_0000323","Total blood fed An. gambiae","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000137","Female Anopheles gambiae count","1","cdc lt database::totalgambiae","cdc lt database","","Entomology","Anopheles gambiae sl results","http://purl.obolibrary.org/obo/EUPATH_0000323","Total number of female An. gambiae collected","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000198","Gravid Anopheles gambiae count","2","cdc lt database::gravidgambie","cdc lt database","","Entomology","Anopheles gambiae sl results","http://purl.obolibrary.org/obo/EUPATH_0000323","Total gravid/semigravid An. gambiae","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000203","Unable to assess Anopheles gambiae count","5","cdc lt database::gunableassess","cdc lt database","","Entomology","Anopheles gambiae sl results","http://purl.obolibrary.org/obo/EUPATH_0000323","Total An. gambiae unable to assess","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000205","Unfed Anopheles gambiae count","4","cdc lt database::unfedgamb","cdc lt database","","Entomology","Anopheles gambiae sl results","http://purl.obolibrary.org/obo/EUPATH_0000323","Total unfed An. gambiae","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000194","Anopheles dissected for parity (count)","","cdc lt database::discparity","cdc lt database","","Entomology","Anopheles parity","http://purl.obolibrary.org/obo/EUPATH_0000324","Number of mosquitoes disected for parity","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000195","Anopheles nulliparous (count)","","cdc lt database::nulliparous","cdc lt database","","Entomology","Anopheles parity","http://purl.obolibrary.org/obo/EUPATH_0000324","Number of nulliparous mosquitoes","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000196","Anopheles parous (count)","","cdc lt database::parous","cdc lt database","","Entomology","Anopheles parity","http://purl.obolibrary.org/obo/EUPATH_0000324","Number of parous mosquitoes","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000322","Anopheles funestus results","1","","","","Entomology","Anopheles results","http://purl.obolibrary.org/obo/EUPATH_0025053","","","category","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000323","Anopheles gambiae sl results","2","","","","Entomology","Anopheles results","http://purl.obolibrary.org/obo/EUPATH_0025053","","","category","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000324","Anopheles parity","9","","","","Entomology","Anopheles results","http://purl.obolibrary.org/obo/EUPATH_0025053","","","category","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020082","Bloodfed other Anopheles species count","6","cdc lt database::fedanoph","cdc lt database","","Entomology","Anopheles results","http://purl.obolibrary.org/obo/EUPATH_0025053","Total blood fed other An.","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000135","Female Anopheles count","3","cdc lt database::totalanopheles","cdc lt database","Total number of female anopheles caught in light trap","Entomology","Anopheles results","http://purl.obolibrary.org/obo/EUPATH_0025053","Total number of female anopheles collected","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020086","Gravid/semigravid other Anopheles species count","5","cdc lt database::gravidanoph","cdc lt database","","Entomology","Anopheles results","http://purl.obolibrary.org/obo/EUPATH_0025053","Total gravid/semigravid other An.","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000200","Other female Anopheles species count","4","cdc lt database::totalother","cdc lt database","","Entomology","Anopheles results","http://purl.obolibrary.org/obo/EUPATH_0025053","Total number of other female An. collected","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020188","Unable to assess other Anopheles species count","8","cdc lt database::unableassessanoph","cdc lt database","","Entomology","Anopheles results","http://purl.obolibrary.org/obo/EUPATH_0025053","Total other An. unable to assess","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020197","Unfed other Anopheles species count","7","cdc lt database::unfedanoph","cdc lt database","","Entomology","Anopheles results","http://purl.obolibrary.org/obo/EUPATH_0025053","Total unfed other An.","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020210","Culex count","","cdc lt database::culex","cdc lt database","","Entomology","Culex results","http://purl.obolibrary.org/obo/EUPATH_0025056","Number of Culex mosquitoes","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0025053","Anopheles results","","","","","Entomology","Entomology","http://purl.obolibrary.org/obo/EUPATH_0000327","","","category","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0025056","Culex results","","","","","Entomology","Entomology","http://purl.obolibrary.org/obo/EUPATH_0000327","","","category","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0025170","Entomology collection","","","","","Entomology","Entomology","http://purl.obolibrary.org/obo/EUPATH_0000327","","","category","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020003","Collection date","1","cdc lt database::date","cdc lt database","","Entomology","Entomology collection","http://purl.obolibrary.org/obo/EUPATH_0025170","Date of LT collection","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020178","Collection room number","2","cdc lt database::roomnumm","cdc lt database","","Entomology","Entomology collection","http://purl.obolibrary.org/obo/EUPATH_0025170","Room number trap set","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0028001","Collection week","3","cdc lt database::week","cdc lt database","","Entomology","Entomology collection","http://purl.obolibrary.org/obo/EUPATH_0025170","Study week of LT collection","","variable","","","",""
"http://purl.obolibrary.org/obo/PCO_0000024","Household","","","","","Household","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","yes"
"http://purl.obolibrary.org/obo/EUPATH_0000167","Bank account","","household survey household level data_final::bankacco","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does any member of your household own or have a  bank account?","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_00000501","Bed","","household survey household level data_final::bed","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does your household have a bed?","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000614","Bicycle","","household survey household level data_final::bicycle","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does any member of your household own or have a  bicycle?","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000179","Boat with a motor","","household survey household level data_final::mboat","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does any member of your household own or have a  boat with a motor?","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000170","Boat without a motor","","household survey household level data_final::nomboat","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does any member of your household own or have a  boat without a  motor?","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000171","Car or truck","","household survey household level data_final::car","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does any member of your household own or have a  car or truck?","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000578","Cassette player","","household survey household level data_final::cassette","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does your household have a cassette player?","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000586","Chair","","household survey household level data_final::chair","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does your household have chairs?","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000596","Clock","","household survey household level data_final::clock","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does your household have a clock?","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000595","Cupboard","","household survey household level data_final::cupboard","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does your household have a cupboard?","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0044107","Desktop computer","","household survey household level data_final::desktop","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Desktop","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0021084","Electricity","","household survey household level data_final::electricity","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does your household have electricity?","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020205","Internet device","","household survey household level data_final::internet","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does any member of your household own or have a  device that can be used to acce","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0044108","Laptop computer","","household survey household level data_final::laptop","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Laptop","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000581","Mobile phone","","household survey household level data_final::mobile","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does any member of your household own or have a mobile phone?","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000615","Motorcycle or scooter","","household survey household level data_final::scooter","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does any member of your household own or have a  motorcycle or motor scooter?","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000577","Radio","","household survey household level data_final::radio","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does your household have a radio?","","value","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000583","Refrigerator","","household survey household level data_final::fridge","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Does your household have a refrigerator?","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0044109","Smartphone","","household survey household level data_final::smartphone","household survey household level data_final","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","Smartphone/Phone","","value","","","",""
