"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI","is_featured","hidden"
"http://purl.obolibrary.org/obo/PCO_0000024","Household","","","","","Household","","http://www.w3.org/2002/07/owl#Thing","","","","","","","","yes"
"http://purl.obolibrary.org/obo/ENVO_00000004","Country","","country_code","score_sm_cohort_ken_tan_march3_2020","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","Country code","","variable","","","","",""
"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","","","","","Household","Household","http://purl.obolibrary.org/obo/PCO_0000024","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0020097","Household administrative information","","","","","Household","Household","http://purl.obolibrary.org/obo/PCO_0000024","","","category","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0044175","Village study arm","","study_arm","score_sm_cohort_ken_tan_march3_2020","","Household","Household administrative information","http://purl.obolibrary.org/obo/EUPATH_0020097","Study arm","","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000738","Observation","","","","","Observation","","http://www.w3.org/2002/07/owl#Thing","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010075","Height","","hght","score_sm_cohort_ken_tan_march3_2020","Height","Participant","Anthropometry","http://purl.obolibrary.org/obo/EUPATH_0000649","Height measured using standardized technique (stadiometer)","","variable","","cm","http://purl.obolibrary.org/obo/UO_0000015","",""
"http://purl.obolibrary.org/obo/IAO_0000414","Weight","","wght","score_sm_cohort_ken_tan_march3_2020","","Participant","Anthropometry","http://purl.obolibrary.org/obo/EUPATH_0000649","Weight measured using standardized technique (calibrated scale)","","variable","EUPATH_0000732","kg","http://purl.obolibrary.org/obo/UO_0000009","",""
"http://purl.obolibrary.org/obo/EUPATH_0000090","Malaria diagnosis","3","malaria","score_sm_cohort_ken_tan_march3_2020","","Observation","Diagnosis","http://purl.obolibrary.org/obo/OGMS_0000073","Malaria blood smear test","","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","","","","","",""
"http://purl.obolibrary.org/obo/OGMS_0000073","Diagnosis","","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","","","","","Observation","Observation","http://purl.obolibrary.org/obo/EUPATH_0000738","","","","","","","",""
"http://purl.obolibrary.org/obo/OBI_0001508","Study timepoint","1","study_year","score_sm_cohort_ken_tan_march3_2020","5 year study with observations at year 1, 3 & 5.","Participant","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","Study year","","variable","","","","yes",""
"http://purl.obolibrary.org/obo/OBI_0001169","Age","2","age","score_sm_cohort_ken_tan_march3_2020","Age in years","Participant","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","Age of study participant","","variable","","days","http://purl.obolibrary.org/obo/UO_0000033","yes",""
"http://purl.obolibrary.org/obo/EUPATH_0000096","Participant","","","","","Participant","","http://www.w3.org/2002/07/owl#Thing","","","","","","","","yes"
"http://purl.obolibrary.org/obo/PATO_0000047","Sex","","sex","score_sm_cohort_ken_tan_march3_2020","Gender","Participant","Demographics","http://purl.obolibrary.org/obo/EUPATH_0010981","Sex of study participant","","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010035","Administrative information","","","","","Participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","","","","","Participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000609","Sample","","","","","Sample","","http://www.w3.org/2002/07/owl#Thing","","","","","","","","yes"
"http://purl.obolibrary.org/obo/EUPATH_0030115","Eukaryote in stool detection aggregate data","","","","","Sample","Aggregate organism in stool detection data","http://purl.obolibrary.org/obo/EUPATH_0030114","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030030","Any Hookworm, by microscopy","","hook_binary","score_sm_cohort_ken_tan_march3_2020","","Sample","Ancylostomatoidea in stool aggregate data","http://purl.obolibrary.org/obo/EUPATH_0030027","Hookworm infection: Presence or Absence","","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030031","Any Ascaris lumbricoides, by microscopy","","asc_binary","score_sm_cohort_ken_tan_march3_2020","Presence or absence of ascaris eggs","Sample","Ascaris in stool aggregate data","http://purl.obolibrary.org/obo/EUPATH_0030028","Ascaris infection: Presence or Absence","","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000047","Hemoglobin","","hgb","score_sm_cohort_ken_tan_march3_2020","","Sample","Blood test","http://purl.obolibrary.org/obo/EUPATH_0011795","Hemoglobin measured using capillary blood","","variable","","g/dL","http://purl.obolibrary.org/obo/UO_0000208","",""
