colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL,uniqueVar
8,,,age,score_sm_cohort_ken_tan_march3_2020,OBI_0001169,Age,Age in years,Participant,,,Age of study participant,,variable,,,,score_sm_cohort_ken_tan_march3_2020::age
19,,,asc_binary,score_sm_cohort_ken_tan_march3_2020,EUPATH_0010607,"Ascaris lumbricoides, by microscopy",Presence or absence of ascaris eggs ,Sample,,,Ascaris infection: Presence or Absence,"0=Negative, 1=Positive",variable,,,,score_sm_cohort_ken_tan_march3_2020::asc_binary
1,,,country_code,score_sm_cohort_ken_tan_march3_2020,OBI_0001627,Country,,Household,,,Country code,KEN=Kenya; TAN=Tanzania,variable,,,,score_sm_cohort_ken_tan_march3_2020::country_code
24,,,hgb,score_sm_cohort_ken_tan_march3_2020,EUPATH_0000047,Hemoglobin (g/dL),,sample,,,Hemoglobin measured using capillary blood,,variable,,,,score_sm_cohort_ken_tan_march3_2020::hgb
21,,,hght,score_sm_cohort_ken_tan_march3_2020,EUPATH_0010075,Height (cm),Height ,observation,,,Height measured using standardized technique (stadiometer),,variable,,,,score_sm_cohort_ken_tan_march3_2020::hght
18,,,hook_binary,score_sm_cohort_ken_tan_march3_2020,EUPATH_0010734,"Hookworm, by microscopy",,Sample,,,Hookworm infection: Presence or Absence,"0=Negative, 1=Positive",variable,,,,score_sm_cohort_ken_tan_march3_2020::hook_binary
25,,,malaria,score_sm_cohort_ken_tan_march3_2020,EUPATH_0000090,Malaria diagnosis,,observation,,,Malaria blood smear test,"0=Negative, 1=Positive",variable,,,,score_sm_cohort_ken_tan_march3_2020::malaria
16,,,mean_epg,score_sm_cohort_ken_tan_march3_2020,EUPATH_0030024,"Mean Schistosoma mansoni count eggs per gram, by microscopy","Mean Schistosoma mansoni eggs per gram, from all samples for this study participant",sample,,,"Mean Schistosoma mansoni infection intensity (eggs per gram of stool): arithmetic mean of sm1a_epg, sm1b_epg, sm2a_epg, sm2b_epg, sm3a_epg, sm3b_epg",,variable,,,,score_sm_cohort_ken_tan_march3_2020::mean_epg
7,,,sex,score_sm_cohort_ken_tan_march3_2020,PATO_0000047,Sex,Gender,participant,,,Sex of study participant,"F=Female, M=Male",variable,,,,score_sm_cohort_ken_tan_march3_2020::sex
17,,,sm_binary,score_sm_cohort_ken_tan_march3_2020,EUPATH_0030121,"Schistosoma mansoni, by microscopy",,sample,,,S. mansoni infection: Presence or Absence,"0=Negative, 1=Positive",variable,,,,score_sm_cohort_ken_tan_march3_2020::sm_binary
5,,,study_arm,score_sm_cohort_ken_tan_march3_2020,EUPATH_0015457,Study arm,,participant,,,Study arm,"1, 6",variable,,,,score_sm_cohort_ken_tan_march3_2020::study_arm
2,,,study_year,score_sm_cohort_ken_tan_march3_2020,EUPATH_0010374,Study year,,participant,,,Study year,"1, 3, 5",variable,,,,score_sm_cohort_ken_tan_march3_2020::study_year
20,,,trich_binary,score_sm_cohort_ken_tan_march3_2020,EUPATH_0030032,"Any Trichuris trichiura, by microscopy",,sample,,,Trichuris infection: Presence or Absence,"0=Negative, 1=Positive",variable,,,,score_sm_cohort_ken_tan_march3_2020::trich_binary
22,,,wght,score_sm_cohort_ken_tan_march3_2020,EUPATH_0000732,Weight (kg),,observation,,,Weight measured using standardized technique (calibrated scale),,variable,,,,score_sm_cohort_ken_tan_march3_2020::wght
