codebookOrder,overallOrder,order,variable,dataset,label,IRI,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt
1,,,Study_Type,Sm_XS,,,,Participant,,,Study Type: Gaining or Sustaining Control; Country wide,Sm1= Sustaining control study (Schistosoma mansoni prevalence during eligibility testing 10-24%)                                                                        Sm2= Gaining control study (Schistosoma mansoni prevalence during eligibility testing ?25%),"Not clear if Gaining vs. Sustaining control are really design types. For now, issue new placeholder IRI"
2,,,Country_Code,Sm_XS,Country,OBI_0001627,,Household,,,Country; Country wide,COT=Cote d'Ivoire; KEN=Kenya; TAN=Tanzania,
3,,,Study_Year,Sm_XS,Study year,EUPATH_0010374,,Participant,,,Study Year; Country-wide,"1, 2, 3, 4, 5",
4,,,Flag_Treatment,Sm_XS,Protocol deviation code,,Protocol deviation code,Household,,,Numeric codes specify if village had a protocol deviation,See tab Flag_Treatment for list of codes,
5,,,Village_ID,Sm_XS,Village code,,,Household,,,Village ID,Country code + 3-digit number,
6,,,Village_Name,Sm_XS,"City, village or region",EUPATH_0000452,,Household,,,Village Name,,
7,,,Study_Arm,Sm_XS,Study arm,EUPATH_0015457,,Participant,,,Study Arm,"1, 2, 3, 4, 5, 6",
8,,,Person_ID,Sm_XS,Participant ID,EUPATH_0000095,,Participant,,,Person ID,,
9,,,Sex,Sm_XS,Sex,PATO_0000047,Sex,Participant,,,Sex,"F=Female, M=Male, N=No Data",
10,,,Age,Sm_XS,Age,OBI_0001169,Age in years,Participant,,,Age (years),,
11,,,YOB,Sm_XS,,,Year of birth,Participant,,,Year of Birth,,
12,,,X_Sect,Sm_XS,Age group,EUPATH_0010367,Age group,Participant,,,"Generated based on age: 5_8= 5-8 years old, 9_12= 9 to 12 years old, 20_55= 20 to 55 years old, Other= not in above age groups","5_8, 9_12, 20_55, Other",
13,,,Trunc,Sm_XS,,,Maximum number of eggs counted,Sample,,,Level at which egg counts truncated (max number of eggs counted),,
14,,,Occupation,Sm_XS,Occupation,EUPATH_0000359,Participants occupation,Participant,,,Occupation,"In Tanzania: 0 = Schoolchild, 1 = Business, 2 = Fishing, 3= Other, 4 = Farmer and 5 = Teacher",
15,,,sm1a,Sm_XS,map all to one term,,"Number of Schistosoma mansoni eggs counted, First specimen 'a' slide",Sample,,,"Number of Schistosoma mansoni eggs counted. In the variable name, sm=schistosomiasis, 1 refers to the first specimen, and the letter refers to the first ('a') and second ('b') slides, respectively. ",.=Missing,
16,,,sm1b,Sm_XS,,,"Number of Schistosoma mansoni eggs counted, First specimen 'b' slide",Sample,,,"Number of Schistosoma mansoni eggs counted. In the variable name, sm=schistosomiasis, 1 refers to the first specimen, and the letter refers to the first ('a') and second ('b') slides, respectively. ",.=Missing,
17,,,sm2a,Sm_XS,,,"Number of Schistosoma mansoni eggs counted, Second specimen 'a' slide",Sample,,,"Number of Schistosoma mansoni eggs counted. In the variable name, sm=schistosomiasis, 1 refers to the first specimen, and the letter refers to the first ('a') and second ('b') slides, respectively. ",.=Missing,
18,,,sm2b,Sm_XS,,,"Number of Schistosoma mansoni eggs counted, Second specimen 'b' slide",Sample,,,"Number of Schistosoma mansoni eggs counted. In the variable name, sm=schistosomiasis, 1 refers to the first specimen, and the letter refers to the first ('a') and second ('b') slides, respectively. ",.=Missing,
19,,,sm3a,Sm_XS,,,"Number of Schistosoma mansoni eggs counted, Third specimen 'a' slide",Sample,,,"Number of Schistosoma mansoni eggs counted. In the variable name, sm=schistosomiasis, 1 refers to the first specimen, and the letter refers to the first ('a') and second ('b') slides, respectively. ",.=Missing,
20,,,sm3b,Sm_XS,,,"Number of Schistosoma mansoni eggs counted, Third specimen 'b' slide",Sample,,,"Number of Schistosoma mansoni eggs counted. In the variable name, sm=schistosomiasis, 1 refers to the first specimen, and the letter refers to the first ('a') and second ('b') slides, respectively. ",.=Missing,
21,,,hook1a,Sm_XS,map all to one term,,"Hookworm infection: Presence or Absence, First specimen 'a' slide",Sample,,,Hookworm infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
22,,,hook1b,Sm_XS,,,"Hookworm infection: Presence or Absence, First specimen 'b' slide",Sample,,,Hookworm infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
23,,,hook2a,Sm_XS,,,"Hookworm infection: Presence or Absence, Second specimen 'a' slide",Sample,,,Hookworm infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
24,,,hook2b,Sm_XS,,,"Hookworm infection: Presence or Absence, Second specimen 'b' slide",Sample,,,Hookworm infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
25,,,hook3a,Sm_XS,,,"Hookworm infection: Presence or Absence, Third specimen 'a' slide",Sample,,,Hookworm infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
26,,,hook3b,Sm_XS,,,"Hookworm infection: Presence or Absence, Third specimen 'b' slide",Sample,,,Hookworm infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
27,,,asc1a,Sm_XS,map all to one term,,"Ascaris infection: Presence or Absence, First specimen 'a' slide",Sample,,,Ascaris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
28,,,asc1b,Sm_XS,,,"Ascaris infection: Presence or Absence, First specimen 'b' slide",Sample,,,Ascaris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
29,,,asc2a,Sm_XS,,,"Ascaris infection: Presence or Absence, Second specimen 'a' slide",Sample,,,Ascaris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
30,,,asc2b,Sm_XS,,,"Ascaris infection: Presence or Absence, Second specimen 'b' slide",Sample,,,Ascaris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
31,,,asc3a,Sm_XS,,,"Ascaris infection: Presence or Absence, Third specimen 'a' slide",Sample,,,Ascaris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
32,,,asc3b,Sm_XS,,,"Ascaris infection: Presence or Absence, Third specimen 'b' slide",Sample,,,Ascaris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
33,,,trich1a,Sm_XS,map all to one term,,"Trichuris infection: Presence or Absence, First specimen 'a' slide",Sample,,,Trichuris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
34,,,trich1b,Sm_XS,,,"Trichuris infection: Presence or Absence, First specimen 'b' slide",Sample,,,Trichuris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
35,,,trich2a,Sm_XS,,,"Trichuris infection: Presence or Absence, Secomd specimen 'a' slide",Sample,,,Trichuris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
