variable,IRI,dataset,values,mappedTerms,notes
Study_Type,,,Sm1= Sustaining control study (Schistosoma mansoni prevalence during eligibility testing 10-24%); Sm2= Gaining control study (Schistosoma mansoni prevalence during eligibility testing ?25%),,
Country_Code,,,COT=Cote d'Ivoire; KEN=Kenya; TAN=Tanzania,,
Study_Year,,,"1, 2, 3, 4, 5",,
Flag_Treatment,,,See tab Flag_Treatment for list of codes,,
Village_ID,,,Country code + 3-digit number,,
Village_Name,,,,,
Study_Arm,,,"1, 2, 3, 4, 5, 6",,
Person_ID,,,,,
Sex,,,"F=Female, M=Male, N=No Data",,
Age,,,,,
YOB,,,,,
X_Sect,,,"5_8, 9_12, 20_55, Other",,
Trunc,,,,,
Occupation,,,"In Tanzania: 0 = Schoolchild, 1 = Business, 2 = Fishing, 3= Other, 4 = Farmer and 5 = Teacher",,
sm1a,,,.=Missing,,
sm1b,,,.=Missing,,
sm2a,,,.=Missing,,
sm2b,,,.=Missing,,
sm3a,,,.=Missing,,
sm3b,,,.=Missing,,
hook1a,,,"0=Negative, 1=Positive, .=Missing",,
hook1b,,,"0=Negative, 1=Positive, .=Missing",,
hook2a,,,"0=Negative, 1=Positive, .=Missing",,
hook2b,,,"0=Negative, 1=Positive, .=Missing",,
hook3a,,,"0=Negative, 1=Positive, .=Missing",,
hook3b,,,"0=Negative, 1=Positive, .=Missing",,
asc1a,,,"0=Negative, 1=Positive, .=Missing",,
asc1b,,,"0=Negative, 1=Positive, .=Missing",,
asc2a,,,"0=Negative, 1=Positive, .=Missing",,
asc2b,,,"0=Negative, 1=Positive, .=Missing",,
asc3a,,,"0=Negative, 1=Positive, .=Missing",,
asc3b,,,"0=Negative, 1=Positive, .=Missing",,
trich1a,,,"0=Negative, 1=Positive, .=Missing",,
trich1b,,,"0=Negative, 1=Positive, .=Missing",,
trich2a,,,"0=Negative, 1=Positive, .=Missing",,
trich2b,,,"0=Negative, 1=Positive, .=Missing",,
trich3a,,,"0=Negative, 1=Positive, .=Missing",,
trich3b,,,"0=Negative, 1=Positive, .=Missing",,
hook1a_count,,,.=Missing,,
hook1b_count,,,.=Missing,,
hook2a_count,,,.=Missing,,
hook2b_count,,,.=Missing,,
hook3a_count,,,.=Missing,,
hook3b_count,,,.=Missing,,
asc1a_count,,,.=Missing,,
asc1b_count,,,.=Missing,,
asc2a_count,,,.=Missing,,
asc2b_count,,,.=Missing,,
asc3a_count,,,.=Missing,,
asc3b_count,,,.=Missing,,
trich1a_count,,,.=Missing,,
trich1b_count,,,.=Missing,,
trich2a_count,,,.=Missing,,
trich2b_count,,,.=Missing,,
trich3a_count,,,.=Missing,,
trich3b_count,,,.=Missing,,
Total_SAC,,,.=Missing,,
SAC_Rxed,,,.=Missing,,
Percent_SAC_Rxed,,,,,
Total_Pop,,,,,
Total_Pop_Rxed,,,,,
Percent_Total_Pop_Rxed,,,,,
Longitude,,,,,
Latitude,,,,,
,,,Flag_Treatment,Description,
,,,01,"Tanzania: Between Years 1 and 2 and in Year 4, there was a longer interval between treatment and testing than required by the protocol.",
,,,02,Tanzania: Pregnant women were excluded from MDA in CWT villages. ,
,,,03,"Tanzania: In Year 1, TAN040 (Ihale, Arm 3) did not enroll any 9-12 year old children with both lab and age data. ",
,,,04,"Tanzania: In Year 2, parasitologic data for village TAN009 (Bukumbi, Arm 1) are unreliable and have been set to missing.",
,,,05,"Tanzania: There are two study villages named Kahunda. Study village TAN060 was initially assigned to Arm 5 and study village TAN061 was initially assigned to Arm 2.  They switched arms throughout the study, and in the final dataset, TAN060 (Kahunda I) is in Arm 2 and TAN061 (Kahunda II) is in Arm 5.",
,,,06,"Tanzania: In Year 4, Geita district villages TAN131 (Nyamboge, Arm 3), TAN063 (Kakubilo, Arm 5), TAN090 (Luhara, Arm 6), and TAN101 (Mharamba, Arm 6) received treatment while they should have been on holiday.",
,,,07,"Kenya: Sm1 and Sm2 truncated egg counts at 42 eggs instead of 1,000.",
,,,08,"Kenya: In Years 1-2 of the Kenya Sm2 study, MDA in CWT villages was not provided at schools, resulting in lower coverage among school-age children than required by the protocol.",
,,,09,"Kenya: In Year 4 of the Kenya Sm1 study, 2 villages received double treatment. KEN039 (Kamingu, Arm 1) and KEN043 (Wambara, Arm 1) had SCORE SBT in March 2013 and albendazole and PZQ as part of the national deworming program in June 2013 at the school only.",
,,,10,"Kenya: In Year 4 of the Kenya Sm1 study, village KEN040 (Kamwania, Arm 2) should have been on holiday. However, it had national program deworming with albendazole and PZQ in June 2013.",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
