colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
1,country,groupanc_kenyanigeria_combined_final,OBI_0001627,Country,,Household,Case source is DataSet13,0 = K | 1 = N,,,,,NA,NA,Country,groupanc_kenyanigeria_combined_final::country,int,1,NA,NA,0 to 1,2,0,NA
2,record_id,groupanc_kenyanigeria_combined_final,,Record ID,,Participant,Record ID ,,,EUPATH_0010035,Administrative information,,NA,NA,record_id,groupanc_kenyanigeria_combined_final::record_id,chr,ENC-D-FDEQHTHTEQEQFD,NA,NA,>10 unique values,6071,0,NA
3,redcap_event_name,groupanc_kenyanigeria_combined_final,,Redcap event name,Event name,Observation,Event Name,4_phase_ii_arm_1 = 4. Phase II | 2_baseline_arm_1 = 2. Baseline | 1_screening_and_co_arm_1 = 1. Screening and Consent | 3_follow_up_arm_1 = 3. Follow Up,,EUPATH_0000310,Observation details,,NA,NA,redcap_event_name,groupanc_kenyanigeria_combined_final::redcap_event_name,chr,1_SCREENING_AND_CO_ARM_1,NA,NA,"1_SCREENING_AND_CO_ARM_1, 2_BASELINE_ARM_1, 3_FOLLOW_UP_ARM_1, 4_PHASE_II_ARM_1",4,0,NA
5,intervention_control_fac,groupanc_kenyanigeria_combined_final,EUPATH_0015457,Study arm,Intervention or control facility,Participant,Intervention or control facility,1 = Intervention | 2 = Control,,,,,NA,NA,intervention_control_fac,groupanc_kenyanigeria_combined_final::intervention_control_fac,int,2,NA,NA,1 to 2,2,0.514008966,NA
6,screening_date,groupanc_kenyanigeria_combined_final,,Screening date,,Participant,Screening date,NA,,EUPATH_0000307,Participant study details,,NA,NA,screening_date,groupanc_kenyanigeria_combined_final::screening_date,int,2016,date,NA,2001 to 2017,4,0.514008966,NA
7,ga_age,groupanc_kenyanigeria_combined_final,ONTONEO_00000255,Gestational age (weeks),,Observation,Gestational age,NA,,,,,NA,NA,ga_age,groupanc_kenyanigeria_combined_final::ga_age,dbl,34.86,NA,NA,0 to 46,243,0.514169068,NA
8,ga_determined_by___1,groupanc_kenyanigeria_combined_final,,Gestational Age determined by  LMP,,Observation,Gestational Age determined by  LMP,0 = Unchecked | 1 = Checked,value,Needs one,Gestational age determination,Please place parent term under Pregnancy. This would be  a multifilter,NA,NA,ga_determined_by___1,groupanc_kenyanigeria_combined_final::ga_determined_by___1,int,1,NA,NA,0 to 1,2,0.514008966,NA
9,ga_determined_by___2,groupanc_kenyanigeria_combined_final,,Gestational Age determined by  Ultrasound,,Observation,Gestational Age determined by  Ultrasound,0 = Unchecked | 1 = Checked,value,Needs one,Gestational age determination,Please place parent term under pregnancy,NA,NA,ga_determined_by___2,groupanc_kenyanigeria_combined_final::ga_determined_by___2,int,0,NA,NA,0 to 1,2,0.514008966,NA
10,ga_determined_by___3,groupanc_kenyanigeria_combined_final,,Gestational Age determined by Fundal height,,Observation,Gestational Age determined by Fundal height,0 = Unchecked | 1 = Checked,value,Needs one,Gestational age determination,Please place parent term under pregnancy,NA,NA,ga_determined_by___3,groupanc_kenyanigeria_combined_final::ga_determined_by___3,int,1,NA,NA,0 to 1,2,0.514008966,NA
11,ga_determined_by___4,groupanc_kenyanigeria_combined_final,,Gestational Age determined by  Pelvic exam,,Observation,Gestational Age determined by  Pelvic exam,0 = Unchecked | 1 = Checked,value,Needs one,Gestational age determination,Please place parent term under pregnancy,NA,NA,ga_determined_by___4,groupanc_kenyanigeria_combined_final::ga_determined_by___4,int,0,NA,NA,0 to 1,2,0.514008966,NA
12,edd_date,groupanc_kenyanigeria_combined_final,EUPATH_0042067,Estimated delivery date,Expected date of delivery,Participant,Expected date of delivery,NA,,,,NA,NA,NA,edd_date,groupanc_kenyanigeria_combined_final::edd_date,int,2016,date,NA,2005 to 2018,5,0.521373679,NA
13,p_eligibility_by_ga,groupanc_kenyanigeria_combined_final,,Participant eligibility by gestational age,,Participant,Participant eligibility by gestational age,NA,,EUPATH_0000307,Participant study details,NA,NA,NA,p_eligibility_by_ga,groupanc_kenyanigeria_combined_final::p_eligibility_by_ga,int,2,NA,NA,1 to 2,2,0.514008966,NA
18,ga_edd,groupanc_kenyanigeria_combined_final,,Gestational age of woman on Expected Date of Delivery,,Observation,Gestational age of woman on Expected Date of Delivery,NA,,EUPATH_0042004,Pregnancy,NA,NA,NA,ga_edd,groupanc_kenyanigeria_combined_final::ga_edd,dbl,61.43,NA,NA,0 to 202.57,259,0.7629683,NA
19,screening_age,groupanc_kenyanigeria_combined_final,,Screening age group,,Participant,Screening age group,NA,,EUPATH_0000307,Participant study details,NA,NA,NA,screening_age,groupanc_kenyanigeria_combined_final::screening_age,chr,20 TO 24 YEARS,NA,NA,", 10 TO 14 YEARS, 15 TO 19 YEARS, 20 TO 24 YEARS, 25 TO 29 YEARS, 30 TO 34 YEARS, 35 TO 39 YEARS, 40 TO 44 YEARS, 45 TO 49 YEARS",8,0.735030419,NA
20,planning_to_stay_same_place,groupanc_kenyanigeria_combined_final,,Planning to stay in area,,Participant,Are you planning to stay in this area for the next 1 and a half years and continue your antenatal care at this facility?  ,1 = Yes [Ndio] | 2 = No [La],,EUPATH_0024182,Household relocation,NA,NA,ke,planning_to_stay_same_place,groupanc_kenyanigeria_combined_final::planning_to_stay_same_place,int,1,NA,NA,1 to 2,2,0.735510727,NA
21,planning_to_be_away,groupanc_kenyanigeria_combined_final,,Planning to be away from home,,Participant,Are you planning to be away from home (near this facility) for more than 4 weeks in a row at any time during your pregnancy or more than 3 months in a row in the year after you have your baby?  ,1 = Yes [Ndio] | 2 = No [La],,EUPATH_0024182,Household relocation,NA,NA,NA,planning_to_be_away,groupanc_kenyanigeria_combined_final::planning_to_be_away,int,2,NA,NA,1 to 2,2,0.735670829,NA
22,education_level,groupanc_kenyanigeria_combined_final,EUPATH_0000345,Education level,,Participant,What is the highest level of education you completed? ,1 = No school [Sikuenda shule] | 2 = Primary [Msingi] | 3 = Quaranic education only [Masomo ya Quarani pekee] | 4 = Secondary [Sekondari] | 5 = Post Secondary [Masomo baada ya sekondari],,,,NA,NA,NA,education_level,groupanc_kenyanigeria_combined_final::education_level,int,4,NA,NA,1 to 5,5,0.781460134,NA
