colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
1,country,groupanc_kenyanigeria_combined_final,keep,,,Case source is DataSet13,0 = K | 1 = N,,,,NA,Country,groupanc_kenyanigeria_combined_final::country,int,1,NA,NA,0 to 1,2,once,0,NA
2,record_id,groupanc_kenyanigeria_combined_final,keep,,,Record ID ,,,,,NA,record_id,groupanc_kenyanigeria_combined_final::record_id,chr,ENC-D-FDEQHTHTEQEQFD,NA,NA,>10 unique values,6071,once,0,NA
3,redcap_event_name,groupanc_kenyanigeria_combined_final,keep,,,Event Name,4_phase_ii_arm_1 = 4. Phase II | 2_baseline_arm_1 = 2. Baseline | 1_screening_and_co_arm_1 = 1. Screening and Consent | 3_follow_up_arm_1 = 3. Follow Up,,,,NA,redcap_event_name,groupanc_kenyanigeria_combined_final::redcap_event_name,chr,1_SCREENING_AND_CO_ARM_1,NA,NA,"1_SCREENING_AND_CO_ARM_1, 2_BASELINE_ARM_1, 3_FOLLOW_UP_ARM_1, 4_PHASE_II_ARM_1",4,repeated,0,NA
4,screening_data_time,groupanc_kenyanigeria_combined_final,discard,,,,,,,,NA,screening_data_time,groupanc_kenyanigeria_combined_final::screening_data_time,int,2016,date,NA,2001 to 2017,5,once,0.514008966,NA
5,intervention_control_fac,groupanc_kenyanigeria_combined_final,keep,,,Intervention or control facility,1 = Intervention | 2 = Control,,,,NA,intervention_control_fac,groupanc_kenyanigeria_combined_final::intervention_control_fac,int,2,NA,NA,1 to 2,2,once,0.514008966,NA
6,screening_date,groupanc_kenyanigeria_combined_final,keep,,,Screening date,NA,,,,NA,screening_date,groupanc_kenyanigeria_combined_final::screening_date,int,2016,date,NA,2001 to 2017,4,once,0.514008966,NA
7,ga_age,groupanc_kenyanigeria_combined_final,keep,,,Gestational age,NA,,,,NA,ga_age,groupanc_kenyanigeria_combined_final::ga_age,dbl,34.86,NA,NA,0 to 46,243,once,0.514169068,NA
8,ga_determined_by___1,groupanc_kenyanigeria_combined_final,keep,,,Gestational Age determined by  [Umri wa mjamzito unadhamiriwa na] (choice=LMP [Siku ya mwisho ya Hedhi]),0 = Unchecked | 1 = Checked,,,,NA,ga_determined_by___1,groupanc_kenyanigeria_combined_final::ga_determined_by___1,int,1,NA,NA,0 to 1,2,once,0.514008966,NA
9,ga_determined_by___2,groupanc_kenyanigeria_combined_final,keep,,,Gestational Age determined by  [Umri wa mjamzito unadhamiriwa na] (choice=Ultrasound),0 = Unchecked | 1 = Checked,,,,NA,ga_determined_by___2,groupanc_kenyanigeria_combined_final::ga_determined_by___2,int,0,NA,NA,0 to 1,2,once,0.514008966,NA
10,ga_determined_by___3,groupanc_kenyanigeria_combined_final,keep,,,Gestational Age determined by  [Umri wa mjamzito unadhamiriwa na] (choice=Fundal height),0 = Unchecked | 1 = Checked,,,,NA,ga_determined_by___3,groupanc_kenyanigeria_combined_final::ga_determined_by___3,int,1,NA,NA,0 to 1,2,once,0.514008966,NA
11,ga_determined_by___4,groupanc_kenyanigeria_combined_final,keep,,,Gestational Age determined by  [Umri wa mjamzito unadhamiriwa na] (choice=Pelvic exam),0 = Unchecked | 1 = Checked,,,,NA,ga_determined_by___4,groupanc_kenyanigeria_combined_final::ga_determined_by___4,int,0,NA,NA,0 to 1,2,once,0.514008966,NA
12,edd_date,groupanc_kenyanigeria_combined_final,keep,,,Expected date of delivery,NA,,,,NA,edd_date,groupanc_kenyanigeria_combined_final::edd_date,int,2016,date,NA,2005 to 2018,5,once,0.521373679,NA
13,p_eligibility_by_ga,groupanc_kenyanigeria_combined_final,keep,,,Participant eligibility by gestational age,NA,,,,NA,p_eligibility_by_ga,groupanc_kenyanigeria_combined_final::p_eligibility_by_ga,int,2,NA,NA,1 to 2,2,once,0.514008966,NA
14,language_spoken___1,groupanc_kenyanigeria_combined_final,discard,,,Able to speak and understand any of the following languages (choice=English),{REDACTED} = NA,,,,NA,language_spoken___1,groupanc_kenyanigeria_combined_final::language_spoken___1,lgl,NA,NA,NA,n/a,0,no data,1,no data
15,language_spoken___2,groupanc_kenyanigeria_combined_final,discard,,,Able to speak and understand any of the following languages (choice=Kiswahili),{REDACTED} = NA,,,,NA,language_spoken___2,groupanc_kenyanigeria_combined_final::language_spoken___2,lgl,NA,NA,NA,n/a,0,no data,1,no data
16,language_spoken___4,groupanc_kenyanigeria_combined_final,discard,,,Able to speak and understand any of the following languages (choice=Luo),{REDACTED} = NA,,,,NA,language_spoken___4,groupanc_kenyanigeria_combined_final::language_spoken___4,lgl,NA,NA,NA,n/a,0,no data,1,no data
17,language_spoken___5,groupanc_kenyanigeria_combined_final,discard,,,Able to speak and understand any of the following languages (choice=Kamba),{REDACTED} = NA,,,,NA,language_spoken___5,groupanc_kenyanigeria_combined_final::language_spoken___5,lgl,NA,NA,NA,n/a,0,no data,1,no data
18,ga_edd,groupanc_kenyanigeria_combined_final,keep,,,??,NA,,,,NA,ga_edd,groupanc_kenyanigeria_combined_final::ga_edd,dbl,61.43,NA,NA,0 to 202.57,259,once,0.7629683,NA
19,screening_age,groupanc_kenyanigeria_combined_final,keep,,,Screening age group,NA,,,,NA,screening_age,groupanc_kenyanigeria_combined_final::screening_age,chr,20 TO 24 YEARS,NA,NA,", 10 TO 14 YEARS, 15 TO 19 YEARS, 20 TO 24 YEARS, 25 TO 29 YEARS, 30 TO 34 YEARS, 35 TO 39 YEARS, 40 TO 44 YEARS, 45 TO 49 YEARS",8,repeated,0.735030419,NA
20,planning_to_stay_same_place,groupanc_kenyanigeria_combined_final,keep,,,Are you planning to stay in this area for the next 1 and a half years and continue your antenatal care at this facility?  [Una mpango wa kuishi mahala hapa kwa mwaka 1 1/2 ujao na uendelee na malezi yako ya wajawazito kwenye kituo hiki?],1 = Yes [Ndio] | 2 = No [La],,,,ke,planning_to_stay_same_place,groupanc_kenyanigeria_combined_final::planning_to_stay_same_place,int,1,NA,NA,1 to 2,2,once,0.735510727,NA
21,planning_to_be_away,groupanc_kenyanigeria_combined_final,keep,,,Are you planning to be away from home (near this facility) for more than 4 weeks in a row at any time during your pregnancy or more than 3 months in a row in the year after you have your baby?  [Una mpango wa kuwa mbali na nyumbani (karibu na kituo hiki),1 = Yes [Ndio] | 2 = No [La],,,,NA,planning_to_be_away,groupanc_kenyanigeria_combined_final::planning_to_be_away,int,2,NA,NA,1 to 2,2,once,0.735670829,NA
22,education_level,groupanc_kenyanigeria_combined_final,keep,,,What is the highest level of education you completed?  [Ulihitimu kiwango kipi cha juu cha masomo?],1 = No school [Sikuenda shule] | 2 = Primary [Msingi] | 3 = Quaranic education only [Masomo ya Quarani pekee] | 4 = Secondary [Sekondari] | 5 = Post Secondary [Masomo baada ya sekondari],,,,NA,education_level,groupanc_kenyanigeria_combined_final::education_level,int,4,NA,NA,1 to 5,5,once,0.781460134,NA
23,religion,groupanc_kenyanigeria_combined_final,discard,,,What is your religion?  [Uko katika dini gani?],{REDACTED} = NA,,,,NA,religion,groupanc_kenyanigeria_combined_final::religion,lgl,NA,NA,NA,n/a,0,no data,1,no data
24,time_to_reach_fac,groupanc_kenyanigeria_combined_final,keep,,,Time to reach facility,NA,,,,NA,time_to_reach_fac,groupanc_kenyanigeria_combined_final::time_to_reach_fac,int,15,NA,NA,1 to 240,38,once,0.781460134,NA
25,marital_status,groupanc_kenyanigeria_combined_final,keep,,,What is your current marital status?  [Ni ipi hadhi yako ya ndoa sasa hivi?],1 = Married [Olewa] | 2 = Single  not in union [simo mahusianoni] | 3 = Cohabiting [kuishi pamoja] | 4 = Separated/divorced [Tengana/ talikiwa] | 5 = Widowed [kufiwa] | 6 = Never married [sijawai kuolewa],,,,NA,marital_status,groupanc_kenyanigeria_combined_final::marital_status,int,1,NA,NA,1 to 6,6,once,0.781460134,NA
26,number_given_birth,groupanc_kenyanigeria_combined_final,keep,,,Number given birth,NA,,,,NA,number_given_birth,groupanc_kenyanigeria_combined_final::number_given_birth,int,1,NA,NA,0 to 30,12,once,0.781460134,NA
27,group_visit_date,groupanc_kenyanigeria_combined_final,keep,,,Group visit date,NA,,,,NA,group_visit_date,groupanc_kenyanigeria_combined_final::group_visit_date,int,2016,NA,NA,2016 to 2017,2,once,0.87079731,NA
28,intervention_cohort_ga,groupanc_kenyanigeria_combined_final,keep,,,??,NA,,,,NA,intervention_cohort_ga,groupanc_kenyanigeria_combined_final::intervention_cohort_ga,dbl,24.29,NA,NA,6.57 to 34.14,200,once,0.87079731,NA
29,baseline_time_dc,groupanc_kenyanigeria_combined_final,discard,,,,NA,,,,NA,baseline_time_dc,groupanc_kenyanigeria_combined_final::baseline_time_dc,int,2017,NA,NA,2001 to 2017,5,once,0.913704771,NA
30,baseline_women_date,groupanc_kenyanigeria_combined_final,keep,,,Baseline date,NA,,,,NA,baseline_women_date,groupanc_kenyanigeria_combined_final::baseline_women_date,int,2016,date?,NA,2001 to 2018,5,once,0.827969901,NA
31,baseline_women_q1,groupanc_kenyanigeria_combined_final,keep,,,1. Have you given birth before?  [Umewahi kujifungua hapo awali],1 = Yes [Ndio] | 2 = No [La],,,,NA,baseline_women_q1,groupanc_kenyanigeria_combined_final::baseline_women_q1,int,1,NA,NA,1 to 2,2,once,0.827969901,NA
32,baseline_women_q2,groupanc_kenyanigeria_combined_final,keep,,,MAYBE year of previous birth?,NA,,,,NA,baseline_women_q2,groupanc_kenyanigeria_combined_final::baseline_women_q2,int,2015,date?,NA,1930 to 2028,21,once,0.885366635,NA
33,baseline_women_q3,groupanc_kenyanigeria_combined_final,keep,,,3. Did you attend antenatal care during your last pregnancy?  [Kwenye ujauzito wako uliopita  ulihudhuria kliniki cha kuwapa wajawazito malezi?],1 = Yes | 2 = No,,,,NA,baseline_women_q3,groupanc_kenyanigeria_combined_final::baseline_women_q3,int,1,NA,NA,1 to 2,2,once,0.885366635,NA
34,baseline_women_q4a,groupanc_kenyanigeria_combined_final,keep,,,a. I was greeted warmly  [Nilisalmiwa kwa furaha],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4a,groupanc_kenyanigeria_combined_final::baseline_women_q4a,int,1,NA,NA,1 to 3,3,once,0.892331092,NA
35,baseline_women_q4b,groupanc_kenyanigeria_combined_final,keep,,,b. I was able to ask questions and they were answered in a way I understood  [Niliweza kuuliza maswali na yalijibiwa kwa namna niliyoelewa],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4b,groupanc_kenyanigeria_combined_final::baseline_women_q4b,int,1,NA,NA,1 to 3,3,once,0.892411143,NA
36,baseline_women_q4c,groupanc_kenyanigeria_combined_final,keep,,,c. I learned important information about how to keep myself and my baby healthy  [Nilijifunza mambo muhimu namna ya kujitunza pamoja na mtoto wangu kuwa na Afya bora],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4c,groupanc_kenyanigeria_combined_final::baseline_women_q4c,int,1,NA,NA,1 to 3,3,once,0.892491194,NA
37,baseline_women_q4d,groupanc_kenyanigeria_combined_final,keep,,,d. I left antenatal care visits with questions or confused about some things  [Nilitoka kwenye kliniki cha wajawazito na maswali au utatanishi katika mambo mengine.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4d,groupanc_kenyanigeria_combined_final::baseline_women_q4d,int,2,NA,NA,1 to 3,3,once,0.892411143,NA
38,baseline_women_q4e,groupanc_kenyanigeria_combined_final,keep,,,e. The provider did not show me respect or act in respectful ways  [Mhudumu hakunipa heshima au kufanya vitu vilivyodhihirisha heshima.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4e,groupanc_kenyanigeria_combined_final::baseline_women_q4e,int,2,NA,NA,1 to 3,3,once,0.892411143,NA
39,baseline_women_q4f,groupanc_kenyanigeria_combined_final,keep,,,f. During this pregnancy I would be happy to receive care similar to what I received during my last pregnancy  [Kwa ujauzito wangu mwingine  nitafurahia kupata malezi sawia na niliyoyapata kwenye huu ujauzito uliopita.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4f,groupanc_kenyanigeria_combined_final::baseline_women_q4f,int,1,NA,NA,1 to 3,3,once,0.892491194,NA
40,baseline_women_q4g,groupanc_kenyanigeria_combined_final,keep,,,g. I would recommend to a friend to go to the same place for antenatal care  [Ningependekezea rafiki kuenda mahali pale kwa malezi ya ujauzito.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4g,groupanc_kenyanigeria_combined_final::baseline_women_q4g,int,1,NA,NA,1 to 3,3,once,0.892491194,NA
