Term Ontology IRI	Display Label	Term parent ontology IRI	Term parent display label	Data Dictionary ID	Indian Data Dictionary Label (en)	Term Type	Indian description	Var/Field name synonym	Field Type	Answers	alternate answers	Census	Clinic CRF	Clinic CRF	CrossSectional CRF	CrossSectional CRF	Longitudinal CRF	Longitudinal CRF	Reactive Case Detection CRF	Reactive Case Detection CRF	JZ Comments
				eupath/icemr.owl#indian_id	EUPATH_0000329	EUPATH_0000271	EUPATH_0000331	eupath/icemr/indian.owl#label_alternative	eupath/icemr/indian.owl#field_type	eupath/icemr/indian.owl#values	eupath/icemr/indian.owl#values_alternative	eupath/icemr/indian.owl#study_type	eupath/icemr/indian.owl#study_type	eupath/icemr/indian.owl#study_type_alternative	eupath/icemr/indian.owl#study_type	eupath/icemr/indian.owl#study_type_alternative	eupath/icemr/indian.owl#study_type	eupath/icemr/indian.owl#study_type_alternative	eupath/icemr/indian.owl#study_type	eupath/icemr/indian.owl#study_type_alternative	
http://purl.obolibrary.org/obo/ICEMR_0101031	Address changed?	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	INDIAN_0100031	addresschange_yn	variable	Has address changed?		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101034	Animals on property	http://purl.obolibrary.org/obo/ICEMR_0000001	Animal Information	INDIAN_0100034	animals_chk	variable	# Animals on site		checkbox	1, None | 2, Livestock | 3, Other/Pets		Census									
http://purl.obolibrary.org/obo/ICEMR_0101035	# Livestock	http://purl.obolibrary.org/obo/ICEMR_0000001	Animal Information	INDIAN_0100035	animals_nonpets_count	variable	Count (if Livestock)		text			Census									
http://purl.obolibrary.org/obo/ICEMR_0101036	# Pets/Other	http://purl.obolibrary.org/obo/ICEMR_0000001	Animal Information	INDIAN_0100036	animals_pets_count	variable	Count (if Other/Pets)		text			Census									
http://purl.obolibrary.org/obo/ICEMR_0101037	Bednet treatment	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	INDIAN_0100037	bednet	variable	Bednet type	bednet_chk	checkbox	1, None | 2, ITN, treated <6 mo ago | 3, ITN, treated >6 mo ago | 4, Long-lasting ITN | 5, Untreated	1, None | 2, Untreated | 3, Regular ITN treated >6 months ago | 4, Regular ITN treated < 6 months ago | 5, Long-lasting ITN | 6, Other | 7, Electric bat	Census		Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection	
http://purl.obolibrary.org/obo/ICEMR_0101038	# Bednet (ITN, treated < 6 mo ago)	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	INDIAN_0100038	bednet_count_2	variable	Count (ITN, treated < 6 mo ago)		text			Census									
http://purl.obolibrary.org/obo/ICEMR_0101039	# Bednet (ITN, treated >6 mo ago)	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	INDIAN_0100039	bednet_count_3	variable	Count (ITN, treated >6 mo ago)		text			Census									
http://purl.obolibrary.org/obo/ICEMR_0101040	# Bednet (Long-lasting ITN)	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	INDIAN_0100040	bednet_count_4	variable	Count (Long-lasting ITN)		text			Census									
http://purl.obolibrary.org/obo/ICEMR_0101041	# Bednet  (Untreated)	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	INDIAN_0100041	bednet_count_5	variable	Count (Untreated)		text			Census									
