Term Ontology IRI	Display Label	Term parent ontology IRI	Term parent display label	Data Dictionary ID	Indian Data Dictionary Label (en)	Term Type	Indian Preferred Label (en)
				eupath/icemr.owl#indian_id	EUPATH_0000329	EUPATH_0000271	EUPATH_0000330
http://purl.obolibrary.org/obo/ICEMR_0000001	Animal Information	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	INDIAN_0000001	Animal Information	category	Animal Information
http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0000002	Clinical History	category	Clinical History
http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	INDIAN_0000003	Diagnosis	category	
http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	http://www.w3.org/2002/07/owl#Thing		INDIAN_0000004	Dwelling	category	
http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	INDIAN_0000005	Dwelling Summary	category	
http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	INDIAN_0000006	Facilities	category	
http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	http://www.w3.org/2002/07/owl#Thing		INDIAN_0000007	Geographic location	category	
http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	INDIAN_0000008	Laboratory Findings	category	
http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	INDIAN_0000009	Medication	category	
http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	http://www.w3.org/2002/07/owl#Thing		INDIAN_0000010	Participant	category	
http://purl.obolibrary.org/obo/EUPATH_0000306	Participant Genotype	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	INDIAN_0000011	Participant Genotype	category	
http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	INDIAN_0000012	Participant Study Details	category	
http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	INDIAN_0000013	Physical Characteristics	category	
http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	INDIAN_0000014	Physical Examination	category	Physical Examination
http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	INDIAN_0000015	Socioeconomic Factors	category	
http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	INDIAN_0000016	Symptoms	category	
http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	INDIAN_0000017	Traveling Details	category	Traveling Details
http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	INDIAN_0000018	Vector Intervention	category	Vector Intervention
http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	http://www.w3.org/2002/07/owl#Thing		INDIAN_0000019	Visit	category	
http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	INDIAN_0000020	Visit Details	category	
