Term Ontology IRI	Display Label	Term parent ontology IRI	Term Parent Display Label	Data Dictionary ID	Indian Data Dictionary Label (en)	Term Type	Related Synonym
				eupath/icemr.owl#indian_id	EUPATH_0000329	EUPATH_0000271	eupath/icemr.owll#hasRelatedSynonym
http://purl.obolibrary.org/obo/ICEMR_1001002	Initial visit	http://purl.obolibrary.org/obo/EUPATH_0000311	Visit type	INDIAN_1000002	1	values	
http://purl.obolibrary.org/obo/ICEMR_1001003	Followup visit	http://purl.obolibrary.org/obo/EUPATH_0000311	Visit type	INDIAN_1000003	0	values	
http://purl.obolibrary.org/obo/ICEMR_1001004	No animals	http://purl.obolibrary.org/obo/ICEMR_0101034	Animals on property	INDIAN_1000004	None	values	
http://purl.obolibrary.org/obo/ICEMR_1001005	Livestock	http://purl.obolibrary.org/obo/ICEMR_0101034	Animals on property	INDIAN_1000005	Livestock	values	
http://purl.obolibrary.org/obo/ICEMR_1001006	Other/Pets	http://purl.obolibrary.org/obo/ICEMR_0101034	Animals on property	INDIAN_1000006	Other/Pets	values	
http://purl.obolibrary.org/obo/ICEMR_1001007	None	http://purl.obolibrary.org/obo/ICEMR_0101037	Bednet treatment	INDIAN_1000007	None	values	
http://purl.obolibrary.org/obo/ICEMR_1001008	ITN, treated <6 mo ago	http://purl.obolibrary.org/obo/ICEMR_0101037	Bednet treatment	INDIAN_1000008	ITN, treated <6 mo ago	values	
http://purl.obolibrary.org/obo/ICEMR_1001010	ITN, treated >6 mo ago	http://purl.obolibrary.org/obo/ICEMR_0101037	Bednet treatment	INDIAN_1000010	ITN, treated >6 mo ago	values	
http://purl.obolibrary.org/obo/ICEMR_1001012	Long-lasting ITN	http://purl.obolibrary.org/obo/ICEMR_0101037	Bednet treatment	INDIAN_1000012	Long-lasting ITN	values	
http://purl.obolibrary.org/obo/ICEMR_1001013	Untreated	http://purl.obolibrary.org/obo/ICEMR_0101037	Bednet treatment	INDIAN_1000013	Untreated	values	
http://purl.obolibrary.org/obo/ICEMR_1001014	Electric bat	http://purl.obolibrary.org/obo/ICEMR_0101037	Bednet treatment	INDIAN_1000014	Electric bat	values	
http://purl.obolibrary.org/obo/ICEMR_1001015	Other	http://purl.obolibrary.org/obo/ICEMR_0101037	Bednet treatment	INDIAN_1000015	Other	values	
http://purl.obolibrary.org/obo/ICEMR_1001016	mud	http://purl.obolibrary.org/obo/EUPATH_0000001	Building material	INDIAN_1000016	Mud	values	http://purl.obolibrary.org/obo/ENVO_01000001
http://purl.obolibrary.org/obo/ICEMR_1001017	bricks	http://purl.obolibrary.org/obo/EUPATH_0000001	Building material	INDIAN_1000017	Brick	values	http://purl.obolibrary.org/obo/ENVO_01000475
http://purl.obolibrary.org/obo/ICEMR_1001018	concrete	http://purl.obolibrary.org/obo/EUPATH_0000001	Building material	INDIAN_1000018	Concrete	values	http://purl.obolibrary.org/obo/ENVO_01000458
http://purl.obolibrary.org/obo/ICEMR_1001019	thatch	http://purl.obolibrary.org/obo/EUPATH_0000001	Building material	INDIAN_1000019	Thatch	values	http://purl.obolibrary.org/obo/ENVO_01000473
http://purl.obolibrary.org/obo/ICEMR_1001020	Index	http://purl.obolibrary.org/obo/ICEMR_0101044	Proximity to case dwelling	INDIAN_1000020	Index	values	
http://purl.obolibrary.org/obo/ICEMR_1001021	Proximal	http://purl.obolibrary.org/obo/ICEMR_0101044	Proximity to case dwelling	INDIAN_1000021	Proximal	values	
http://purl.obolibrary.org/obo/ICEMR_1001022	Distal	http://purl.obolibrary.org/obo/ICEMR_0101044	Proximity to case dwelling	INDIAN_1000022	Distal	values	
http://purl.obolibrary.org/obo/ICEMR_1001023	Nadiad	http://purl.obolibrary.org/obo/ICEMR_0101048	Clinic location	INDIAN_1000023	Nadiad	values	
http://purl.obolibrary.org/obo/ICEMR_1001024	Ahmedabad	http://purl.obolibrary.org/obo/ICEMR_0101048	Clinic location	INDIAN_1000024	Ahmedabad	values	
http://purl.obolibrary.org/obo/ICEMR_1001025	Sector 1	http://purl.obolibrary.org/obo/ICEMR_0101048	Clinic location	INDIAN_1000025	Sector 1	values	
http://purl.obolibrary.org/obo/ICEMR_1001026	Sector 5	http://purl.obolibrary.org/obo/ICEMR_0101048	Clinic location	INDIAN_1000026	Sector 5	values	
http://purl.obolibrary.org/obo/ICEMR_1001027	IGH	http://purl.obolibrary.org/obo/ICEMR_0101048	Clinic location	INDIAN_1000027	IGH	values	
http://purl.obolibrary.org/obo/ICEMR_1001028	None	http://purl.obolibrary.org/obo/ICEMR_0101056	Education level	INDIAN_1000028	None	values	
http://purl.obolibrary.org/obo/ICEMR_1001030	Primary school	http://purl.obolibrary.org/obo/ICEMR_0101056	Education level	INDIAN_1000030	Primary school	values	
http://purl.obolibrary.org/obo/ICEMR_1001032	Secondary school	http://purl.obolibrary.org/obo/ICEMR_0101056	Education level	INDIAN_1000032	Secondary school	values	
http://purl.obolibrary.org/obo/ICEMR_1001033	Diploma	http://purl.obolibrary.org/obo/ICEMR_0101056	Education level	INDIAN_1000033	Diploma	values	
http://purl.obolibrary.org/obo/ICEMR_1001034	University	http://purl.obolibrary.org/obo/ICEMR_0101056	Education level	INDIAN_1000034	University	values	
http://purl.obolibrary.org/obo/ICEMR_1001035	Graduate or higher	http://purl.obolibrary.org/obo/ICEMR_0101056	Education level	INDIAN_1000035	Graduate or higher	values	
