IRI,label,variable,dataFile,definition,codebookValues,parentIRI,parentLabel,termType,replaces,source category,ISA_Type,ISA_Parent,unitLabel,unitIRI,hidden,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000856,"City, village, or region",AnophelesAlbimanus.txt::location,AnophelesAlbimanus.txt,"The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512)  (http://purl.bioontology.org/ontology/GAZ)",,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,EUPATH_0000452,Anopheles albimanus,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,AnophelesAlbimanus.txt::country,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Anopheles albimanus,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,AnophelesAlbimanus.txt::env_feature,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Anopheles albimanus,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,AnophelesAlbimanus.txt::body_habitat,AnophelesAlbimanus.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Anopheles albimanus,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,AnophelesAlbimanus.txt::body_site,AnophelesAlbimanus.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Anopheles albimanus,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/UBERON_0000105,Host life stage,AnophelesAlbimanus.txt::host_life_stage,AnophelesAlbimanus.txt,description of life stage of host,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Anopheles albimanus,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/OMIT_0008430,Insecticide resistance,AnophelesAlbimanus.txt::phenotype,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,EUPATH_0009007,Anopheles albimanus,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/OBI_0001620,Latitude,AnophelesAlbimanus.txt::latitude,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,Anopheles albimanus,characteristicQualifier,Source,degrees,http://purl.obolibrary.org/obo/UO_0000185,everywhere,
http://purl.obolibrary.org/obo/OBI_0001621,Longitude,AnophelesAlbimanus.txt::longitude,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,Anopheles albimanus,characteristicQualifier,Source,degrees,http://purl.obolibrary.org/obo/UO_0000185,everywhere,
http://purl.obolibrary.org/obo/ECTO_9002101,Pyrethroid insecticide exposure,AnophelesAlbimanus.txt::exposure to pyrethroid insecticide,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,,Anopheles albimanus,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,AnophelesAlbimanus.txt::region,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/OBI_0003069,Sequencing,variable,,Anopheles albimanus,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,AnophelesAlbimanus.txt::sample_type,AnophelesAlbimanus.txt,,,http://purl.obolibrary.org/obo/EUPATH_0011996,Sample details,variable,,Anopheles albimanus,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0000639,Study group,AnophelesAlbimanus.txt::cohort,AnophelesAlbimanus.txt,"Describes treatment, infection status, etc.","AnophelesAlbimanus.txt::Co-housed Naive, Infected",http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Anopheles albimanus,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/OBI_0003074,Subject common name,AnophelesAlbimanus.txt::host_common_name,AnophelesAlbimanus.txt,"common name of the host, e.g. human",,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,EUPATH_0000512,Anopheles albimanus,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/OBI_0001169,Age,Bangladesh_healthy_5yr.txt::Age (months),Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,,Human,characteristicQualifier,Source,months,http://purl.obolibrary.org/obo/UO_0000035,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,Bangladesh_healthy_5yr.txt::country,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,OBI_0001627 | ENVO_00000004,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,Bangladesh_healthy_5yr.txt::env_feature,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0011894,Height-for-age z-score,Bangladesh_healthy_5yr.txt::HAZ,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,Bangladesh_healthy_5yr.txt::body_habitat,Bangladesh_healthy_5yr.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,Bangladesh_healthy_5yr.txt::body_product,Bangladesh_healthy_5yr.txt,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,Bangladesh_healthy_5yr.txt::body_site,Bangladesh_healthy_5yr.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009028,Monthly sample,Bangladesh_healthy_5yr.txt::Monthly Sample,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,Bangladesh_healthy_5yr.txt::region,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/OBI_0003069,Sequencing,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,Bangladesh_healthy_5yr.txt::sample_type,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/EUPATH_0011996,Sample details,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,Bangladesh_healthy_5yr.txt::Sex,Bangladesh_healthy_5yr.txt,physical sex of the host,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0009027,SRA Experiment ID,Bangladesh_healthy_5yr.txt::Experiment,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/OBI_0600047,Sequencing assay,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009026,SRA Run ID,Bangladesh_healthy_5yr.txt::Run,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/OBI_0003069,Sequencing,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009030,SRA study ID,Bangladesh_healthy_5yr.txt::SRA Study ID,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/OBI_0000066,Investigation type,variable,,Human,characteristicQualifier,Source,,,,
