ID	Name	EuPathDBLabel	Definition	EupathDefinition	Synonyms	URI
BFO_0000001	entity					http://purl.obolibrary.org/obo/BFO_0000001
BFO_0000002	continuant		An entity  that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.		endurant	http://purl.obolibrary.org/obo/BFO_0000002
BFO_0000003	occurrent		An entity  that has temporal parts and that happens, unfolds or develops through time. Sometimes also called perdurants.		perdurant	http://purl.obolibrary.org/obo/BFO_0000003
BFO_0000004	independent continuant		A continuant  that is a bearer of quality  and realizable entity  entities, in which other entities inhere and which itself cannot inhere in anything.		substantial entity	http://purl.obolibrary.org/obo/BFO_0000004
BFO_0000005	dependent continuant		A continuant  that is either dependent on one or other independent continuant  bearers or inheres in or is borne by other entities.			http://purl.obolibrary.org/obo/BFO_0000005
BFO_0000007	process		A processual entity  that is a maximally connected spatiotemporal whole and has bona fide beginnings and endings corresponding to real discontinuities.			http://purl.obolibrary.org/obo/BFO_0000007
BFO_0000016	disposition		A realizable entity  that essentially causes a specific process or transformation in the object  in which it inheres, under specific circumstances and in conjunction with the laws of nature. A general formula for dispositions is: X (object  has the disposition D to (transform, initiate a process) R under conditions C.			http://purl.obolibrary.org/obo/BFO_0000016
BFO_0000017	realizable entity		A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.			http://purl.obolibrary.org/obo/BFO_0000017
BFO_0000019	quality		A specifically dependent continuant  that is exhibited if it inheres in an entity or entities at all (a categorical property).			http://purl.obolibrary.org/obo/BFO_0000019
BFO_0000020	specifically dependent continuant		A continuant  that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.		trope,property,mode	http://purl.obolibrary.org/obo/BFO_0000020
BFO_0000023	role		A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.			http://purl.obolibrary.org/obo/BFO_0000023
BFO_0000029	site		An independent continuant  consisting of a characteristic spatial shape in relation to some arrangement of other continuant  entities and of the medium which is enclosed in whole or in part by this characteristic spatial shape. Site  entities are entities that can be occupied by other continuant  entities.			http://purl.obolibrary.org/obo/BFO_0000029
BFO_0000031	generically dependent continuant		A continuant  that is dependent on one or other independent continuant  bearers. For every instance of A requires some instance of (an independent continuant  type) B but which instance of B serves can change from time to time.			http://purl.obolibrary.org/obo/BFO_0000031
BFO_0000034	function					http://purl.obolibrary.org/obo/BFO_0000034
BFO_0000035	process boundary		A processual entity  that is the fiat or bona fide instantaneous temporal process boundary.			http://purl.obolibrary.org/obo/BFO_0000035
BFO_0000040	material entity		An independent continuant  that is spatially extended whose identity is independent of that of other entities and can be maintained through time.			http://purl.obolibrary.org/obo/BFO_0000040
BFO_0000050	is part of				part_of,part of	http://purl.obolibrary.org/obo/BFO_0000050
BFO_0000051	has part				has_part	http://purl.obolibrary.org/obo/BFO_0000051
BFO_0000052	inheres in				inheres_in	http://purl.obolibrary.org/obo/BFO_0000052
BFO_0000053	is bearer of				bearer of,bearer_of	http://purl.obolibrary.org/obo/BFO_0000053
BFO_0000054	is realized by				realized_by,realized by	http://purl.obolibrary.org/obo/BFO_0000054
BFO_0000055	realizes					http://purl.obolibrary.org/obo/BFO_0000055
BFO_0000056	participates in				participates_in	http://purl.obolibrary.org/obo/BFO_0000056
BFO_0000057	has participant				has_participant	http://purl.obolibrary.org/obo/BFO_0000057
BFO_0000058	is concretized as					http://purl.obolibrary.org/obo/BFO_0000058
BFO_0000059	concretizes					http://purl.obolibrary.org/obo/BFO_0000059
BFO_0000070	s depends on				s_depends_on	http://purl.obolibrary.org/obo/BFO_0000070
BFO_0000082	is located in				located_in,located in	http://purl.obolibrary.org/obo/BFO_0000082
BFO_0000087	has role				has_role	http://purl.obolibrary.org/obo/BFO_0000087
CARO_0001008	gross anatomical part		Anatomical structure that is part of a multicellular organism and is at the gross anatomical level, e.g. above the level of a cell.  Included are portions of organism substances such as blood, multi-cell-part structures such as axon tracts, acellular anatomical structures such as hair, and organism subdivisions such as head. Excluded is the whole organism and more granular parts of the organism, such as atoms, molecules, macromolecular complexes and cells.			http://purl.obolibrary.org/obo/CARO_0001008
CHEBI_16670	peptide		Amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another with formal loss of water. The term is usually applied to structures formed from alpha-amino acids, but it includes those derived from any amino carboxylic acid. X = OH, OR, NH2, NHR, etc.			http://purl.obolibrary.org/obo/CHEBI_16670
CHEBI_16991	deoxyribonucleic acid		High molecular weight, linear polymers, composed of nucleotides containing deoxyribose and linked by phosphodiester bonds; DNA contain the genetic information of organisms.			http://purl.obolibrary.org/obo/CHEBI_16991
CHEBI_23367	molecular entity		Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity.			http://purl.obolibrary.org/obo/CHEBI_23367
