variable	variable.1	values	mappedTerm
enrollment_form_labkey_correctid::site	enrollment_form_labkey_correctid::site	dibrugarh, assam	Dibrugarh, Assam
enrollment_form_labkey_correctid::site	enrollment_form_labkey_correctid::site	goa state	Goa state
enrollment_form_labkey_correctid::site	enrollment_form_labkey_correctid::site	northeast region (tripura and arunachal pradesh states)	Northeast region (Tripura and Arunachal Pradesh states)
enrollment_form_labkey_correctid::site	enrollment_form_labkey_correctid::site	ranchi, jharkhand	Ranchi, Jharkhand
enrollment_form_labkey_correctid::site	enrollment_form_labkey_correctid::site	wardha, maharashtra	Wardha, Maharashtra
enrollment_form_labkey_correctid::site	enrollment_form_labkey_correctid::site	ranchi	Ranchi
enrollment_form_labkey_correctid::site	enrollment_form_labkey_correctid::site	wardha	Wardha
enrollment_form_labkey_correctid::site	enrollment_form_labkey_correctid::site	dibrugarh	Dibrugarh
sample_collection_form::x10._temperature_.deg_fahrenheit.	sample_collection_form::x10._temperature_.deg_fahrenheit.	0	:::UNDEF:::
sample_collection_form::x10._temperature_.deg_fahrenheit.	sample_collection_form::x10._temperature_.deg_fahrenheit.	-99	:::UNDEF:::
sample_collection_form::x10._temperature_.deg_fahrenheit.	sample_collection_form::x10._temperature_.deg_fahrenheit.	-88	:::UNDEF:::
sample_collection_form::x14._blood_volume_collected_.ml.	sample_collection_form::x14._blood_volume_collected_.ml.	0	:::UNDEF:::
sample_collection_form::x14._blood_volume_collected_.ml.	sample_collection_form::x14._blood_volume_collected_.ml.	99.9	:::UNDEF:::
sample_collection_form::x14._blood_volume_collected_.ml.	sample_collection_form::x14._blood_volume_collected_.ml.	9.9999	:::UNDEF:::
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	01_-_Pf	Plasmodium falciparum
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	02_-_Pv	Plasmodium vivax
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	03_-_Pm	Plasmodium malariae
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	04_-_Po	Plasmodium ovale
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	05_-_mixed_Pf/Pv	Mixed Plasmodium falciparum and Plasmodium vivax
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	06_-_mixed_Pf/Pm	Mixed Plasmodium falciparum and Plasmodium malariae
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	07_-_negative	Negative
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	00_-_Missing	Missing
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	99_-_Uncertain	Uncertain
samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	samp_coll_form_3::x26._hospital_rdt_.._species_of_malaria.	NA	Not applicable
samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	01_-_Pf	Plasmodium falciparum
samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	02_-_Pv	Plasmodium vivax
samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	03_-_Pm	Plasmodium malariae
samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	04_-_Po	Plasmodium ovale
samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	05_-_mixed_Pf/Pv	Mixed Plasmodium falciparum and Plasmodium vivax
samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	06_-_mixed_Pf/Pm	Mixed Plasmodium falciparum and Plasmodium malariae
samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	07_-_negative	Negative
samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	00_-_Missing	Missing
samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	samp_coll_form_3::x27._hospital_smear_.._species_of_malaria	99_-_Uncertain	Uncertain
samp_coll_form_3::x28._hospital_hb_.g.dl.	samp_coll_form_3::x28._hospital_hb_.g.dl.	0	:::UNDEF:::
samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	00_-_Missing	Missing
samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	01_-_Yes	Yes
samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	02_-_No	No
samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	99_-_Uncertain	Uncertain
samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	samp_coll_form_3::x29._antimalarial_therapy_initiation_at_gmc.	NA	:::UNDEF:::
samp_coll_form_3::x32._inpatient	samp_coll_form_3::x32._inpatient	00_-_Missing	Missing
samp_coll_form_3::x32._inpatient	samp_coll_form_3::x32._inpatient	01_-_Yes	Inpatient
samp_coll_form_3::x32._inpatient	samp_coll_form_3::x32._inpatient	02_-_No	Outpatient
samp_coll_form_3::x32._inpatient	samp_coll_form_3::x32._inpatient	99_-_Uncertain	Uncertain
samp_coll_form_3::x32._inpatient	samp_coll_form_3::x32._inpatient	NA	:::UNDEF:::
questionnaire_form_1::x33._gender	questionnaire_form_1::x33._gender	01_-_Male	Male
questionnaire_form_1::x33._gender	questionnaire_form_1::x33._gender	02_-_Female	Female
questionnaire_form_1::x33._gender	questionnaire_form_1::x33._gender	NA	:::UNDEF:::
questionnaire_form_1::x34._age_.at_enrollment.	questionnaire_form_1::x34._age_.at_enrollment.	99	:::UNDEF:::
questionnaire_form_1::x35._tribal_.self.reported.	questionnaire_form_1::x35._tribal_.self.reported.	00_-_Missing	Missing
questionnaire_form_1::x35._tribal_.self.reported.	questionnaire_form_1::x35._tribal_.self.reported.	01_-_Yes	Yes
questionnaire_form_1::x35._tribal_.self.reported.	questionnaire_form_1::x35._tribal_.self.reported.	02_-_No	No
questionnaire_form_1::x35._tribal_.self.reported.	questionnaire_form_1::x35._tribal_.self.reported.	99_-_Uncertain	Uncertain
questionnaire_form_1::x35._tribal_.self.reported.	questionnaire_form_1::x35._tribal_.self.reported.	NA	:::UNDEF:::
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	00_-_missing	Missing
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	01_-_Andaman_&_Car_Nicobar_Island	Andaman and Car Nicobar Island
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	02_-_andhra_pradesh	Andhra Pradesh
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	03_-_arunachal_pradesh	Arunachal Pradesh
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	04_-_Assam	Assam
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	05_-_Bihar	Bihar
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	08_-_Daman_Diu_and_Nagra_Haveli	Daman Diu and Nagra Haveli
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	09_-_Goa	Goa
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	14_-_Jharkhand	Jharkhand
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	15_-_Karnataka	Karnataka
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	16_-_kerala	Kerala
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	18_-_Madhya_Pradesh	Madhya Pradesh
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	19_-_Maharashtra	Maharashtra
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	21_-_meghalaya	Meghalaya
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	31_-_telangana	Telangana
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	32_-_tripura	Tripura
