IRI,label,variable,dataFile,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,EMP_10249_ECAM.txt::geo_loc_name,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
ENVO_00000176,Elevation,EMP_10249_ECAM.txt::elevation,EMP_10249_ECAM.txt,,,,,,,feet,http://purl.obolibrary.org/obo/UO_0010013,,,,,,
ENVO_00000428,Environment (biome),EMP_10249_ECAM.txt::env_biome,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
ENVO_00000856,"City, village, or region",EMP_10249_ECAM.txt::village,EMP_10249_ECAM.txt,,,,,,EUPATH_0000452,,,,,,,,
ENVO_01000739,Habitat,EMP_10249_ECAM.txt::env_feature,EMP_10249_ECAM.txt,,,,,,ENVO_00002297,,,,,,,,
OBI_0001620,Latitude,EMP_10249_ECAM.txt::latitude,EMP_10249_ECAM.txt,,,,,,,degrees,http://purl.obolibrary.org/obo/UO_0000185,,everywhere,,,,
OBI_0001621,Longitude,EMP_10249_ECAM.txt::longitude,EMP_10249_ECAM.txt,,,,,,,degrees,http://purl.obolibrary.org/obo/UO_0000185,,everywhere,,,,
OBI_0001622,Title,EMP_10249_ECAM.txt::title,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
EUPATH_0000492,Courses of antibiotics,EMP_10249_ECAM.txt::course_num,EMP_10249_ECAM.txt,,,yes,,,,,,,,,,,
EUPATH_0000497,Mom's courses of delivery antibiotics,EMP_10249_ECAM.txt::mom_courses_ofdeliveryabx,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
EUPATH_0000580,Antibiotic exposure,EMP_10249_ECAM.txt::antiexposedall,EMP_10249_ECAM.txt,,,yes,,,,,,,,,,,
EUPATH_0000581,Delivery mode,EMP_10249_ECAM.txt::delivery,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
EUPATH_0000582,Antibiotics,EMP_10249_ECAM.txt::abx_name,EMP_10249_ECAM.txt,,,yes,,,,,,,,,,,
EUPATH_0000585,Child's diet (by month),EMP_10249_ECAM.txt::diet_2_month,EMP_10249_ECAM.txt,,,yes,,,,,,,,,,,
EUPATH_0000599,Prenatal antibiotics (yes/no),EMP_10249_ECAM.txt::mom_prenatal_abx,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
EUPATH_0000600,Prenatal antibotics (by class),EMP_10249_ECAM.txt::mom_prenatal_abx_class,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
EUPATH_0000601,Prenatal antibotics (by trimester),EMP_10249_ECAM.txt::mom_prenatal_abx_trimester,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
EUPATH_0009121,Perinatal antibiotics given,EMP_10249_ECAM.txt::abx_pmp_all,EMP_10249_ECAM.txt,,,yes,,,MICRO_0000463,,,,,,,,
EUPATH_0011732,Diet,EMP_10249_ECAM.txt::diet_3,EMP_10249_ECAM.txt,,,yes,,,,,,,,,,,
EUPATH_0050531,Contents of diet,EMP_10249_ECAM.txt::diet,EMP_10249_ECAM.txt,,,yes,,,EUPATH_0000590,,,,,,,,
OBI_0001169,Age,EMP_10249_ECAM.txt::Age (months),EMP_10249_ECAM.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
OBI_0001169,Age,EMP_10249_ECAM.txt::day_of_life,EMP_10249_ECAM.txt,,,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
OBI_0001169,Age,EMP_10249_ECAM.txt::age,EMP_10249_ECAM.txt,,,yes,yes,,,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,
OBI_0003071,Subject ID,EMP_10249_ECAM.txt::host_subject_id,EMP_10249_ECAM.txt,,,,,,,,,,everywhere,,,,yes
PATO_0000047,Sex,EMP_10249_ECAM.txt::sex,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
UBERON_0000061,Host body site,EMP_10249_ECAM.txt::body_site,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
UBERON_0000463,Host body product,EMP_10249_ECAM.txt::body_product,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
UBERON_0000466,Host body habitat,EMP_10249_ECAM.txt::body_habitat,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
EUPATH_0000594,Mother or child,EMP_10249_ECAM.txt::mom_child,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
OBI_0001619,Sample collection date,EMP_10249_ECAM.txt::collection_timestamp,EMP_10249_ECAM.txt,,,yes,yes,,,,,,,,,,
OBI_0100051,Sample type,EMP_10249_ECAM.txt::sample_type,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
EUPATH_0000604,Sequencing batch,EMP_10249_ECAM.txt::run_prefix_prep,EMP_10249_ECAM.txt,,,yes,,,,,,,,,,,
SO_0001000,Region of 16S rRNA sequenced,EMP_10249_ECAM.txt::region,EMP_10249_ECAM.txt,,,,,,,,,,,,,,
