Full Name	Term IRI	Parent	Parent IRI	ID	Comment name (GeneBank)	definition	Synonym	Package	type	Term type
				http://purl.obolibrary.org/obo/microbiome.owl#micro_ID	http://purl.obolibrary.org/obo/microbiome.owl#common_name	http://purl.obolibrary.org/obo/microbiome.owl#definition	http://purl.obolibrary.org/obo/microbiome.owl#synonym	http://purl.obolibrary.org/obo/microbiome.owl#MIxS_package	http://purl.obolibrary.org/obo/microbiome.owl#Env_package	http://purl.obolibrary.org/obo/microbiome.owl#term_type
altitude	http://purl.obolibrary.org/obo/MICRO_0000142	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_alt	alt	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air		environmental package	air	variable
barometric pressure	http://purl.obolibrary.org/obo/MICRO_0000152	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_barometric_press	barometric_press	force per unit area exerted against a surface by the weight of air above that surface		environmental package	air	variable
carbon dioxide	http://purl.obolibrary.org/obo/MICRO_0000162	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_carb_dioxide	carb_dioxide	carbon dioxide (gas) amount or concentration at the time of sampling		environmental package	air	variable
carbon monoxide	http://purl.obolibrary.org/obo/MICRO_0000163	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_carb_monoxide	carb_monoxide	carbon monoxide (gas) amount or concentration at the time of sampling		environmental package	air	variable
chemical administration	http://purl.obolibrary.org/obo/MICRO_0000165	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_chem_administration	chem_administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI		environmental package	air	variable
elevation	http://purl.obolibrary.org/obo/MICRO_0000196	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_elev	elev	the elevation of the sampling site as measured by the vertical distance from mean sea level		environmental package	air	variable
humidity	http://purl.obolibrary.org/obo/MICRO_0000225	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_humidity	humidity	amount of water vapour in the air, at the time of sampling		environmental package	air	variable
methane	http://purl.obolibrary.org/obo/MICRO_0000251	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_methane	methane	methane (gas) amount or concentration at the time of sampling		environmental package	air	variable
miscellaneous parameter	http://purl.obolibrary.org/obo/MICRO_0000255	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_misc_param	misc_param	any other measurement performed or parameter collected, that is not listed here		environmental package	air	variable
organism count	http://purl.obolibrary.org/obo/MICRO_0000269	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_organism_count	organism_count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts		environmental package	air	variable
oxygenation status of sample	http://purl.obolibrary.org/obo/MICRO_0000270	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_oxy_stat_samp	oxy_stat_samp	oxygenation status of sample		environmental package	air	variable
oxygen	http://purl.obolibrary.org/obo/MICRO_0000271	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_oxygen	oxygen	oxygen (gas) amount or concentration at the time of sampling		environmental package	air	variable
perturbation	http://purl.obolibrary.org/obo/MICRO_0000275	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types		environmental package	air	variable
pollutants	http://purl.obolibrary.org/obo/MICRO_0000288	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_pollutants	pollutants	pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant		environmental package	air	variable
