colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
2,http://purl.obolibrary.org/obo/EUPATH_0064401,Site number,rn,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Site number (increases if multiple years or sites are tested in a study),0,variable,,,,,WARNN,,,,,,,,,
3,http://purl.obolibrary.org/obo/ENVO_00000009,Country,cnt,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Country,Ethiopia,variable,,,,,WARNN,,,yes,,,,,,
4,http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,sna,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Location name,Dilla,variable,,,,,WARNN,,,yes,,,,,,
5,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,lon,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Longitude,38.3083,variable,,,,,WARNN,,,,,,,,,
6,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,lat,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Latitude,6.40833,variable,,,,,WARNN,,,,,,,,,
7,http://purl.obolibrary.org/obo/EUPATH_0043256,Sample collection start year,sf,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,Start year of sample collection,2004,variable,new term needed,,yes,,WARNN,,,,,,,,,
8,http://purl.obolibrary.org/obo/EUPATH_0043257,Sample collection end year,sto,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,End year of sample collection,2004,variable,new term needed,,yes,,WARNN,,,,,,,,,
9,http://purl.obolibrary.org/obo/EUPATH_0064402,Genotype or haplotype assessed,mt,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Genotype/Haplotype assessed,pfmdr1 86Y,variable,,,,,WARNN,,,,,,,,,
10,http://purl.obolibrary.org/obo/EUPATH_0064403,Infected blood sample count,tes,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Sample size,69,variable,new term needed,,,,WARNN,,,,,,,,,
11,http://purl.obolibrary.org/obo/EUPATH_0064404,Specific genotype or haplotype sample count,pre,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Number of samples with specific genotype/haplotype,45,variable,new term needed,,,,WARNN,,,,,,,,,
12,http://purl.obolibrary.org/obo/EUPATH_0064405,Specific genotype or haplotype including mixed infections sample count,premix,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Number of samples with specific genotype/haplotype including mixed infections,56,variable,new term needed,,,,WARNN,,,,,,,,,
13,http://purl.obolibrary.org/obo/IAO_0000442,Authors of publication,aut,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Authors of publication,Schunk M,variable,new term needed,,,,WARNN,,,,,,,,,
14,http://purl.obolibrary.org/obo/MI_0886,Publication year,pyear,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Publication year,2006,variable,new term needed,,yes,,WARNN,,,,,,,,,
15,http://purl.obolibrary.org/obo/MI_0614,Publication URL,purl,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Publication URL,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1524791&tool=pmcentrez&rendertype=abstract,variable,new term needed,,,,WARNN,,,,,,,,,
16,http://purl.obolibrary.org/obo/MI_1091,Title of publication,tit,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Title of publication,High prevalence of drug-resistance mutations in Plasmodium falciparum and Plasmodium vivax in southern Ethiopia.,variable,new term needed,,,,WARNN,,,,,,,,,
17,http://purl.obolibrary.org/obo/OBI_0001617,PubMed ID,pid,,act_partner_drug_surveyor_data_vbase,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Pub Med ID of publication,16817953,variable,new term needed,,,,WARNN,,,,,,,,,
18,http://purl.obolibrary.org/obo/EUPATH_0064406,Antimalarial resistance type,dru,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Drug that genotype is linked to,Amodiaquine,variable,new term needed,,,,WARNN,,,,,,,,,
19,http://purl.obolibrary.org/obo/EUPATH_0064407,Mutation group specific mutation linked to,mgr,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Group of mutation that mutation is linked to,pfmdr1 86Y,variable,new term needed,,,,WARNN,,,,,,,,,
