colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
2,rn,act_partner_drug_surveyor_data_vbase,,Site number,,Community,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Site number (increases if multiple years or sites are tested in a study),0,variable,,,,,,,WARNN,,,,,,,,,,int,0,,,0 to 21,13,0,,rn,act_partner_drug_surveyor_data_vbase::rn
3,cnt,act_partner_drug_surveyor_data_vbase,http://purl.obolibrary.org/obo/ENVO_00000009,Country,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Country,Ethiopia,variable,,,,,,,WARNN,,,yes,,,,,,,chr,Ethiopia,,,"Ethiopia, Tanzania, Uganda",3,0,,cnt,act_partner_drug_surveyor_data_vbase::cnt
4,sna,act_partner_drug_surveyor_data_vbase,http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Location name,Dilla,variable,,,,,,,WARNN,,,yes,,,,,,,chr,Dilla,,,>10 unique values,46,0.075542965,,sNa,act_partner_drug_surveyor_data_vbase::sna
5,lon,act_partner_drug_surveyor_data_vbase,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Longitude,38.3083,variable,,,,,,,WARNN,,,,,,,,,,dbl,38.3083,,,29.7426 to 42.1227,40,0,,lon,act_partner_drug_surveyor_data_vbase::lon
6,lat,act_partner_drug_surveyor_data_vbase,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Latitude,6.40833,variable,,,,,,,WARNN,,,,,,,,,,dbl,6.40833,,,-10.7528 to 9.31256,41,0,,lat,act_partner_drug_surveyor_data_vbase::lat
7,sf,act_partner_drug_surveyor_data_vbase,,Sample collection start year,,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,Start year of sample collection,2004,variable,new term needed,,,,yes,,WARNN,,,,,,1984,,,,int,2004,date?,,1984 to 2015,19,0,,sf,act_partner_drug_surveyor_data_vbase::sf
8,sto,act_partner_drug_surveyor_data_vbase,,Sample collection end year,,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,End year of sample collection,2004,variable,new term needed,,,,yes,,WARNN,,,,,,1994,,,,int,2004,,,1994 to 2015,17,0,,sTo,act_partner_drug_surveyor_data_vbase::sto
9,mt,act_partner_drug_surveyor_data_vbase,,Genotype or haplotype assessed,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Genotype/Haplotype assessed,pfmdr1 86Y,variable,,,,,,,WARNN,,,yes,,,,,,,chr,pfcrt 76K/T,,,>10 unique values,22,0,,mt,act_partner_drug_surveyor_data_vbase::mt
10,tes,act_partner_drug_surveyor_data_vbase,,Infected blood sample count,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Sample size,69,variable,new term needed,,,,,,WARNN,,,,,,,,,,int,69,,,1 to 635,161,0,,tes,act_partner_drug_surveyor_data_vbase::tes
11,pre,act_partner_drug_surveyor_data_vbase,,Specific genotype or haplotype sample count,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Number of samples with specific genotype/haplotype,45,variable,new term needed,,,,,,WARNN,,,,,,,,,,int,0,,,0 to 547,177,0,,pre,act_partner_drug_surveyor_data_vbase::pre
