overallOrder,variable,dataFile,dataSet,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,multifilter,notesForOnt
1,Country_ID,LMZ.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/OBI_0001627,Country,,Household,,,Country ID. Source=FRQ,,,
2,Pid,LMZ.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,,,Child ID (original). Source=CAF/MOA/MOB/MOC/SAF/FSQ/BRF/UCF/FSE/MOA,unique identifier,,
3,CAFSEX,LMZ.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,sex of child. Source=PIDs,"1=male, 2=female",,
5,NCFLASTDATE,LMZ.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011146,Last contact date,,Participant,,,,,,
6,target_month,LMZ.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011122,Target month for sample collection,,Sample,,,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA,,,
7,target_date,LMZ.csv,"MAL-ED, 0 to 36 months",,Target date for sample collection,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
8,urine_collection,LMZ.csv,"MAL-ED, 0 to 36 months",,Urine collection status,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
10,UCFDATE,LMZ.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
11,UCFVOL,LMZ.csv,"MAL-ED, 0 to 36 months",hhttp://purl.obolibrary.org/obo/EUPATH_0011194,Urine volume,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
12,UCFSAMPID,LMZ.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/OBI_0001616,Sample ID,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
13,ucf_in_14d_window,LMZ.csv,"MAL-ED, 0 to 36 months",,Urine collected in 14 day window,Collected with +/- 14 days of ideal date,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
14,ucf_in_30d_window,LMZ.csv,"MAL-ED, 0 to 36 months",,Urine collected in 30 day window,Collected with +/- 30 days of ideal date,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
15,D_man_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,Mannitol dosage (mg),,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
16,D_lac_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,Lactulose dosage (mg),,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
17,duration_urine_collection,LMZ.csv,"MAL-ED, 0 to 36 months",,Duration of urine collection (hrs),Number of hours urine was collected. The protocol specified 5 hours.,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
18,datasheet,LMZ.csv,"MAL-ED, 0 to 36 months",,Sample analysis date,Date urine sample was analyzed by the lab,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
26,no_mann_peak,LMZ.csv,"MAL-ED, 0 to 36 months",,Mannitol not detected,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
27,no_lact_peak,LMZ.csv,"MAL-ED, 0 to 36 months",,Lactuolose not detected,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
28,manexc_100,LMZ.csv,"MAL-ED, 0 to 36 months",,Greater than 100% mannitol excreted,The sample fails quality control checks since more than 100% of the recorded mannitol dose given to the participant was excreted,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
29,lacexc_100,LMZ.csv,"MAL-ED, 0 to 36 months",,Greater than 100% lactulose excreted,The sample fails quality control checks since more than 100% of the recorded lactulose dose given to the participant was excreted,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
30,urine_collection_short,LMZ.csv,"MAL-ED, 0 to 36 months",,Duration of urine collection less than 4.5 hrs,Whether urine was collected for less than 4.5 hours. Urine was supposed to be collected for 5 hours.,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
31,urine_collection_long,LMZ.csv,"MAL-ED, 0 to 36 months",,Duration of urine collection greater than 5.5 hrs,Whether urine was collected for more than 5.5 hours. Urine was supposed to be collected for 5 hours.,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
32,suspect_result,LMZ.csv,"MAL-ED, 0 to 36 months",,Urine included in lactulose-mannitol analysis,"Urine samples were excluded from analysis if either lactulose or mannitol were not detected, if either lactulose or mannitol excretion was mor than 100% of the dosage, if the duration of urine collection was either less than 4.5 hours or more than 5.5 hours, or if there was some other known issue with the sample",Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
40,note,LMZ.csv,"MAL-ED, 0 to 36 months",,Other reason urine sample excluded,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
41,lab,LMZ.csv,"MAL-ED, 0 to 36 months",,Lactulose and mannitol analysis lab,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
42,A_lmr,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted lactulose/mannitol excretion ratio,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
43,A_lac_mmols_per_L,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted lactulose (mmol/L),,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
44,A_man_mmols_per_L,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted mannitol (mmol/L),,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
45,A_man_exc_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted mannitol excreted (mg),,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
46,A_lac_exc_mg,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted lactulose excreted (mg),,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
47,A_man_perexc,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted mannitol excreted (%),,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
48,A_lac_perexc,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted lactulose excreted (%),,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
49,Zcontin_BC_lac,LMZ.csv,"MAL-ED, 0 to 36 months",,,,Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
51,lac_bin,LMZ.csv,"MAL-ED, 0 to 36 months",,Adjusted lactulose excreted (%) greater than 90th percentile in Brazil ,"Brazil data was used to represent the least abnormal gut permiability values. Since there was a small sample size, extreme values could not be transformed into z-scores with precision, so all values above the 90th percentile are indicated here",Sample,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,,,,
