IRI,label,displayOrder,variable,dataFile,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType
http://purl.obolibrary.org/obo/EUPATH_0011998,Household data collection date,,fsq::fsqdate | wami_0_5y::fsedate,wami_0_5y.csv | fsq.csv,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,,http://www.w3.org/2002/07/owl#Thing,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0000167,Bank account,1,wami_0_5y::fseabank,wami_0_5y,"Whether the household had a bank account. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own a bank account?. Source=FSE. yes = 01; no = 00,0 to 1,value
http://purl.obolibrary.org/obo/ENVO_00000501,Bed,2,wami_0_5y::fseamatt,wami_0_5y,"Whether the household had a bed. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a mattress?. Source=FSE. yes = 01; no = 00,0 to 1,value
http://purl.obolibrary.org/obo/ENVO_01000586,Chair,3,wami_0_5y::fseachair2,wami_0_5y,"Whether the household had a chair. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a chair or bench?. Source=FSE. yes = 01; no = 00,0 to 1,value
http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,6,wami_0_5y::fsearef,wami_0_5y,"Whether the household had a refrigerator. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a refrigerator?. Source=FSE. yes = 01; no = 00,0 to 1,value
http://purl.obolibrary.org/obo/ENVO_01000584,Table,4,wami_0_5y::fseatab,wami_0_5y,"Whether the household had a table. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a table?. Source=FSE. yes = 01; no = 00,0 to 1,value
http://purl.obolibrary.org/obo/ENVO_01000579,Television,5,wami_0_5y::fseatv,wami_0_5y,"Whether the household had a television. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a television?. Source=FSE. yes = 01; no = 00,0 to 1,value
http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,1,wami_0_5y::fsefloor,wami_0_5y,"Observed main material of the floor. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Main material of the floor (observation). Source=FSE. earth/sand/clay/mud/dung = 01; wood  = 02;  ceramic tiles or vinyl= 03;cement/concrete = 04; other = 05,", 1, 2, 3, 4, 5",variable
http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,2,wami_0_5y::fseroof,wami_0_5y,"Observed main material of the roof. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Main material of the roofs (observation). Source=FSE. no roof = 01; thatch = 02; metal = 03; wood = 04; brick = 05;tiles = 06;slate = 07;other = 08,", 1, 2, 3, 4, 5, 6, 7, 8",variable
http://purl.obolibrary.org/obo/EUPATH_0011593,Room count,4,wami_0_5y::fseroom1,wami_0_5y,"The total number of rooms in the house including the veranda, the living and sleeping rooms, as well as attached kitchens used only by this household. It excludes storerooms and separate kitchens that are shared with other families/households. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,How many rooms are there in your house?. Source=FSE. 01-15 (rooms),>10 unique values,variable
http://purl.obolibrary.org/obo/EUPATH_0011586,Separate kitchen,5,wami_0_5y::fsecloc2,wami_0_5y,"Whether the dwelling has a separate room which was used as a kitchen, in order to provide additional information on the hygiene status of the household. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Do you have a separate room which is used as a kitchen?. Source=FSE. yes = 01; no = 00,", 0, 1",variable
http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,3,wami_0_5y::fsewall,wami_0_5y,"Observed main material of the walls. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Main material of the walls (observation). Source=FSE. no walls = 01;mud = 02;wood = 03;cement/concrete = 04;stone = 05;metal = 06;other = 07,", 1, 2, 3, 4, 5, 6, 7",variable
http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,,,,,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0011138,Ate fewer meals due to lack of food last month,8,fsq::fsqffew,fsq,"In the past four weeks, whether any member of the participant's household had to eat fewer meals in a day because there was not enough food. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past four weeks, did you or any other household member have to eat fewer meals in a day because there was not enough food?. Source=FSQ. no (00); rarely (01); sometimes (02); often (03); don't know/no response (na)",0 to 3,variable
http://purl.obolibrary.org/obo/EUPATH_0011136,Ate foods not wanted last month,6,fsq::fsqfdislike,fsq,"In the past four weeks, whether any member of the participant's household had to eat some foods that they really did not want to eat because of a lack of resources to obtain other types of food. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past four weeks, did you or any household member have to eat some foods that you really did not want to eat because of a lack of resources to obtain other types of food?. Source=FSQ. no (00); rarely (01); sometimes (02); often (03); don't know/no response (na)",0 to 3,variable
http://purl.obolibrary.org/obo/EUPATH_0011144,Ate smaller meal than needed last month,7,fsq::fsqfsmall,fsq,"In the past four weeks, whether any member of the participant's household had to eat a smaller meal than they felt they needed because there was not enough food. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past four weeks, did you or any household member have to eat a smaller meal than you felt you needed because there was not enough food?. Source=FSQ. no (00); rarely (01); sometimes (02); often (03); don't know/no response (na)",0 to 3,variable
http://purl.obolibrary.org/obo/EUPATH_0011141,Had to eat a limited variety of foods last month,5,fsq::fsqflim,fsq,"In the past four weeks, whether any member of the participant's household had to eat a limited variety of foods due to a lack of resources. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past four weeks, did you or any household member have to eat a limited variety of foods due to a lack of resources?. Source=FSQ. no (00); rarely (01); sometimes (02); often (03); don't know/no response (na)",0 to 3,variable
http://purl.obolibrary.org/obo/EUPATH_0011145,Household Food Insecurity Access Scale (HFIAS),1,fsq::hfiacat,fsq,"Category based on methods described in Coates et al. Household Food Insecurity Access Scale (HFIAS) for Measurement of Household Food Access: Indicator Guide (version 3). Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"Household Food Insecurity Access Scale Category (based on Coates J, Swindale A, Bilinsky P 2007 FANTA) . Source=calculated. 1=none, 2=mild, 3=moderate, 4=severe",1 to 4,variable
http://purl.obolibrary.org/obo/EUPATH_0011151,Household Food Insecurity Access Scale (HFIAS) score,2,fsq::totscore,fsq,"Sum of 9 variables assessing household food security in the past four weeks. Values ranged from 0 (least insecure) to 27 (most insecure). Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"sum of FSQFSHORT, FSQFDIV,FSQFLIM, FSQFDISLIKE, FSEFSMALL, FSEFFEW, FSQNOFOOD, FSQFHUNG, FSQFDAY. Source=calculated. 0-27",0 to 27,variable
http://purl.obolibrary.org/obo/EUPATH_0011142,No food of any kind last month,9,fsq::fsqfnofood,fsq,"In the past four weeks, whether there was ever no food to eat of any kind in the participant's household because of lack of resources to get food. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past four weeks, was there ever no food to eat of any kind in your household because of lack of resources to get food?. Source=FSQ. no (00); rarely (01); sometimes (02); often (03); don't know/no response (na)",0 to 3,variable
http://purl.obolibrary.org/obo/EUPATH_0011137,Not able to eat preferred foods last month,4,fsq::fsqfdiv,fsq,"In the past four weeks, whether any member of the participant's household was not able to eat the kinds of foods they preferred because of a lack of resources. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past four weeks, were you or any household member not able to eat the kinds of foods you preferred because of a lack of resources?. Source=FSQ. no (00); rarely (01); sometimes (02); often (03); don't know/no response (na)",0 to 3,variable
http://purl.obolibrary.org/obo/EUPATH_0011135,Went 24hrs without food last month,11,fsq::fsqfday,fsq,"In the past four weeks, whether any member of the participant's household had go a whole day and night without eating anything because there was not enough food. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past four weeks, did you or any household member go a whole day and night without eating anything because there was not enough food?. Source=FSQ. no (00); rarely (01); sometimes (02); often (03); don't know/no response (na)",0 to 3,variable
http://purl.obolibrary.org/obo/EUPATH_0011139,Went to sleep hungry last month,10,fsq::fsqfhung,fsq,"In the past four weeks, whether any member of the participant's household had go to sleep at night hungry because there was not enough food. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past four weeks, did you or any household member go to sleep at night hungry because there was not enough food?. Source=FSQ. no (00); rarely (01); sometimes (02); often (03); don't know/no response (na)",0 to 3,variable
http://purl.obolibrary.org/obo/EUPATH_0011143,Worried that there was not enough food last month,3,fsq::fsqfshort,fsq,"In the past four weeks, whether the participant's mother, primary caregiver, or head of household worried that the household would not have enough food. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past four weeks, did you worry that your household would not have enough food?. Source=FSQ. no (00); rarely (01); sometimes (02); often (03); don't know/no response (na)",0 to 3,variable
http://purl.obolibrary.org/obo/OBI_0001627,Country,1,zscores_all::country_id,zscores_all,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Country. calculated,"BG, BR, IN, NP, PE, PK, SA, TZ",variable
http://purl.obolibrary.org/obo/EUPATH_0011928,Urban or rural site,2,zscores_all::uor,zscores_all,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Is the study site urban or rural?,"BG, BR, IN, NP, PE, PK, SA, TZ","variable, derived"
http://purl.obolibrary.org/obo/EUPATH_0011931,Age at household data collection (days),1,fsq::agedays | wami_0_5y::agedays,wami_0_5y | fsq,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,Age in days at assessment date. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA. ..,,"variable, derived"
http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,6,,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,5,,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA,NA,category
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,2,,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,3,,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,4,,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,7,,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0011922,Food security survey conducted in target window,3,fsq::window,fsq,"Whether food security was assessed within a -/+ 15 day target window. Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Household observation details,http://purl.obolibrary.org/obo/EUPATH_0011995,"Assessment is conducted in target window, extened window, out of window. Source=FRQ. out of window = 0, in target window = 1, in extended window = 2",0 to 1,variable
http://purl.obolibrary.org/obo/EUPATH_0011915,Target month for food security survey,2,fsq::target_month,fsq,"Food security was assessed every 6 months from 0-24 months, with optional assessments at 30 and 36 months.",Household,Household observation details,http://purl.obolibrary.org/obo/EUPATH_0011995,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA.,0 to 24,variable
http://purl.obolibrary.org/obo/EUPATH_0011920,Target month for socioeconomic status survey,1,wami_0_5y::target_month,wami_0_5y,"Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Household observation details,http://purl.obolibrary.org/obo/EUPATH_0011995,Target/scheduled month. Source=FRQ/FSQ/BRF/UCF/SRF/FSE/MOA.,6 to 36,variable
http://purl.obolibrary.org/obo/EUPATH_0011603,Drinking water score,1,wami_0_5y::newdrink,wami_0_5y,"Whether the household drinking water source was categorized as improved or unimproved, based on WHO definitions. Drinking water sources categorized as 'Improved' include water that is 'Piped into dwelling' or 'Piped into yard or plot,' or from a 'Public tap or stand pipe;' a 'Tube well or borehole;' or a 'Protected well.' Drinking water sources categorized as 'Unimproved' include water that is from an 'Unprotected well' or 'Surface water.' Other sources of drinking water were considered 'Improved,' except for Peru where it was considered 'Unimproved' due to site-specific circumstances. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,"Score of drinking water source; 0  for unimproved categories, 4 for improved categories. Source=FSE(derived). if fsewdrink = ''01'',''02'',''03'',''04'',''05'',''08'' then newdrink=4, ''improved'' except for pel where fsewdrink=''08'' is also considered unimproved due to site-specific circumstances; if fsewdrink = ''06'',''07'' then newdrink=0 ''unimproved'', except for pel where values of ''08'' for fsewdrink are considered unimproved",", 0, 4",variable
http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,2,wami_0_5y::fsewdrink,wami_0_5y,"The main source of drinking water for members of the household. If the source varies by season, the main source used at the time of interview. Other sources of drinking water were considered 'Improved,' except for Peru where it was considered 'Unimproved' due to site-specific circumstances. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,What is the main source of drinking water for members of your household?. Source=FSE. piped into dwelling = 01; piped to yard/plot = 02 ; public tap/stand pipe= 03 ; tube well or borehole = 04; protected well = 05; unprotected well = 06 ; surface water (river/ dam/ lake/pond/ stream/canal/irrigation canal) = 07 ; other = 08,", 1, 2, 3, 4, 5, 6, 7, 8",variable
http://purl.obolibrary.org/obo/EUPATH_0011579,Currency exchange rate to USD,3,wami_0_5y::exch,wami_0_5y,"Currency exchange rate to buy US Dollars. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Income,http://purl.obolibrary.org/obo/EUPATH_0011680,Currrency exchange rate to buy US Dollars. Source=Compiled from http://www.oanda.com/currency/historical-rates/. #.###,5e-04 to 0.65,variable
http://purl.obolibrary.org/obo/EUPATH_0011606,Family income (USD),1,wami_0_5y::newincome,wami_0_5y,"Average monthly income for the entire household, converted to US Dollars. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Income,http://purl.obolibrary.org/obo/EUPATH_0011680,Reported income mulitplied by exchange rate. Source=FSE(derived). #,>10 unique values,variable
http://purl.obolibrary.org/obo/EUPATH_0000727,Family income (local currency),2,wami_0_5y::fseincome,wami_0_5y,"Average monthly income for the entire household, reported in the local currency. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Income,http://purl.obolibrary.org/obo/EUPATH_0011680,NA,NA,variable
http://purl.obolibrary.org/obo/EUPATH_0011590,Maternal education,1,wami_0_5y::fsemed,wami_0_5y,"Whether the participant's mother had ever attended school. This variable refers to formal school only, and includes any formal schooling beginning with kindergarten. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Schooling,http://purl.obolibrary.org/obo/EUPATH_0011708,Have you ever attended school? . Source=FSE. yes = 01; no = 00,"., 00, 01",variable
http://purl.obolibrary.org/obo/EUPATH_0011605,Maternal education (years),2,wami_0_5y::fsemed2,wami_0_5y,"Years of schooling that the participant's mother had completed, beginning with kindergarten and through any university or post-university education. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Schooling,http://purl.obolibrary.org/obo/EUPATH_0011708,,,variable
http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,1,,,"Whether the household had any of the following items. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA,NA,multifilter
http://purl.obolibrary.org/obo/EUPATH_0011609,Fewer than 2 people per room,8,wami_0_5y::people,wami_0_5y,"Whether fewer than 2 people, on average, sleep in each room in the dwelling. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Score of 1 if less than 2 people (mean) per room. Source=FSE(derived). #,0 to 1,variable
http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,5,,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0011680,Income,2,,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0011604,Mean people per room,7,wami_0_5y::newfsepeople,wami_0_5y,"Mean number of people sleeping in each room in the dwelling. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Mean number of people per room in the household (fsesleep/fseroom1). Source=FSE(derived). #,>10 unique values,variable
http://purl.obolibrary.org/obo/EUPATH_0000714,Persons sleeping in dwelling,6,wami_0_5y::fsesleep,wami_0_5y,"Number of people who usually sleep in this household on an average night. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many people usually sleep in this household?. Source=FSE. 01-30 (people),>10 unique values,variable
http://purl.obolibrary.org/obo/EUPATH_0011708,Schooling,4,,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0011932,Socioeconomic status,3,,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA,NA,category
http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",4,wami_0_5y::asset,wami_0_5y,"Sum of 8 variables: (i) 'Bank account,' (ii) 'Bed,' (iii) 'Chair,' (iv) 'Table,' (v) 'Television,' (vi) 'Refrigerator,' (vii) 'Separate kitchen,' (vii) 'Fewer than 2 people per room.' Positive responses for each of these variables got a score of 1 while negative responses got a score of 0. Used as a component in calculating the WAMI index and ranged from 0 (low) to 8 (high). Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,"sum of 8 assets scores. Has?: mattress,chair,table,tv,refrigertaor,bank account,kitchen, < 2 people per room. Positive reponses for each of these get a score of 1 while negative responses get 0. . Source=FSE(derived). range 0-8",0 to 8,variable
http://purl.obolibrary.org/obo/EUPATH_0011601,Income score,6,wami_0_5y::incat,wami_0_5y,"Average monthly income for the entire household, converted to US Dollars, categorized into all-site noniles. Used as a component in calculating the WAMI index. Values ranged from 0 (low) to 8 (high). Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,"Reported income in US Dollars, catgeorized in all-site noniles. Source=FSE(derived). income category cutoffs, noniles of ''newincome'' (created using income data up to 36 months):0: <=36.6; 1: >=36.62 & <=65.7; 2: >=65.8 & <=90.9; 3: >=90.972 & <=111.84; 4: >=111.93 & <=140.72; 5: >=140.76 & <=180.65; 6: >=180.8 & <=250; 7: >=250.05 & <=353.2; 8: >=353.338",", 0, 1, 2, 3, 4, 5, 6, 7, 8",variable
http://purl.obolibrary.org/obo/EUPATH_0011591,Maternal education score,5,wami_0_5y::newfseschool,wami_0_5y,"Years of schooling that the participant's mother had completed, divided by 2. Used as a component in calculating the WAMI index. Values ranged from 0 (low) to 8 (high). Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,How many years of schooling have you completed?. Source=FSE. 00-20,>10 unique values,variable
http://purl.obolibrary.org/obo/EUPATH_0011608,Overall socioeconomic score,2,wami_0_5y::overall,wami_0_5y,"Sum of all 4 components used to calculate the WAMI index: (i) 'Sanitation and drinking water score,' (ii) 'Assets score,' (iii) 'Income score,' and (iv) 'Maternal education score.' Values ranged from 0 (low) to 32 (high). Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,sum of all WAMI component scores. Source=FSE(derived). 0-32,0 to 32,variable
http://purl.obolibrary.org/obo/EUPATH_0011617,Sanitation and drinking water score,3,wami_0_5y::sanitation,wami_0_5y,"Sum of sanitation and drinking water scores. Used as a component in calculating the WAMI index. Households with 'Drinking water categorization' and 'Sanitation categorization' variables classified as 'improved' got a score of 4 for each; 'unimproved' responses got a score of 0 for each. Values ranged from 0 (low) to 8 (high). Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,Sum of saniation and drinking scores. . Source=FSE(derived). range 0-8,0 to 8,variable
http://purl.obolibrary.org/obo/EUPATH_0011620,WAMI index,1,wami_0_5y::wami,wami_0_5y,"An index of socio-economic status that includes access to improved water and sanitation, eight selected assets, maternal education, and household income. The WAMI index was calculated by dividing the 'Overall socioeconomic score' by 32. Values ranged from 0 (low) to 1 (high). Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,"The wami is calculated by summing values of the following variables: sanitation, asset, incat, newfseschool and dividing the total by 32. Source=FSE(derived). range 0-1",0 to 1,variable
http://purl.obolibrary.org/obo/EUPATH_0011701,"Latrine type, current",4,wami_0_5y::typeof,wami_0_5y,"Type of pit latrine used by members of the household at the time of survey. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,"Type of pit latrine. Source=TZH latrine. 1=with slab, 2=no slab, 3=no facility, na=no facility",", 1, 2, 3",variable
http://purl.obolibrary.org/obo/EUPATH_0011702,"Latrine type, previous",5,wami_0_5y::ifno,wami_0_5y,"Type of pit latrine previously used, if the style of pit latrine used by members of the household at the time of survey was different than the type used when the participant was 0-2 years of age. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,If NO; type when pit latrine 0-2yrs. Source=TZH latrine. with slab = 1;with no slab = 2;others = 3,", 1, 2, 3",variable
