overallOrder,variable,dataFile,dataSet,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,multifilter,notesForOnt
195,bcgdoseN,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011210,Total BCG vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
430,bcgdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011210,Total BCG vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
90,dptdoseN,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011234,Total DPT vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
421,dptdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011234,Total DPT vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
329,hibdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011267,Total Haemophilus influenzae type B vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
363,hepbdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011257,Total hepatitis B vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
103,fludoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011246,Total influenza vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
159,ipvdoseN,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011484,Total IPV vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
207,ipvdoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011278,Total IPV vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
108,jedoseN,Vaccine_wide_moa.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011282,Total Japanese encephalitis vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
47,meadoseN,vax_and_titer_wdates.csv,"MAL-ED, 0 to 36 months",http://purl.obolibrary.org/obo/EUPATH_0011306,Total measles vaccine doses,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471,,,,"Suggested creation of new parent category ""Aggregated vaccination data"""
