label,newLabel,IRI,category,parentLabel,parentIRI
BCG vaccine doses prior to blood draw,Bacille Calmette-Guerin (BCG) vaccine doses prior to blood draw,http://purl.obolibrary.org/obo/EUPATH_0011211,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482
Deworming doses prior to blood draw,Deworming treatments prior to blood draw,http://purl.obolibrary.org/obo/EUPATH_0011223,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482
DPT vaccine doses prior to blood draw,"Diphtheria, pertussis, and tetanus (DPT) vaccine doses prior to blood draw",http://purl.obolibrary.org/obo/EUPATH_0011396,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482
IPV vaccine doses prior to blood draw,Inactivated poliovirus (IPV) vaccine doses prior to blood draw,http://purl.obolibrary.org/obo/EUPATH_0011279,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482
OPV vaccine doses prior to blood draw,Oral poliovirus (OPV) vaccine doses prior to blood draw,http://purl.obolibrary.org/obo/EUPATH_0011385,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482
Measles infection prior to blood draw (suspected),Suspected measles infection prior to blood draw,http://purl.obolibrary.org/obo/EUPATH_0011307,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482
Pertussis infection prior to blood draw (suspected),Suspected pertussis infection prior to blood draw,http://purl.obolibrary.org/obo/EUPATH_0011395,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482
Total BCG vaccine doses,Total Bacille Calmette-Guerin (BCG) vaccine doses,http://purl.obolibrary.org/obo/EUPATH_0011210,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471
Total deworm doses,Total deworming treatments,http://purl.obolibrary.org/obo/EUPATH_0011222,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096
Total DPT vaccine doses,"Total diphtheria, pertussis, and tetanus (DPT) vaccine doses",http://purl.obolibrary.org/obo/EUPATH_0011234,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471
Total IPV vaccine doses,Total inactivated poliovirus (IPV) vaccine doses,http://purl.obolibrary.org/obo/EUPATH_0011484,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471
Total OPV vaccine doses,Total oral poliovirus (OPV) vaccine doses,http://purl.obolibrary.org/obo/EUPATH_0011384,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471
Vitamin A supplementation doses prior to blood draw,Vitamin A supplementations prior to blood draw,http://purl.obolibrary.org/obo/EUPATH_0011521,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482
Anthropometry & Vaccine Form date,,,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310
Bacille Calmette-Guerin (BCG) vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Cholera vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Deworming treatment #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
"Diphtheria, pertussis, and tetanus (DPT) vaccine dose #",,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Haemophilus influenzae type B vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Hepatitis B vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Inactivated poliovirus (IPV) vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Influenza vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Japanese encephalitis vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Measles vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
"Measles, mumps, and rubella (MMR) vaccine dose #",,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Meningitis vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Mumps vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Oral poliovirus (OPV) vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Pneumococcal conjugate (PCV) vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Rabies vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Rotavirus vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Rubella vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Tetanus vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Total cholera vaccine doses,,,Participant,Aggregated vaccination data,http://purl.obolibrary.org/obo/EUPATH_0011471
Typhoid vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Varicella vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Vitamin A supplementation #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
Yellow fever vaccine dose #,,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
