"variable","IRI","label","definition","category","parentIRI","parentLabel","displayOrder","codebookDescription","codebookValues","termType","hidden"
"pubmedid","http://purl.obolibrary.org/obo/OBI_0001617","PubMed ID",,"study","http://purl.obolibrary.org/obo/EUPATH_0000605","Study",,,,,
"pubmed_title","http://purl.obolibrary.org/obo/NCIT_C183337","Publication Title",,"study","http://purl.obolibrary.org/obo/EUPATH_0000605","Study",,,,,
"title","http://purl.obolibrary.org/obo/NCIT_C42774","Title",,"study","http://purl.obolibrary.org/obo/EUPATH_0000605","Study",,,,,
"organism","http://purl.obolibrary.org/obo/OBI_0100026","Organism",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,
"host","http://purl.obolibrary.org/obo/EUPATH_0000591","Host organism",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,
"db_xref","http://purl.obolibrary.org/obo/NCIT_C54539","NCBI Taxon ID",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,
"haplotype","http://purl.obolibrary.org/obo/NCIT_C63547","Haplotype",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,
"mol_type","http://purl.obolibrary.org/obo/NCIT_C63816","molecule",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,"derived from biomol+moltype","DNA, RNA, AA",,
"product","http://purl.obolibrary.org/obo/CHEBI_36080","product","protein","assay","http://purl.obolibrary.org/obo/OBI_0600047","Assay",,,,,
"gene","http://purl.obolibrary.org/obo/NCIT_C16612","gene",,"assay","http://purl.obolibrary.org/obo/OBI_0600047","Assay",,,,,
"locus_tag","http://purl.obolibrary.org/obo/NCIT_C45257","locus tag",,"assay","http://purl.obolibrary.org/obo/OBI_0600047","Assay",,,,,
"isolation_source","http://purl.obolibrary.org/obo/FLU_0000954","isolation source",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,
"read_length","http://purl.obolibrary.org/obo/NCIT_C153362","read length",,"assay","http://purl.obolibrary.org/obo/OBI_0600047","Assay",,,,,
"sex","http://purl.obolibrary.org/obo/PATO_0000047","sex",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,
"dev_stage","http://www.ebi.ac.uk/efo/EFO_0000399","developmental stage",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,"adult",,
"country","http://purl.obolibrary.org/obo/ENVO_00000009","country",,"sample","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location",,,,,
"collection_date","http://purl.obolibrary.org/obo/OBI_0001619","sample collection date",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"has_geolocation","http://purl.obolibrary.org/obo/EUPATH_9990001","has geolocation",,"sample","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,,,
"longitude","http://purl.obolibrary.org/obo/OBI_0001621","longitude",,"sample","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,,,"everywhere"
"latitude","http://purl.obolibrary.org/obo/OBI_0001620","latitude",,"sample","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,,,"everywhere"
"geohash1","http://purl.obolibrary.org/obo/EUPATH_0043203","GEOHASH 1",,"sample","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,,,"everywhere"
"geohash2","http://purl.obolibrary.org/obo/EUPATH_0043204","GEOHASH 2",,"sample","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,,,"everywhere"
"geohash3","http://purl.obolibrary.org/obo/EUPATH_0043205","GEOHASH 3",,"sample","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,,,"everywhere"
"geohash4","http://purl.obolibrary.org/obo/EUPATH_0043206","GEOHASH 4",,"sample","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,,,"everywhere"
"geohash5","http://purl.obolibrary.org/obo/EUPATH_0043207","GEOHASH 5",,"sample","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,,,"everywhere"
"geohash6","http://purl.obolibrary.org/obo/EUPATH_0043208","GEOHASH 6",,"sample","http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,,,,"everywhere"
,,,,,,,,,,,
,"http://purl.obolibrary.org/obo/EUPATH_0043212","Geolocation",,"sample","http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location",,,,,
,"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location",,"sample","http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",1,,,,
,,,,,,,,,,,
,"http://purl.obolibrary.org/obo/EUPATH_0000605","Study",,,,,1,,,,
,"http://purl.obolibrary.org/obo/EUPATH_0000609","Sample",,,,,2,,,,
,"http://purl.obolibrary.org/obo/OBI_0600047","Sequencing Assay",,,,,,,,,
,"http://purl.obolibrary.org/obo/OBI_0600005","assay protocol",,,,,,,,,
,"http://purl.obolibrary.org/obo/OBI_0000659","sample protocol",,,,,,,,,
