IRI,label,displayOrder,variable,dataFile,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,replaces
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,,http://www.w3.org/2002/07/owl#Thing,,,,
http://purl.obolibrary.org/obo/EUPATH_0015028,Cow,,buffalo_cow,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,A27. Buffalo/cow [Muit/Masi],"2, No | 1, Yes",value,
http://purl.obolibrary.org/obo/EUPATH_0015030,Fowl,,poultry,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,A29. Poultry [Syiar],"2, No | 1, Yes",value,
http://purl.obolibrary.org/obo/EUPATH_0015024,Goat,,goat,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,A28. Goat [Blang],"2, No | 1, Yes",value,
http://purl.obolibrary.org/obo/EUPATH_0031151,Pig,,pig,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,A26. Pig [Sniang],"2, No | 1, Yes",value,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,electricityother | electricity_rad,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,A6. Specify other electricity [Batai shai] | A5. Is there electricity in the household? (observe),"2, No | 1, Yes | 3, Other",variable,
http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,mobphone_yn,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,A12. Is there a mobile phone present in your household? [Em mobile phone hi ha iung iong phi?],,variable,
http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,roof_rad,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,A17. Type of roof of the house (observe),"5, Tin | 4, Thatched and tiles | 3, Tiles | 2, Concrete | 6, Other | 1, Thatched",variable,
http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,,walls_rad,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,A15. Building material used for walls of the house (observe),"3, Concrete | 2, Brick | 4, Thatch | 6, Wood | 5, Stone | 1, Mud | 7, Other",variable,
http://purl.obolibrary.org/obo/EUPATH_0000418,Animals indoors,,animsinhouse_yn,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,A30. Are there animals living with you inside the house? [Em phi ki mrad ki wa sah lang hapoh iung?],,variable,
http://purl.obolibrary.org/obo/EUPATH_0029009,Animals indoors type,,animsinhouseyes,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,"A31. If yes, which animals? [Lada hooid, mrad aiu?]",,variable,
http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,,,,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,,,multifilter,
http://purl.obolibrary.org/obo/EUPATH_0020213,Health facility distance,,dist2clinic | dist2clinicunits,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,A22. units | A21. What is the distance to this typical source of health care? [Katwon ka jingjngai cha ka thaw e dawai heini?],"3, Don't know | 2, kilometers | 1, meters",variable,
http://purl.obolibrary.org/obo/EUPATH_0029010,Mosquitos indoors,,mosquitoesinhouse_rad,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,A32. Are there mosquitoes in your house? [Don skain pyrjong ha iing jong phi?],"5, Other [Kiwei kiwei] | 4, No [Em] | 1, Yes, always [Hooid, barobor] | 3, Only in the rainy season [Tang ha ka por slap] | 2, Yes, sometimes [Hooid, teng teng]",variable,
http://purl.obolibrary.org/obo/EUPATH_0021236,Time in transit to health facility,,transport2clinictime,khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,A25. How long would it usually take you to get there using that type of transport? (minutes),,variable,
