colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
1,cenid,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,1. Census (household) number,NA,,,,NA,cenid,jaintia_data_2021-01-22_1315visits1_2_hh::cenid,chr,bara001,NA,NA,>10 unique values,344,NA,0,duplicated variable
2,redcap_repeat_instrument,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,NA,NA,,,,NA,redcap_repeat_instrument,jaintia_data_2021-01-22_1315visits1_2_hh::redcap_repeat_instrument,lgl,NA,NA,NA,n/a,0,NA,1,no data
3,redcap_repeat_instance,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,NA,NA,,,,NA,redcap_repeat_instance,jaintia_data_2021-01-22_1315visits1_2_hh::redcap_repeat_instance,lgl,NA,NA,NA,n/a,0,NA,1,no data
4,visdat,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,2. Date,NA,,,,NA,visdat,jaintia_data_2021-01-22_1315visits1_2_hh::visdat,chr,8/15/18,date?,%d/%m/%Y,>10 unique values,23,NA,0,duplicated variable
5,village,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,3. Village,NA,,,,NA,village,jaintia_data_2021-01-22_1315visits1_2_hh::village,chr,Barato A,NA,NA,>10 unique values,15,NA,0,duplicated variable
6,gpslat,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,4. GPS latitude (degrees),NA,,,,NA,gpslat,jaintia_data_2021-01-22_1315visits1_2_hh::gpslat,dbl,25.6112,NA,NA,23.67459 to 38.85555,270,NA,0,duplicated variable
7,gpslong,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,5. GPS longitude (degrees),NA,,,,NA,gpslong,jaintia_data_2021-01-22_1315visits1_2_hh::gpslong,dbl,92.4464,NA,NA,91.44904 to 94.79902,272,NA,0,duplicated variable
8,gpselev,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,6. GPS elevation (meters),NA,,,,NA,gpselev,jaintia_data_2021-01-22_1315visits1_2_hh::gpselev,int,1024,NA,NA,890 to 3456,138,NA,0,duplicated variable
9,numpeopleinhouse,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,7. How many people are usually in the household? [Katno ngut ki briew ki don ha iing?],NA,,,,NA,numpeopleinhouse,jaintia_data_2021-01-22_1315visits1_2_hh::numpeopleinhouse,int,1,NA,NA,1 to 12,12,NA,0,duplicated variable
10,enrollhh_rad,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,8. Household enrollment status,"1, Enrolled | 2, Refused | 3, Not available | 5, Not eligible",,,,NA,enrollhh_rad,jaintia_data_2021-01-22_1315visits1_2_hh::enrollhh_rad,int,1,NA,NA,1 to 1,1,NA,0,duplicated variable
11,respondentsex,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,A1. Gender of respondent,"1, Male | 2, Female | 3, Other | 999, Unknown",,,,NA,respondentsex,jaintia_data_2021-01-22_1315visits1_2_hh::respondentsex,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
12,respondentage,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,"A2. How old are you? [I rata iong u ne ka nong chimbynta?] (if age is unknown, enter 999)(If no person older than 18 years available, go to next household)",NA,,,,"(If no person older than 18 years available, go to next  household and try again later) ",respondentage,jaintia_data_2021-01-22_1315visits1_2_hh::respondentage,int,67,NA,NA,18 to 376,53,NA,0,duplicated variable
13,respondenthofh_yn,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,A3. Are you the head of the household? [Phi toh u khlieh duh ka iung?],NA,,,,NA,respondenthofh_yn,jaintia_data_2021-01-22_1315visits1_2_hh::respondenthofh_yn,int,1,NA,NA,0 to 1,2,NA,0,duplicated variable
14,electricity_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A5. Is there electricity in the household? (observe),"1, Yes | 2, No | 3, Other",,,,NA,electricity_rad,jaintia_data_2021-01-22_1315visits1_2_hh::electricity_rad,int,1,NA,NA,1 to 3,3,NA,0,duplicated variable
15,electricityother,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A6. Specify other electricity [Batai shai],NA,,,,NA,electricityother,jaintia_data_2021-01-22_1315visits1_2_hh::electricityother,chr,Solar,NA,NA,", Lanten, Solar",2,NA,0.973837209,duplicated variable
16,water_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A7. What type of water supply? [Ka rukom sam um?],"1, Indoor plumbing [kor um ha iung] | 2, Bore well [um pump] | 3, Open well [pung um] | 4, Stream/river [wahduid/wah] | 5, Public tank/pump [kor um paidbah/pump] | 6, Other [kiwi kiwi]",,,,NA,water_rad,jaintia_data_2021-01-22_1315visits1_2_hh::water_rad,int,3,NA,NA,1 to 5,4,NA,0,duplicated variable
