colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
1,sid,malariabehaviorhouse_data_2020-05-27_1622,discard,,,Participant number,NA,,,,NA,sid,malariabehaviorhouse_data_2020-05-27_1622::sid,chr,MBI0001,NA,NA,>10 unique values,246,,0,duplicated variable
2,cen_num,malariabehaviorhouse_data_2020-05-27_1622,discard,,,Census (household) number,NA,,,,NA,cen_num,malariabehaviorhouse_data_2020-05-27_1622::cen_num,chr,RC0797,NA,NA,>10 unique values,234,,0,NA
3,date,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Date of interview,NA,,,,NA,date,malariabehaviorhouse_data_2020-05-27_1622::date,chr,2/1/17,date?,%Y-%m-%d,>10 unique values,28,,0,duplicated variable
4,gender,malariabehaviorhouse_data_2020-05-27_1622,discard,,,Gender  of respondent,"1, Male | 2, Female",,Dropping since same info is in individual file,,NA,gender,malariabehaviorhouse_data_2020-05-27_1622::gender,int,1,NA,NA,1 to 2,2,,0,NA
5,age,malariabehaviorhouse_data_2020-05-27_1622,discard,,,Age of respondent,NA,,Dropping since same info is in individual file,,NA,age,malariabehaviorhouse_data_2020-05-27_1622::age,int,56,NA,NA,5 to 69,57,,0,duplicated variable
6,head_of_house_yn,malariabehaviorhouse_data_2020-05-27_1622,discard,,,Is this person the head of the household?,NA,,Dropping since same info is in individual file,,NA,head_of_house_yn,malariabehaviorhouse_data_2020-05-27_1622::head_of_house_yn,int,1,NA,NA,0 to 1,2,,0,NA
7,num_people_in_house,malariabehaviorhouse_data_2020-05-27_1622,keep,,,How many people are usually in the household?,NA,,,,NA,num_people_in_house,malariabehaviorhouse_data_2020-05-27_1622::num_people_in_house,int,6,NA,NA,1 to 13,12,,0,NA
8,occupation_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Occupation of head of household,"1, Daily wage/labor | 2, Salaried service | 3, Self-employed/trade | 4, Housewife | 5, None | 6, Other, specify",,,,NA,occupation_rad,malariabehaviorhouse_data_2020-05-27_1622::occupation_rad,int,1,NA,NA,1 to 6,6,,0,duplicated variable
9,occupation_other,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"if Other, specify",NA,,,,NA,occupation_other,malariabehaviorhouse_data_2020-05-27_1622::occupation_other,chr,CULTIVATION,NA,NA,", CULTIVATION, DRIVER, FARM WORK, FARMER, SOCIAL WORKER, STUDENT",6,,0.780487805,duplicated variable
10,education_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Highest level of education of head of household,"1, None | 2, Primary | 3, Secondary | 4, University | 5, Diploma | 6, Graduate or higher | 7, Other, specify",,,,NA,education_rad,malariabehaviorhouse_data_2020-05-27_1622::education_rad,int,2,NA,NA,1 to 4,4,,0,duplicated variable
11,education_other,malariabehaviorhouse_data_2020-05-27_1622,discard,,,"if Other, specify",NA,,,,NA,education_other,malariabehaviorhouse_data_2020-05-27_1622::education_other,lgl,NA,NA,NA,n/a,0,,0,duplicated variable
12,electricity_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Electricity in household?,"1, Yes | 2, No | 3, Other, specify",,,,NA,electricity_rad,malariabehaviorhouse_data_2020-05-27_1622::electricity_rad,int,1,NA,NA,1 to 3,3,,0,NA
13,electricity_other,malariabehaviorhouse_data_2020-05-27_1622,discard,,,"if Other, specify",NA,,"Dropping since only one value of lamp/latern which should equal ""No"" to question of electricity_rad",,NA,electricity_other,malariabehaviorhouse_data_2020-05-27_1622::electricity_other,chr,LANTERNS/LAMPS,NA,NA,", LANTERNS/LAMPS",1,,0.995934959,NA
14,water_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Type of water  supply,"1, Indoor  plumbing | 2, Bore well | 3, Open well | 4, Stream/river | 5, Public tank/pump | 6, Other, specify",,,,NA,water_rad,malariabehaviorhouse_data_2020-05-27_1622::water_rad,int,2,NA,NA,2 to 5,4,,0,NA
15,water_other,malariabehaviorhouse_data_2020-05-27_1622,discard,,,"if Other, specify",NA,,,,NA,water_other,malariabehaviorhouse_data_2020-05-27_1622::water_other,lgl,NA,NA,NA,n/a,0,,0,NA
16,toilet_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Toilet available?,"1, No toilet for household | 2, Pit latrine available | 3, Other, specify",,,,NA,toilet_rad,malariabehaviorhouse_data_2020-05-27_1622::toilet_rad,int,2,NA,NA,1 to 3,3,,0,NA
17,toilet_other,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"if Other, specify",NA,,,,NA,toilet_other,malariabehaviorhouse_data_2020-05-27_1622::toilet_other,chr,BUSHES/OPEN FIELD,NA,NA,", BUSHES, BUSHES/OPEN FIELD, OPEN FIELD, USE OPEN FIELD",4,,0.955284553,NA
18,mobile_phone_yn,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Is there a mobile phone present in your household?,NA,,,,NA,mobile_phone_yn,malariabehaviorhouse_data_2020-05-27_1622::mobile_phone_yn,int,1,NA,NA,0 to 1,2,,0,NA
19,roof_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Type of roof of the house,"1, Thatched | 2, Concrete | 3, Tiles | 4, Thatched and tiles | 5, Other, specify",,,,NA,roof_rad,malariabehaviorhouse_data_2020-05-27_1622::roof_rad,int,1,NA,NA,1 to 5,5,,0,NA
20,roof_other,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"if Other, specify",NA,,,,NA,roof_other,malariabehaviorhouse_data_2020-05-27_1622::roof_other,chr,ASBESTOS,NA,NA,", ASBESTOES, ASBESTOS, CEMENT",3,,0.943089431,NA
21,clinic_distance,malariabehaviorhouse_data_2020-05-27_1622,keep,,,What is the distance to the nearest clinic?,NA,,,,Kilometers,clinic_distance,malariabehaviorhouse_data_2020-05-27_1622::clinic_distance,chr,7,NA,NA,>10 unique values,21,,0,NA
22,clinic_transport_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,What type of transport would you use to go there?,"1, Walking | 2, Bicycle | 3, Motorcycle | 4, Car | 5, Other, specify",,,,NA,clinic_transport_rad,malariabehaviorhouse_data_2020-05-27_1622::clinic_transport_rad,int,5,NA,NA,1 to 5,4,,0,NA
23,clinic_transport_other,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"if Other, specify",NA,,,,NA,clinic_transport_other,malariabehaviorhouse_data_2020-05-27_1622::clinic_transport_other,chr,BUSES,NA,NA,>10 unique values,13,,0.552845528,NA
24,clinic_transport_time,malariabehaviorhouse_data_2020-05-27_1622,keep,,,How long would it take you to get there using that type of transport?,NA,,,,Minutes,clinic_transport_time,malariabehaviorhouse_data_2020-05-27_1622::clinic_transport_time,chr,20,NA,NA,>10 unique values,20,,0,NA
25,itn_yn,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Does your household have an ITN? ,NA,,,,NA,itn_yn,malariabehaviorhouse_data_2020-05-27_1622::itn_yn,int,1,NA,NA,0 to 1,2,,0,NA
26,itn_no_reason,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If no, is there a specific reason why there is no ITN?",NA,,,,NA,itn_no_reason,malariabehaviorhouse_data_2020-05-27_1622::itn_no_reason,chr,NO GOVERNMENT SUPPLY,NA,NA,>10 unique values,23,,0.780487805,NA
27,itn_number,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If yes, number of ITNs in the household",NA,,,,NA,itn_number,malariabehaviorhouse_data_2020-05-27_1622::itn_number,chr,2,NA,NA,>10 unique values,10,,0.215447154,NA
28,itn_how_get,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If yes, how did you get the ITN?",NA,,,,NA,itn_how_get,malariabehaviorhouse_data_2020-05-27_1622::itn_how_get,chr,GOVERNMENT SUPPLIED,NA,NA,>10 unique values,20,,0.215447154,NA
29,itn_when_get,malariabehaviorhouse_data_2020-05-27_1622,keep,,,How long ago did you get the ITN?,NA,,,,Years,itn_when_get,malariabehaviorhouse_data_2020-05-27_1622::itn_when_get,chr,6,NA,NA,>10 unique values,18,,0.215447154,NA
30,itn_defects_yn,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Does the ITN have holes or other defects?,NA,,,,NA,itn_defects_yn,malariabehaviorhouse_data_2020-05-27_1622::itn_defects_yn,int,0,NA,NA,0 to 1,2,,0,NA
31,itn_defects_repair_yn,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If the net has holes, does somebody repair the net?",NA,,,,NA,itn_defects_repair_yn,malariabehaviorhouse_data_2020-05-27_1622::itn_defects_repair_yn,int,NA,NA,NA,0 to 1,2,,0,NA
32,coils_yn,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Does your household use coils?,NA,,,,NA,coils_yn,malariabehaviorhouse_data_2020-05-27_1622::coils_yn,int,0,NA,NA,0 to 1,2,,0,NA
33,coils_used_when_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If yes, when do you use them?","1, Daytime | 2, Evening | 3, Night  time | 4, Other, specify",,,,NA,coils_used_when_rad,malariabehaviorhouse_data_2020-05-27_1622::coils_used_when_rad,int,NA,NA,NA,2 to 3,2,,0,NA
34,coils_used_when_other,malariabehaviorhouse_data_2020-05-27_1622,discard,,,"if Other, specify",NA,,,,NA,coils_used_when_other,malariabehaviorhouse_data_2020-05-27_1622::coils_used_when_other,lgl,NA,NA,NA,n/a,0,,0,NA
35,coils_used_frequency_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If yes, how often do you use them?","1, Always | 2, Sometimes | 3, Rarely",,,,NA,coils_used_frequency_rad,malariabehaviorhouse_data_2020-05-27_1622::coils_used_frequency_rad,int,NA,NA,NA,1 to 2,2,,0,NA
36,mats_yn,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Does your household use mats?,NA,,,,NA,mats_yn,malariabehaviorhouse_data_2020-05-27_1622::mats_yn,int,0,NA,NA,0 to 1,2,,0,NA
37,mats_used_when_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If yes, when do you use them?","1, Daytime | 2, Evening | 3, Night  time | 4, Other, specify",,,,NA,mats_used_when_rad,malariabehaviorhouse_data_2020-05-27_1622::mats_used_when_rad,int,NA,NA,NA,1 to 3,3,,0,NA
38,mats_used_when_other,malariabehaviorhouse_data_2020-05-27_1622,discard,,,"if Other, specify",NA,,,,NA,mats_used_when_other,malariabehaviorhouse_data_2020-05-27_1622::mats_used_when_other,lgl,NA,NA,NA,n/a,0,,0,NA
39,mats_used_frequency,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If yes, how often do you use them?","1, Always | 2, Sometimes | 3, Rarely",,,,NA,mats_used_frequency,malariabehaviorhouse_data_2020-05-27_1622::mats_used_frequency,int,NA,NA,NA,1 to 3,3,,0,NA
40,vapor_yn,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Does your household use vaporizers?,NA,,,,NA,vapor_yn,malariabehaviorhouse_data_2020-05-27_1622::vapor_yn,int,0,NA,NA,0 to 1,2,,0,NA
41,vapor_used_when_rad,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If yes, when do you use them?","1, Daytime | 2, Evening | 3, Night  time | 4, Other, specify",,,,NA,vapor_used_when_rad,malariabehaviorhouse_data_2020-05-27_1622::vapor_used_when_rad,int,NA,NA,NA,2 to 3,2,,0,NA
42,vapor_used_when_other,malariabehaviorhouse_data_2020-05-27_1622,discard,,,"if Other, specify",NA,,,,NA,vapor_used_when_other,malariabehaviorhouse_data_2020-05-27_1622::vapor_used_when_other,lgl,NA,NA,NA,n/a,0,,0,NA
43,vapor_used_frequency,malariabehaviorhouse_data_2020-05-27_1622,keep,,,"If yes, how often do you use them?","1, Always | 2, Sometimes | 3, Rarely",,,,NA,vapor_used_frequency,malariabehaviorhouse_data_2020-05-27_1622::vapor_used_frequency,int,NA,NA,NA,1 to 3,3,,0,NA
44,antimoz_spray_yn,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Use Insecticide spray,"1, Yes | 2, No",,,,NA,antimoz_spray_yn,malariabehaviorhouse_data_2020-05-27_1622::antimoz_spray_yn,int,1,NA,NA,1 to 2,2,,0,NA
45,antimoz_dung_yn,malariabehaviorhouse_data_2020-05-27_1622,keep,,,Use burning neem leaves or cow dung,"1, Yes | 2, No",,,,NA,antimoz_dung_yn,malariabehaviorhouse_data_2020-05-27_1622::antimoz_dung_yn,int,1,NA,NA,1 to 2,2,,0,NA
