ISA Presenter Name,Project name,Study name,Study design,Investigation type,WHO indicator subdomain,Disease,Sample type,Population included,Data access level*,Country,Sex,Age,Household count,Participant count,Observation count,Sample count,Entomology collection count,Years,Additional data,Presenter #
,OBI_0001622,,OBI_0500000,OBI_0000066,EUPATH_0000763,DOID_4,OBI_0100051,OBI_000246,DUO_0000001,ENVO_00000004,PATO_0000047,OBI_0001169,EUPATH_0000773,OMIABIS_0001011,EUPATH_0000774,EUPATH_0000775,EUPATH_0000327,EUPATH_0000764,EUPATH_0001005,0
ISASimple_ICEMR_Amazonia_Brazil_cohort_RSRC,ICEMR,Amazonia ICEMR Brazil Cohort,Cohort,Observational,Communicable disease,Malaria,Blood sample,Infant; Child; Adult,,Brazil,Female; Male,,,,,,,2010; 2011; 2012; 2014,,31
ISASimple_ICEMR_Amazonia_Peru_lon2_RSRC,ICEMR,Amazonia ICEMR Peru Cohort,Cohort,Observational,Communicable disease,Malaria,Blood sample,Infant; Child; Adult,,Peru,Female; Male,,,,,,,2012; 2013; 2014; 2015,,9
ISASimple_General_COVID-19_hcq_nrct_RSRC,,COVID-19 Hydroxychloroquine Azithromycin Non-Randomized Trial,,Experimental,Communicable disease,Respiratory condition,Nasopharyngeal swab sample,Child; Adult,,France,Female; Male,,,,,,,2020,,33
ISASimple_Gates_GEMS_gems1_case_control_RSRC,GEMS,GEMS1 Case Control,Case-control,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease,Stool sample,Neonate; Infant; Child,,The Gambia; Mali; Bangladesh; Kenya; India; Pakistan; Mozambique,Female; Male,,,,,,,2007; 2008; 2009; 2010; 2011,<a href='http://microbiomedb.org/mbio/app/record/dataset/DS_bb7b589593'>MicrobiomeDB</a>,11
ISASimple_Gates_GEMS_gems1_case_control_huas_RSRC,GEMS,GEMS1 HUAS/HUAS Lite Survey,Cross-sectional,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease,No samples,Neonate; Infant; Child,,The Gambia; Mali; Bangladesh; Kenya; India; Pakistan; Mozambique,Female; Male,,,,,,,2007; 2008; 2009; 2010; 2011,,13
ISASimple_Gates_GEMS_gems1a_case_control_RSRC,GEMS,GEMS1A Case Control,Case-control,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease,Stool sample,Neonate; Infant; Child,,The Gambia; Mali; Bangladesh; Kenya; India; Pakistan; Mozambique,Female; Male,,,,,,,2011; 2012; 2013; 2014,MicrobiomeDB,12
ISASimple_Gates_GEMS_gems1a_case_control_huas_RSRC,GEMS,GEMS1A HUAS Lite Survey,Cross-sectional,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease,No samples,Neonate; Infant; Child,,The Gambia; Mali; Bangladesh; Kenya; India; Pakistan; Mozambique,Female; Male,,,,,,,2011; 2012; 2013; 2014,,14
ISASimple_ICEMR_India_behavior_cross-sectional_RSRC,ICEMR,India ICEMR Behavior Cross-sectional,Cross-sectional,Observational,Communicable disease,Malaria,Blood sample,Infant; Child; Adult,,India,Female; Male,,,,,,,2017,,36
ISASimple_ICEMR_India_longitudinal_RSRC,ICEMR,India ICEMR Cohort,Cohort,Observational,Communicable disease,Malaria,Blood sample,Child; Adult,,India,Female; Male,,,,,,,2013; 2014; 2015,,4
ISASimple_ICEMR_India_gujarat_cohort_RSRC,ICEMR,India ICEMR Severe P. vivax and falciparum Cohort,Cohort,Observational,Communicable disease,Malaria,Blood sample,Child; Adult,,India,Female; Male,,,,,,,2016; 2017,,32
ISASimple_ICEMR_India_cross_sectional_RSRC,ICEMR,India ICEMR Cross-Sectional,Cross-sectional,Observational,Communicable disease,Malaria,Blood sample,Child; Adult,,India,Female; Male,,,,,,,2012; 2013; 2014,,3
ISASimple_ICEMR_India_fever_surveillance_RSRC,ICEMR,India ICEMR Fever Surveillance,,Surveillance,Communicable disease,Malaria,Blood sample,Child; Adult,,India,Female; Male,,,,,,,2016; 2017,,5
ISASimple_General_Crompton_cohort_RSRC,,Kalifabougou Malaria Cohort,Cohort,Observational,Communicable disease,Malaria,Blood sample; Stool sample; Urine sample,Infant; Child; Adult,,Mali,Female; Male,,,,,,,2011; 2012; 2013; 2014,,28
ISASimple_Gates_REACH_LAKANA_rct_RSRC,,LAKANA Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease; Malaria; Respiratory condition,Blood sample; Stool sample; Urine sample; Nasopharyngeal swab sample,Infant,,Mali,Female; Male,,,,,,,,,33
