variable,colOrder,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag,IRI,label,displayOrder,parentLabel,parentIRI
hhid,1,cdc lt database through october 29th 2020,discard,NA,NA,Household ID number,NA,NA,,,,hhid,cdc lt database through october 29th 2020::hhid,dbl,101005301,NA,NA,101005301 to 315032601,80,NA,0,duplicated variable,NA,NA,NA,NA,NA
district,2,cdc lt database through october 29th 2020,discard,NA,NA,District,NA,NA,,,,District,cdc lt database through october 29th 2020::district,dbl+lbl,1,NA,NA,1 to 2,2,NA,0,duplicated variable,NA,NA,NA,NA,NA
parish,3,cdc lt database through october 29th 2020,discard,NA,NA,Parish,NA,NA,,,,Parish,cdc lt database through october 29th 2020::parish,dbl+lbl,1,NA,NA,1 to 3,3,NA,0,duplicated variable,NA,NA,NA,NA,NA
zones,4,cdc lt database through october 29th 2020,discard,NA,NA,Zones,NA,NA,,,,Zones,cdc lt database through october 29th 2020::zones,dbl+lbl,1,NA,NA,1 to 4,4,NA,0,duplicated variable,NA,NA,NA,NA,NA
village,5,cdc lt database through october 29th 2020,discard,NA,NA,Village,NA,NA,,,,Village,cdc lt database through october 29th 2020::village,dbl+lbl,101,NA,NA,101 to 315,10,NA,0,duplicated variable,NA,NA,NA,NA,NA
latitude,6,cdc lt database through october 29th 2020,discard,NA,NA,Latitude,NA,NA,,,,Latitude,cdc lt database through october 29th 2020::latitude,dbl,0.556333987,NA,NA,0.554660959169269 to 0.615951027721167,80,NA,0,duplicated variable,NA,NA,NA,NA,NA
longitude,7,cdc lt database through october 29th 2020,discard,NA,NA,Longitude,NA,NA,,,,Longitude,cdc lt database through october 29th 2020::longitude,dbl,34.12236496,NA,NA,34.1148899774998 to 34.1765019949525,80,NA,0,duplicated variable,NA,NA,NA,NA,NA
elevation,8,cdc lt database through october 29th 2020,discard,NA,NA,Elevation in meters,NA,NA,,,,Elevation,cdc lt database through october 29th 2020::elevation,dbl,1192.300537,NA,NA,1095.481567 to 1192.300537,79,NA,0.015209125,duplicated variable,NA,NA,NA,NA,NA
date,9,cdc lt database through october 29th 2020,keep,,Entomology,Date of LT collection,NA,variable,,,,date,cdc lt database through october 29th 2020::date,date,18514,date?,NA,18513 to 18564,31,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020003,Collection date,1,Entomology collection,http://purl.obolibrary.org/obo/EUPATH_0025170
week,10,cdc lt database through october 29th 2020,keep,NA,NA,Study week of LT collection,NA,NA,,,,week,cdc lt database through october 29th 2020::week,dbl+lbl,0,NA,NA,0 to 6,4,NA,0,NA,NA,NA,NA,NA,NA
roomnumm,11,cdc lt database through october 29th 2020,keep,NA,NA,Room number trap set,NA,NA,,,,roomnumm,cdc lt database through october 29th 2020::roomnumm,dbl,1,NA,NA,1 to 4,4,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020178,Collection room number,NA,NA,NA
