8sites_diet5y::agedays	OBI_0001169	na	:::UNDEF:::	
micro_x::maxdehyd	EUPATH_0010491	0	None	1
illnessfull::dur_sc	EUPATH_0010495	0	0 points - 0-1 day	1
micro_x::dur_sc	EUPATH_0010495	0	0 points - 0-1 day	1
illnessfull::ls_sc	EUPATH_0010496	1	1 point - <5 loose stools	1
micro_x::ls_sc	EUPATH_0010496	1	1 point - <5 loose stools	1
illnessfull::vom_sc	EUPATH_0010497	0	0 points - 0 days	1
micro_x::vom_sc	EUPATH_0010497	0	0 points - 0 days	1
illnessfull::dehyd_sc	EUPATH_0010498	0	0 points - No dehydration	1
micro_x::dehyd_sc	EUPATH_0010498	0	0 points - No dehydration	1
illnessfull::fev_sc	EUPATH_0010499	0	0 points - No fever reported	1
micro_x::fev_sc	EUPATH_0010499	0	0 points - No fever reported	1
illnessfull::safact	EUPATH_0010526	0	Normal	1
bf2::cafbegbf	EUPATH_0011010	0	Within 1 hour	1
fsq::fsqfday	EUPATH_0011135	0	0 points - No	1
fsq::fsqfdislike	EUPATH_0011136	0	0 points - No	1
fsq::fsqfdiv	EUPATH_0011137	0	0 points - No	1
fsq::fsqffew	EUPATH_0011138	0	0 points - No	1
fsq::fsqfhung	EUPATH_0011139	0	0 points - No	1
fsq::fsqflim	EUPATH_0011141	0	0 points - No	1
fsq::fsqfnofood	EUPATH_0011142	0	0 points - No	1
fsq::fsqfshort	EUPATH_0011143	0	0 points - No	1
fsq::fsqfsmall	EUPATH_0011144	0	0 points - No	1
fsq::hfiacat	EUPATH_0011145	1	Food secure	1
mn_iar::iarcat	EUPATH_0011175	0	100ug/L or more	1
wami_0_5y::newdrink	EUPATH_0011603	0	0 points - Unimproved	1
wami_0_5y::newsanitation	EUPATH_0011607	0	0 points - Unimproved	1
illnessfull::safdehyd	HP_0001944	0	None	1
micro_x::maxdehyd	EUPATH_0010491	1	Some	2
illnessfull::dur_sc	EUPATH_0010495	1	1 point - 2-4 days	2
micro_x::dur_sc	EUPATH_0010495	1	1 point - 2-4 days	2
illnessfull::ls_sc	EUPATH_0010496	2	2 points - 5-7 loose stools	2
micro_x::ls_sc	EUPATH_0010496	2	2 points - 5-7 loose stools	2
illnessfull::vom_sc	EUPATH_0010497	1	1 point - 1 day	2
micro_x::vom_sc	EUPATH_0010497	1	1 point - 1 day	2
illnessfull::dehyd_sc	EUPATH_0010498	2	2 points - Some dehydration	2
