file	category	id	note
zscores_all_dh	Household	pid	
fsq_dh	Household Observation	pid+agedays	
wami_0_5y_dh	Household Observation	pid+agedays	
8sites_diet5y_dh	Participant	pid	
aggregatedVax_dh	Participant	pid	
bf2_dh	Participant	pid	
diet_dh	Participant	pid	
fsq_dh	Participant	pid	
illnessfull_dh	Participant	pid	
lmz_dh	Participant	pid	
micro_x_dh	Participant	pid	
mn_blood_dh	Participant	pid	
mn_iar_dh	Participant	pid	
mpo_neo_ala_dh	Participant	pid	
rearrangedVax_dh	Participant	pid	
tac_dh	Participant	pid	
tac_60m_updated_dh	Participant	pid	
vax_and_titer_wdates_dh	Participant	pid	
wami_0_5y_dh	Participant	pid	
whocoreallsites_dh	Participant	pid	
zscores_all_dh	Participant	pid	
8sites_diet5y_dh	Observation	pid+agedays	
bf2_dh	Observation	pid+agedays	
diet_dh	Observation	pid+agedays	
fsq_dh	Observation	pid+agedays	
illnessfull_dh	Observation	pid+age	
lmz_dh	Observation	pid+agedays	
micro_x_dh	Observation	pid+agedays	
mn_blood_dh	Observation	pid+agedays	
mn_iar_dh	Observation	pid+agedays	
mpo_neo_ala_dh	Observation	pid+agedays	
rearrangedVax_dh	Observation	pid+agedays	
tac_dh	Observation	pid+agedays	
tac_60m_updated_dh	Observation	pid+agedays	
vax_and_titer_wdates_dh	Observation	pid+agedays	
wami_0_5y_dh	Observation	pid+agedays	
whocoreallsites_dh	Observation	pid+agedays	
zscores_all_dh	Observation	pid+agedays	
lmz_dh	Sample	pid+age+ucfsampid	urine
micro_x_dh	Sample	pid+age+srfmbsampid	stool
mn_blood_dh	Sample	pid+age+sampid	blood
mn_iar_dh	Sample	pid+age+sampid	urine
mpo_neo_ala_dh	Sample	pid+age+srfmbsampid	stool
tac_dh	Sample	pid+age+sid	stool
tac_60m_updated_dh	Sample	pid+age+sid	stool
vax_and_titer_wdates_dh	Sample	pid+age+vrfsid	blood
