dataFile,variable,codebookDescription,codebookValues,termType,IRI,label,displayOrder,definition,category,parentLabel,parentIRI,replaces
bruise-public,bruise-public::agey,,,variable,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Age in years,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,NA
diar-public,diar-public::agey,,,variable,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Age in years,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,NA
endline-anthro-public,endline-anthro-public::agey,,,variable,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Age in years,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,NA
midline-anthro-public,midline-anthro-public::agey,,,variable,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Age in years,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,NA
bruise-public,bruise-public::aged,,,variable,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),,Age in days,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
diar-public,diar-public::aged,,,variable,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),,Age in days,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
endline-anthro-public,endline-anthro-public::aged,,,variable,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),,Age in days,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
midline-anthro-public,midline-anthro-public::aged,,,variable,http://purl.obolibrary.org/obo/EUPATH_0000579,Age (days),,Age in days,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
bruise-public,bruise-public::agem,,,variable,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Age in months,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
diar-public,diar-public::agem,,,variable,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Age in months,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
endline-anthro-public,endline-anthro-public::agem,,,variable,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Age in months,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
midline-anthro-public,midline-anthro-public::agem,,,variable,http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),,Age in months,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,NA,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,NA,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
tracking-public,tracking-public::attritioncase_el,Attrition migrantion household at endline,"1. YES,
2. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0037003,Attrition migrantion household at endline,,Attrition migrantion household,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,NA
diar-public,diar-public::bicycle,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::bicycle,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::bicycle,,"0. No bicycle,
1. Has bicycle,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::bmiz06,BMI-for-age Z-score,,variable,http://purl.obolibrary.org/obo/EUPATH_0035071,"BMI-for-age z-score, using median weight and median length or height",,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
midline-anthro-public,midline-anthro-public::bmiz06,BMI-for-age Z-score,,variable,http://purl.obolibrary.org/obo/EUPATH_0035071,"BMI-for-age z-score, using median weight and median length or height",,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
bruise-public,bruise-public::bruise2,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035108,"Bruising during the last 2 days, caregiver report",,"Whether the participant had bruising (a negative control outcome measured to detect potential differential bias in symptom reporting) within in the last 2 days. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age). Caregiver reported symptoms were also assessed in sibling/neighbor participants at  midline and endline.",Observation,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,NA
bruise-public,bruise-public::bruise7,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035107,"Bruising during the last 7 days, caregiver report",,"Whether the participant had bruising (a negative control outcome measured to detect potential differential bias in symptom reporting) within in the last 7 days. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).Caregiver reported symptoms were also assessed in sibling/neighbor participants at midline  and endline.",Observation,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,NA
endline-anthro-public,endline-anthro-public::car,,"0. No car,
1. Has car,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::car,,"0. No car,
1. Has car,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
diar-public,diar-public::cow,"HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don ",,variable,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
endline-anthro-public,endline-anthro-public::cow,"HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don ",,variable,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
midline-anthro-public,midline-anthro-public::cow,"HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don ",,variable,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
diar-public,diar-public::chicken,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD? IF NON",,variable,http://purl.obolibrary.org/obo/EUPATH_0022197,Chicken count,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
endline-anthro-public,endline-anthro-public::chicken,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD? IF NON",,variable,http://purl.obolibrary.org/obo/EUPATH_0022197,Chicken count,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
midline-anthro-public,midline-anthro-public::chicken,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD? IF NON",,variable,http://purl.obolibrary.org/obo/EUPATH_0022197,Chicken count,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,NA
uptake-baseline-public,uptake-baseline-public::feces_disp,,,variable,http://purl.obolibrary.org/obo/EUPATH_0000722,Child waste disposal,, Presence of child feces or other feces that appears to be human in or near the compound.,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,NA
uptake-midline-public,uptake-midline-public::feces_disp,,,variable,http://purl.obolibrary.org/obo/EUPATH_0000722,Child waste disposal,, Presence of child feces or other feces that appears to be human in or near the compound.,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,NA
uptake-endline-public,uptake-endline-public::feces_disp,,,variable,http://purl.obolibrary.org/obo/EUPATH_0000722,Child waste disposal,, Presence of child feces or other feces that appears to be human in or near the compound.,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,NA
