overallOrder,variable,dataFile,keepDiscard,IRI,label,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag
1,screenid_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,Screening ID,NA,,,,NA,screenid_ses,dbl,0,NA,NA,0,1.49E+12,0 to 1491468280783,11671,0,NA
2,screendate_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Date of screening,NA,,,,yyyy-mm-dd,screendate_ses,date,3/15/17,date?,%Y-%m-%d,7/9/11,3/31/17,2011-07-09 to 2017-03-31,1010,8.57E-05,NA
3,surname_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,Child's surname,NA,,,,NA,surname_ses,chr,PEMBA,NA,NA,n/a,n/a,>10 unique values,5235,0.000599777,NA
4,fname_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,Child's first name,NA,,,,NA,fname_ses,chr,DANIEL,NA,NA,n/a,n/a,>10 unique values,2668,0.000771142,NA
5,dob_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,<span class=noToday>Child's date of birth</span>,NA,,,,yyyy-mm-dd (Enter 1911-11-11 if unknown.),dob_ses,date,5/26/88,date?,%Y-%m-%d,9/12/32,8/19/16,1932-09-12 to 2016-08-19,6020,8.57E-05,NA
6,gender_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Sex,"0, Male | 1, Female",,,,NA,gender_ses,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.000257047,NA
7,site_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Health centre,"1, Bangwe Health Centre | 2, Chileka Health Centre | 3, Chilomoni Health Centre | 4, Mpemba Health Centre | 5, Ndirande Health Centre | 6, Zingwangwa Health Centre",,,,NA,site_ses,chr,11,NA,NA,n/a,n/a,>10 unique values,11,0.000428412,NA
8,bn_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Bangwe zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | -9, Unknown",,,,NA,bn_zone,chr,3,NA,NA,n/a,n/a,", -9, 1, 2, 3, 4",5,0.88544255,NA
9,vil_bn1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Bangwe zone 1 village,"1, Railways | 2, Namiyango Yard | 3, B.C.A Hills",,,,NA,vil_bn1,chr,1,NA,NA,n/a,n/a,", 1, 2, 3",3,0.995373147,NA
10,vil_bn2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Bangwe zone 2 village,"1, Chilambe | 2, Masala 1 & 2 | 3, Mgomanjira | 4, Mondiwa mapondo | 5, Mondiwa mwateya | 6, Namiyango maplot | 7, William | 8, Wisiki (Bangwe market) | 9, Wisiki lilaka | 10, Wisiki thundu",,,,NA,vil_bn2,chr,8,NA,NA,n/a,n/a,>10 unique values,14,0.977465513,NA
11,vil_bn3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Bangwe zone 3 village,"1, Butawo | 2, Mathuli | 3, Mbalame | 4, Minyanga | 5, Mpingwe salvation | 6, Mpingwe school | 7, Mwamadi delunde | 8, Mwamadi mfumu | 9, Mwamadi mvula | 10, Naluso | 11, Namboya | 12, Nkhuku ten | 13, Sakaza",,,,NA,vil_bn3,chr,4,NA,NA,n/a,n/a,>10 unique values,15,0.953560106,NA
12,vil_bn4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Bangwe zone 4 village,"1, B.C.A Chimaliro | 2, B.C.A Chipangala 1 | 3, B.C.A Chipangala 2 | 4, B.C.A Chiswe 1 | 5, B.C.A Chiswe 2 | 6, B.C.A Mtendere | 7, Mbayani 1 | 8, Mbayani 2 | 9, Nachamba | 10, Namatapa 1 | 11, Namatapa 2 | 12, Nthandizi 1 | 13, Nthandizi 2 | 14, Ntopwa | 15, Gangala | 16, B.C.A Chilumba",,,,NA,vil_bn4,chr,10,NA,NA,n/a,n/a,>10 unique values,15,0.959814926,NA
13,vil_bnun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,"If zone is unknown, specify village",NA,,,,NA,vil_bnun,chr,BATANA,NA,NA,n/a,n/a,", BANANA, BATANA, CHIKUNDA POLICE, LUNDA, PHALULA, SAGAWA",6,0.99931454,NA
14,ck_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chileka zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | 5, Zone 5 | -9, Unknown",,,,NA,ck_zone,chr,3,NA,NA,n/a,n/a,", -9, 1, 2, 3, 4, 5",6,0.893753749,NA
15,vil_ck_zone1_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chileka zone 1 village,"1, Besitala | 2, Chatha | 3, Magombo | 4, Maleya | 5, Malizani | 6, Malunga | 7, Mbuka | 8, Mdala | 9, Mesala",,,,NA,vil_ck_zone1_ses,chr,8,NA,NA,n/a,n/a,>10 unique values,19,0.963499272,NA
16,vil_ck2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chileka zone 2 village,"1, Chindevu | 2, Galawanda | 3, Gavi | 4, Jonathan | 5, Kafere | 6, Kapitao | 7, Kumpanda | 8, Kunjawa | 9, Lunzu | 10, Makolosa | 11, Mpasuka | 12, Nkuweya | 13, Peter Bilira | 14, Puli | 15, Steven",,,,NA,vil_ck2,chr,15,NA,NA,n/a,n/a,>10 unique values,16,0.982349413,NA
17,vil_ck3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chileka zone 3 village,"1, Chikaoneka | 2, Chilawira | 3, Chinseu | 4, Chuma | 5, Dambo | 6, Gopani | 7, Holowa | 8, Khungulu | 9, Makwinja | 10, Malaka | 11, Manya | 12, Mapemba | 13, Masitala | 14, Mkunthiwa",,,,NA,vil_ck3,chr,14,NA,NA,n/a,n/a,>10 unique values,21,0.987747408,NA
18,vil_ck4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chileka zone 4 village,"1, Botomani | 2, Chaola | 3, Chinkango | 4, Chintumbira | 5, Chiwaya | 6, John | 7, Kachiwala | 8, Malindi | 9, Njolomole | 10, Nkata A, B & C | 11, Muotcha | 12, Pambaza | 13, Singano | 14, Solomoni | 15, Temani | 16, Zimphonje | 17, Mtiza | 18, Ntefula | 19, Mazongoza | 20, Mwansambo | 21, Thanganyika | 22, Samama | 23, Kuntasa | 24, Che Zimba",,,,NA,vil_ck4,chr,15,NA,NA,n/a,n/a,>10 unique values,34,0.967526347,NA
19,vil_ck5,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chileka zone 5 village,"1, Kameza | 2, Malola Yard | 3, Mdala/Chatha | 4, Singano DCA lines | 5, Singano Police Quarters",,,,NA,vil_ck5,chr,4,NA,NA,n/a,n/a,", 1, 2, 3, 4, 5",5,0.996058607,NA
20,vil_ckun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,"If zone is unknown, specify village",NA,,,,NA,vil_ckun,chr,KUNTHEMBWE,NA,NA,n/a,n/a,>10 unique values,25,0.996572702,NA
21,cl_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chilomoni zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | 5, Zone 5 | -9, Unknown",,,,NA,cl_zone,chr,1,NA,NA,n/a,n/a,", -9, 1, 2, 3, 4, 5",6,0.892725559,NA
22,vil_cl1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chilomoni zone 1 village,"1, Chemusa 4 square | 2, Chemusa Anyamata Manda | 3, Chemusa Anyamata proper | 4, Chemusa Chinangwa 1 | 5, Chemusa Chinangwa 2 Kayange | 6, Chemusa Magasa Kachere | 7, Chemusa Magasa Mai Musa | 8, Chemusa Magasa Mbwelera | 9, Chemusa Magasa proper | 10, Chemusa Msika wanjala Four ways | 11, Chemusa Msika wanjala Maranatha | 12, Chemusa Msika wanjala Proper (Mibawa) | 13, Mbayani",,,,NA,vil_cl1,chr,13,NA,NA,n/a,n/a,>10 unique values,13,0.967869077,NA
23,vil_cl2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chilomoni zone 2 village,"1, Chirimba | 2, Mwachande A (rose Garden) & B | 3, Suya 1 A Mboni | 4, Suya 1 B Mlambe | 5, Suya 1 Kwaboti | 6, Suya 2 Kwamfumu | 7, Suya 2 Mboni | 8, Suya 2 Namatete",,,,NA,vil_cl2,chr,5,NA,NA,n/a,n/a,", 1, 3, 4, 5, 6, 7, 8",7,0.997600891,NA
24,vil_cl3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chilomoni zone 3 village,"1, Chibwana 1 Maxwell 2 (SDA Area) | 2, Chibwana 1 Maxwell Four Ways | 3, Chibwana 1 Maxwell Likhubula | 4, Chibwana 1 Maxwell Taiwan | 5, Chibwana 1 rural (Mindano) | 6, Chibwana Sonkey | 7, Chilomoni Admarc | 8, Chilomoni Bwanoni | 9, Chilomoni Central | 10, Chilomoni Desilva | 11, Chilomoni Govt | 12, Khola 1 | 13, Lumbira A Zambia | 14, Lumbira B | 15, Mulunguzi A Hema | 16, Mulunguzi A Mangochi | 17, Mulunguzi A Nandolo | 18, Mulunguzi A Sosola | 19, Mulunguzi A Waterboard | 20, Mulunguzi B Ground | 21, Segelege A, B & C",,,,NA,vil_cl3,chr,9,NA,NA,n/a,n/a,>10 unique values,21,0.936509297,NA
25,vil_cl4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chilomoni zone 4 village,"1, Chigwaja village | 2, Chimwanga | 3, Jeweta 1 & 2 | 4, Pensulo A & B | 5, Zigala A & B | 6, Zinganguwo | 7, Pitala | 8, Chitakale",,,,NA,vil_cl4,chr,1,NA,NA,n/a,n/a,", 1, 2, 3, 4, 6, 7, 8, 9",8,0.995887242,NA
26,vil_cl5,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Chilomoni zone 5 village,"1, Khola 2 (Sanjika) | 2, Namiwawa | 3, Chilomoni fargo (lumbira)",,,,NA,vil_cl5,chr,3,NA,NA,n/a,n/a,", 1, 2, 3",3,0.995030417,NA
27,vil_clun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,"If zone is unknown, specify village",NA,,,,NA,vil_clun,chr,NAMIYANGO,NA,NA,n/a,n/a,", NAMIYANGO",1,0.999914318,NA
28,mp_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Mpemba zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | -9, Unknown",,,,NA,mp_zone,chr,1,NA,NA,n/a,n/a,", -9, 1, 2, 3, 4",5,0.890155085,NA
29,vil_mp1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Mpemba zone 1 village,"1, Beni A | 2, Beni B | 3, Chikunje | 4, Chilunduka | 5, Disi Lundu | 6, Duncan | 7, Jasamu | 8, Kabango | 9, Kalitsiro | 10, Kamtukule | 11, Kuloya | 12, Linolo | 13, Makanjira | 14, Mandevu | 15, Manyenje | 16, Mbinda | 17, Mkoka | 18, Mlanga | 19, Mpagaja | 20, Mtelera | 21, somba I | 22, somba II | 23, Pemba | 24, Robean | 25, Somanje",,,,NA,vil_mp1,chr,10,NA,NA,n/a,n/a,>10 unique values,34,0.9345386,NA
