overallOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,displayOrder,notesForOnt
289,aedesf,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025026,Female Aedes count,,Entomology,Aedes,http://purl.obolibrary.org/obo/EUPATH_0025052,Number of female <i>Aedes</i>,,variable,,
549,aedesf_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025026,Female Aedes count,,Entomology,Aedes,http://purl.obolibrary.org/obo/EUPATH_0025052,Number of female <i>Aedes</i>,,variable,,
1160,aedesf_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025026,Female Aedes count,,Entomology,Aedes,http://purl.obolibrary.org/obo/EUPATH_0025052,Number of female <i>Aedes</i>,,variable,,
288,aedesm,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025027,Male Aedes count,,Entomology,Aedes,http://purl.obolibrary.org/obo/EUPATH_0025052,Number of male <i>Aedes</i>,,variable,,
548,aedesm_cup,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025027,Male Aedes count,,Entomology,Aedes,http://purl.obolibrary.org/obo/EUPATH_0025052,Number of male <i>Aedes</i>,,variable,,
1159,aedesm_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025027,Male Aedes count,,Entomology,Aedes,http://purl.obolibrary.org/obo/EUPATH_0025052,Number of male <i>Aedes</i>,,variable,,
431,anof10abid,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025003,Anopheles abdomen ID,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,Female #10: Mosquito abdomen ID,,variable,,
368,anof1abid,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025003,Anopheles abdomen ID,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,Female #1: Mosquito abdomen ID,,variable,,
375,anof2abid,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025003,Anopheles abdomen ID,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,Female #2: Mosquito abdomen ID,,variable,,
382,anof3abid,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,http://purl.obolibrary.org/obo/EUPATH_0025003,Anopheles abdomen ID,,Entomology,Anopheles,http://purl.obolibrary.org/obo/EUPATH_0025053,Female #3: Mosquito abdomen ID,,variable,,
