overallOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
2,screendate_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,EUPATH_0000151,Enrollment date,,Participant,Participant study details,EUPATH_0000307,Date of screening,,variable,
5,dob_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,EFO_0004950,Birth date,,Household,Demographics,EUPATH_0010981,<span class=noToday>Child's date of birth</span>,,variable,
6,gender_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,PATO_0000047,Sex,,Household,Demographics,EUPATH_0010981,Sex,"0, Male | 1, Female",variable,
7,site_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Health center,Health center where screening and enrollment was conducted,Household,Geographic location,GAZ_00000448,Health centre,"1, Bangwe Health Centre | 2, Chileka Health Centre | 3, Chilomoni Health Centre | 4, Mpemba Health Centre | 5, Ndirande Health Centre | 6, Zingwangwa Health Centre",variable,
8,bn_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Zone,,Household,Geographic location,GAZ_00000448,Bangwe zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | -9, Unknown",variable,
9,vil_bn1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Bangwe zone 1 village,"1, Railways | 2, Namiyango Yard | 3, B.C.A Hills",variable,
10,vil_bn2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Bangwe zone 2 village,"1, Chilambe | 2, Masala 1 & 2 | 3, Mgomanjira | 4, Mondiwa mapondo | 5, Mondiwa mwateya | 6, Namiyango maplot | 7, William | 8, Wisiki (Bangwe market) | 9, Wisiki lilaka | 10, Wisiki thundu",variable,
11,vil_bn3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Bangwe zone 3 village,"1, Butawo | 2, Mathuli | 3, Mbalame | 4, Minyanga | 5, Mpingwe salvation | 6, Mpingwe school | 7, Mwamadi delunde | 8, Mwamadi mfumu | 9, Mwamadi mvula | 10, Naluso | 11, Namboya | 12, Nkhuku ten | 13, Sakaza",variable,
12,vil_bn4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Bangwe zone 4 village,"1, B.C.A Chimaliro | 2, B.C.A Chipangala 1 | 3, B.C.A Chipangala 2 | 4, B.C.A Chiswe 1 | 5, B.C.A Chiswe 2 | 6, B.C.A Mtendere | 7, Mbayani 1 | 8, Mbayani 2 | 9, Nachamba | 10, Namatapa 1 | 11, Namatapa 2 | 12, Nthandizi 1 | 13, Nthandizi 2 | 14, Ntopwa | 15, Gangala | 16, B.C.A Chilumba",variable,
13,vil_bnun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,"If zone is unknown, specify village",,variable,
14,ck_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Zone,,Household,Geographic location,GAZ_00000448,Chileka zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | 5, Zone 5 | -9, Unknown",variable,
15,vil_ck_zone1_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chileka zone 1 village,"1, Besitala | 2, Chatha | 3, Magombo | 4, Maleya | 5, Malizani | 6, Malunga | 7, Mbuka | 8, Mdala | 9, Mesala",variable,
16,vil_ck2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chileka zone 2 village,"1, Chindevu | 2, Galawanda | 3, Gavi | 4, Jonathan | 5, Kafere | 6, Kapitao | 7, Kumpanda | 8, Kunjawa | 9, Lunzu | 10, Makolosa | 11, Mpasuka | 12, Nkuweya | 13, Peter Bilira | 14, Puli | 15, Steven",variable,
17,vil_ck3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chileka zone 3 village,"1, Chikaoneka | 2, Chilawira | 3, Chinseu | 4, Chuma | 5, Dambo | 6, Gopani | 7, Holowa | 8, Khungulu | 9, Makwinja | 10, Malaka | 11, Manya | 12, Mapemba | 13, Masitala | 14, Mkunthiwa",variable,
18,vil_ck4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chileka zone 4 village,"1, Botomani | 2, Chaola | 3, Chinkango | 4, Chintumbira | 5, Chiwaya | 6, John | 7, Kachiwala | 8, Malindi | 9, Njolomole | 10, Nkata A, B & C | 11, Muotcha | 12, Pambaza | 13, Singano | 14, Solomoni | 15, Temani | 16, Zimphonje | 17, Mtiza | 18, Ntefula | 19, Mazongoza | 20, Mwansambo | 21, Thanganyika | 22, Samama | 23, Kuntasa | 24, Che Zimba",variable,
19,vil_ck5,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chileka zone 5 village,"1, Kameza | 2, Malola Yard | 3, Mdala/Chatha | 4, Singano DCA lines | 5, Singano Police Quarters",variable,
20,vil_ckun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,"If zone is unknown, specify village",,variable,
21,cl_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Zone,,Household,Geographic location,GAZ_00000448,Chilomoni zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | 5, Zone 5 | -9, Unknown",variable,
22,vil_cl1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chilomoni zone 1 village,"1, Chemusa 4 square | 2, Chemusa Anyamata Manda | 3, Chemusa Anyamata proper | 4, Chemusa Chinangwa 1 | 5, Chemusa Chinangwa 2 Kayange | 6, Chemusa Magasa Kachere | 7, Chemusa Magasa Mai Musa | 8, Chemusa Magasa Mbwelera | 9, Chemusa Magasa proper | 10, Chemusa Msika wanjala Four ways | 11, Chemusa Msika wanjala Maranatha | 12, Chemusa Msika wanjala Proper (Mibawa) | 13, Mbayani",variable,
23,vil_cl2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chilomoni zone 2 village,"1, Chirimba | 2, Mwachande A (rose Garden) & B | 3, Suya 1 A Mboni | 4, Suya 1 B Mlambe | 5, Suya 1 Kwaboti | 6, Suya 2 Kwamfumu | 7, Suya 2 Mboni | 8, Suya 2 Namatete",variable,
24,vil_cl3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chilomoni zone 3 village,"1, Chibwana 1 Maxwell 2 (SDA Area) | 2, Chibwana 1 Maxwell Four Ways | 3, Chibwana 1 Maxwell Likhubula | 4, Chibwana 1 Maxwell Taiwan | 5, Chibwana 1 rural (Mindano) | 6, Chibwana Sonkey | 7, Chilomoni Admarc | 8, Chilomoni Bwanoni | 9, Chilomoni Central | 10, Chilomoni Desilva | 11, Chilomoni Govt | 12, Khola 1 | 13, Lumbira A Zambia | 14, Lumbira B | 15, Mulunguzi A Hema | 16, Mulunguzi A Mangochi | 17, Mulunguzi A Nandolo | 18, Mulunguzi A Sosola | 19, Mulunguzi A Waterboard | 20, Mulunguzi B Ground | 21, Segelege A, B & C",variable,
25,vil_cl4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chilomoni zone 4 village,"1, Chigwaja village | 2, Chimwanga | 3, Jeweta 1 & 2 | 4, Pensulo A & B | 5, Zigala A & B | 6, Zinganguwo | 7, Pitala | 8, Chitakale",variable,
26,vil_cl5,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Chilomoni zone 5 village,"1, Khola 2 (Sanjika) | 2, Namiwawa | 3, Chilomoni fargo (lumbira)",variable,
27,vil_clun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,"If zone is unknown, specify village",,variable,
28,mp_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Zone,,Household,Geographic location,GAZ_00000448,Mpemba zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | -9, Unknown",variable,
29,vil_mp1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Mpemba zone 1 village,"1, Beni A | 2, Beni B | 3, Chikunje | 4, Chilunduka | 5, Disi Lundu | 6, Duncan | 7, Jasamu | 8, Kabango | 9, Kalitsiro | 10, Kamtukule | 11, Kuloya | 12, Linolo | 13, Makanjira | 14, Mandevu | 15, Manyenje | 16, Mbinda | 17, Mkoka | 18, Mlanga | 19, Mpagaja | 20, Mtelera | 21, somba I | 22, somba II | 23, Pemba | 24, Robean | 25, Somanje",variable,
30,vil_mp2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Mpemba zone 2 village,"1, Chamba | 2, Davide | 3, John | 4, Khudu | 5, Khunju | 6, Kuluwenda | 7, Malekano | 8, Mboola | 9, Mpingo | 10, Mwambula | 11, Mwembere | 12, Sanganiza | 13, Scott | 14, Solomoni | 15, Tambala",variable,
