IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,gems1a_huas_lite_data_kenya::site | gems1a_huas_lite_data_6_sites::site,1,gems1a_huas_lite_data_kenya | gems1a_huas_lite_data_6_sites,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,3. Site.,"1=The Gambia, 2=Mali, 3=Mozambique, 4=Kenya, 5=India, 6=Bangladesh, 7=Pakistan",variable,,,,GEMS1A HUAS Lite Survey,ENVO_00000004,,,yes,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,1,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,GEMS1A HUAS Lite Survey,,,,,,,,,,
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,GEMS1A HUAS Lite Survey,,,,,everywhere,,,,,
http://purl.obolibrary.org/obo/EUPATH_0030002,Study type,,1,,The variable indicate whether the data came from the HUAS-Lite Kenya survey or from the HUAS-Lite survey in 6 sites.,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,The variable indicate which datafile/survey the data came from.,,derived variable,,,,GEMS1A HUAS Lite Survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010013,Previous diarrheal care,,1,,,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,,category,,,,GEMS1A HUAS Lite Survey,,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,gems1a_huas_lite_data_kenya::gender | gems1a_huas_lite_data_6_sites::gender,1,gems1a_huas_lite_data_kenya | gems1a_huas_lite_data_6_sites,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,A05: Eligibility information. Is the child a boy or girl.,"0=NOT IN CODEBOOK, 1=Boy, 2=Girl",variable,,,,GEMS1A HUAS Lite Survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015670,Homemade fluid,gems1a_huas_lite_data_kenya::trt_homefluid | gems1a_huas_lite_data_6_sites::trt_homefluid,1,gems1a_huas_lite_data_kenya | gems1a_huas_lite_data_6_sites,,Participant,http://purl.obolibrary.org/obo/EUPATH_0015669,Diarrhea treament,,"0, 1",value,,,,GEMS1A HUAS Lite Survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015673,ORALITE or ORS,gems1a_huas_lite_data_kenya::trt_ors | gems1a_huas_lite_data_6_sites::trt_ors,2,gems1a_huas_lite_data_kenya | gems1a_huas_lite_data_6_sites,,Participant,http://purl.obolibrary.org/obo/EUPATH_0015669,Diarrhea treament,,"0, 1",value,,,,GEMS1A HUAS Lite Survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015671,Intravenous fluids,gems1a_huas_lite_data_kenya::trt_iv | gems1a_huas_lite_data_6_sites::trt_iv,3,gems1a_huas_lite_data_kenya | gems1a_huas_lite_data_6_sites,,Participant,http://purl.obolibrary.org/obo/EUPATH_0015669,Diarrhea treament,,"0, 1",value,,,,GEMS1A HUAS Lite Survey,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015672,None prescribed or taken,gems1a_huas_lite_data_kenya::trt_none | gems1a_huas_lite_data_6_sites::trt_none,4,gems1a_huas_lite_data_kenya | gems1a_huas_lite_data_6_sites,,Participant,http://purl.obolibrary.org/obo/EUPATH_0015669,Diarrhea treament,,"0, 1",value,,,,GEMS1A HUAS Lite Survey,,,,,,,,,,
