colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceTostring,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
100,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x100,jilinde_peandchvcohort_data_labels_2021-11-29_1420,,Screening individuals for eligibility for PrEP,,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,28a. Screening individuals for eligibility for PrEP,"1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
101,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x101,jilinde_peandchvcohort_data_labels_2021-11-29_1420,,Recognizing  individuals unfit for PrEP,,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,28b. Recognizing  individuals unfit for PrEP,"1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
102,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x102,jilinde_peandchvcohort_data_labels_2021-11-29_1420,http://purl.obolibrary.org/obo/EUPATH_0056503,Determining HIV risky levels for PrEP clients,,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,28c. Determining HIV risk levels for PrEP clients,"1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
103,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x103,jilinde_peandchvcohort_data_labels_2021-11-29_1420,,Recognizing and addressing myths related to PrEP,,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,28d. Recognizing and addressing myths related to PrEP,"1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
104,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x104,jilinde_peandchvcohort_data_labels_2021-11-29_1420,,Communicating effectively with my peers on PrEP,,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,28e. Communicating effectively with my peers on PrEP,"1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
105,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x105,jilinde_peandchvcohort_data_labels_2021-11-29_1420,,Perform basic counseling on adherence and risk reduction for PrEP,,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,28f. Perform basic counseling on adherence and risk reduction for PrEP,"1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
106,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x106,jilinde_peandchvcohort_data_labels_2021-11-29_1420,http://purl.obolibrary.org/obo/EUPATH_0056506,"Identifying high risk situations which need immediate medical attention (Pregnancy, STIs, acute HIV infection, renal impairment).",,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,"28g. Identifying situations, when a PrEP user I know needs immediate medical attention e.g. gets pregnancy, has an sexually transmitted infection","1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
107,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x107,jilinde_peandchvcohort_data_labels_2021-11-29_1420,,Describing my roles and responsibilities in the mobilization of individuals for PrEP services,,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,28h. Describing my roles and responsibilities in the mobilization of individuals for PrEP services,"1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
108,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x108,jilinde_peandchvcohort_data_labels_2021-11-29_1420,,Identifying when it is appropriate to refer individuals for PrEP and other services,,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,28i. Identifying when it is appropriate to refer individuals for PrEP and other services,"1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
109,jilinde_peandchvcohort_data_labels_2021-11-29_1420::x109,jilinde_peandchvcohort_data_labels_2021-11-29_1420,,Offer education and create awareness about how PrEP use to reduce HIV risk,,Participant,,Ability to practice PrEP skills (Peer Educator and CHV) ,28j. Offer education and create awareness about how PrEP use to reduce HIV risk,"1, I cannot do it | 2, I am moderately confident I can do it | 3, I am highly confident I can do it",value,,yes,,,Jilinde_pe_chv_cohort,,,,,,,,,
