sid,dataset_count,labels,termTypes,pLabels,datasets
EUPATH_0010219,2,1st antibiotic administration date,variable,Antibiotic administration before stool collection,gems_merged | vida_merged
EUPATH_0010157,2,1st choice facility code,variable,Hospital Center,gems_merged | vida_merged
EUPATH_0010155,2,1st choice hospital or health center,variable,Hospital Center,gems_merged | vida_merged
EUPATH_0015428,2,1st day of diarrhea in the past 2 weeks,variable,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0010163,2,2nd choice facility code,variable,Hospital Center,gems_merged | vida_merged
EUPATH_0010161,2,2nd choice hospital or health center,variable,Hospital Center,gems_merged | vida_merged
EUPATH_0010169,2,3rd choice facility code,variable,Hospital Center,gems_merged | vida_merged
EUPATH_0010167,2,3rd choice hospital or health center,variable,Hospital Center,gems_merged | vida_merged
EUPATH_0010061,2,60 day follow-up conducted,variable,Administrative information,gems_merged | vida_merged
EUPATH_0015706,2,Abdominal pain,value,Symptoms since illness began,gems_merged | vida_merged
HP_0001595,2,Abnormal hair,variable,Signs and symptoms,gems_merged | vida_merged
EUPATH_0015331,2,"Adenovirus 40/41 Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0015288,2,"Adenovirus 40/41, by ELISA",value,Adenovirus in stool,gems_merged | vida_merged
EUPATH_0015330,2,"Adenovirus Ct value, by TAC result",variable,Raw virus data for stool,gems_merged | vida_merged
EUPATH_0011964,2,Adenovirus in stool,"category | category, value",Virus in stool,gems_merged | vida_merged
EUPATH_0010218,2,Administered antibiotic,variable,Antibiotic administration before stool collection,gems_merged | vida_merged
EUPATH_0010035,2,Administrative information,category,Participant,gems_merged | vida_merged
EUPATH_0010345,2,Admitted to hospital,variable,Hospitalization,gems_merged | vida_merged
EUPATH_0015553,2,Advised to take child to a hospital/health center,variable,Previous diarrheal care,gems_merged | vida_merged
EUPATH_0015332,2,"Aeromonas Ct value, by TAC result",variable,Raw bacteria data for stool,gems_merged | vida_merged
EUPATH_0011965,2,Aeromonas in stool,,Bacteria in stool,gems_merged | vida_merged
EUPATH_0010603,2,"Aeromonas, by bacteriology",value,Aeromonas in stool,gems_merged | vida_merged
EUPATH_0015400,2,Age (months),variable,Observation,gems_merged | vida_merged
EUPATH_0010368,2,Age at eligibility form completion (months),variable,Participant study details,gems_merged | vida_merged
EUPATH_0010367,2,Age group,variable,Observation,gems_merged | vida_merged
EUPATH_0020004,2,Aggregated illness data,category,Participant,gems_merged | vida_merged
EUPATH_0015020,2,Agricultural crop residue,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0015008,2,Agricultural land,value | Value,Assets,gems_merged | vida_merged
EUPATH_0010241,2,Amount offered to drink during diarrheal episode,variable,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0015465,2,Amount offered to drink during previous diarrheal episode,variable,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0010177,2,Amount offered to eat during diarrheal episode,variable,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0015466,2,Amount offered to eat during previous diarrheal episode,variable,Diarrheal episodes,gems_merged | vida_merged
EUPATH_0015231,2,Amoxycillin,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015197,2,Amoxycillin,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015171,2,Amoxycillin,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015149,2,Amoxycillin,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015220,2,Ampicillin,value,Antibiotic administered before stool collection,gems_merged | vida_merged
EUPATH_0015198,2,Ampicillin,value,Control participant medication at enrollment,gems_merged | vida_merged
EUPATH_0015172,2,Ampicillin,value,Diarrhea treatment by prescription at home,gems_merged | vida_merged
EUPATH_0015150,2,Ampicillin,value,Diarrhea treatment given in health center,gems_merged | vida_merged
EUPATH_0015333,2,"Ancylostoma Ct value, by TAC result",variable,Raw eukaryota data for stool,gems_merged | vida_merged
EUPATH_0015017,2,Animal dung,value,Cooking fuel,gems_merged | vida_merged
EUPATH_0000166,2,Animal-drawn cart,value | Value,Assets,gems_merged | vida_merged
EUPATH_0000343,2,Animals on property,multifilter,Dwelling environment,gems_merged | vida_merged
