codebookOrder,variable,dataset,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,notesForOnt,JZ notes
1,cod_casa,Peru_household,EUPATH_0000094,Household ID,,Household,PCO_0000024,Household,Household ID,,
2,comun,Peru_household,EUPATH_0021094,Study site,,Household,GAZ_00000448,Geographic location,Study site,,
3,comunidad,Peru_household,,Community,,Household,GAZ_00000448,Geographic location,Community,,
4,fec_enrol,Peru_household,EUPATH_0021085,Date of household visit,,Household,PCO_0000024,Household,Date of enrollment,,"How is it different from other enrollment date, EUPATH_0010054? Is it also enrollment date for participant? If so, we need to add it to participant category too."
5,areatotal,Peru_household,EUPATH_0000382,Total area (m2),Total area of lot,Household,EUPATH_0000303,Dwelling characteristics,Total area (square meters),,
6,areate,Peru_household,EUPATH_0000380,Covered area (m2),Area of lot with roof coverage,Household,EUPATH_0000303,Dwelling characteristics,Total roofed area (square meters),,
7,cuardor,Peru_household,EUPATH_0000201,Bedrooms (#),,Household,EUPATH_0000303,Dwelling characteristics,Number of bedrooms,Need to set IRI,
8,cuacom,Peru_household,EUPATH_0000379,Common rooms (#),,Household,EUPATH_0000303,Dwelling characteristics,Number of common rooms,Update label in ontology,
9,coci,Peru_household,EUPATH_0000381,Kitchen location,,Household,EUPATH_0000303,Dwelling characteristics,Kitchen type,Update label in ontology,
10,elec,Peru_household,EUPATH_0021084,Electricity,,Household,EUPATH_0000144,Assets,Electrical installation,,
11,aguua,Peru_household,ENVO_00003064,Drinking water source,Potable water,Household,EUPATH_0000731,Water information,Potable water,,"potable water = drinking water in ENVO,So rename it to drinking water source and update the ID to (ENVO_00003064)?"
12,fueagu,Peru_household,EUPATH_0021093,Water source,,Household,EUPATH_0000731,Water information,Source of water,,"I think it is water source for household usage, not restricted to drinking. Updated ID."
13,tencas,Peru_household,EUPATH_0000383,Home ownership,,Household,PCO_0000024,Household,House ownership,Update label in ontology,
15,pared_ext,Peru_household,,External wall material,,Household,EUPATH_0000303,Dwelling characteristics,External wall material,,
16,parotr,Peru_household,,Internal wall material ,,Household,EUPATH_0000303,Dwelling characteristics,Internal wall material,,
17,techo,Peru_household,EUPATH_0000003,Roof material,,Household,EUPATH_0000303,Dwelling characteristics,Roof material,,
19,piso,Peru_household,EUPATH_0000006,Floor material,,Household,EUPATH_0000303,Dwelling characteristics,Floor material,,
21,fumi,Peru_household,EUPATH_0000390,Date of last fumigation,,Household,EUPATH_0000341,Vector information,Date of last fumigation,,
22,basu,Peru_household,EUPATH_0000368,Garbage disposal,,Household,EUPATH_0000302,Dwelling facilities,Waste disposal,,
23,basuotr,Peru_household,EUPATH_0000368,Garbage disposal,,Household,EUPATH_0000302,Dwelling facilities,Other waste disposal,collapse with basu,
24,combus,Peru_household,EUPATH_0000023,Cooking fuel,,Household,EUPATH_0000302,Dwelling facilities,Cookfuel,,
26,excre,Peru_household,EUPATH_0000335,Human waste facilities,,Household,EUPATH_0000302,Dwelling facilities,Toilet type,,
28,numcam,Peru_household,EUPATH_0000201,Sleeping places (#),,Household,EUPATH_0000303,Dwelling characteristics,Number of beds in hh,,
