Term Ontology ID	Display Label	Term Parent Ontology ID	Term Parent Display Label	Data Dictionary ID	Data Dictionary Label	Column Name	Term Type
EUPATH_0000339	Animal Information	EUPATH_0000093	Dwelling	AMAZONIA_0000001	Información de los Animales		category
OGMS_0000015	Clinical History	EUPATH_0000307	Participant Study Details	AMAZONIA_0000002	Historial clinico		category
EUPATH_0000093	Dwelling	Thing		AMAZONIA_0000003	Vivienda		category
EUPATH_0000302	Facilities	EUPATH_0000093	Dwelling	AMAZONIA_0000004	Instalaciones		category
GAZ_00000448	Geographic location	Thing		AMAZONIA_0000005	Ubicación geográfica		category
OGMS_0000018	Laboratory Findings	EUPATH_0000328	Visit	AMAZONIA_0000006	Descubrimientos de laboratorio		category
EUPATH_0000057	Medication	EUPATH_0000328	Visit	AMAZONIA_0000007	Medicación		category
EUPATH_0000096	Participant	Thing		AMAZONIA_0000008	Partícipe		category
EUPATH_0000307	Participant Study Details	EUPATH_0000096	Participant	AMAZONIA_0000009	Participante Detalles del estudio		category
EUPATH_0000303	Physical Characteristics	EUPATH_0000093	Dwelling	AMAZONIA_0000010	Características físicas		category
OGMS_0000083	Physical Examination	EUPATH_0000328	Visit	AMAZONIA_0000011	Examen físico		category
EUPATH_0000304	Socioeconomic Factors	EUPATH_0000093	Dwelling	AMAZONIA_0000012	Factores socioeconómicos		category
EUPATH_0000309	Symptoms	EUPATH_0000328	Visit	AMAZONIA_0000013	Los síntomas		category
EUPATH_0000340	Traveling Details	EUPATH_0000096	Participant	AMAZONIA_0000014	Detalles que viajan		category
EUPATH_0000341	Vector Intervention	EUPATH_0000093	Dwelling	AMAZONIA_0000015	Intervención del vector		category
EUPATH_0000328	Visit	Thing		AMAZONIA_0000016	Visitar		category
EUPATH_0000310	Visit Details	EUPATH_0000328	Visit	AMAZONIA_0000017	visita detalles		category
EUPATH_0000342	Employment Details	EUPATH_0000096	Participant	AMAZONIA_0000018	Detalles de Empleo		category
EUPATH_0000343	Animals on property	EUPATH_0000339	Animal Information	AMAZONIA_0000019	Animales que viven en la casa	Animales que viven en la casa	variable
EUPATH_0000346	Infections w/ p. viv	OGMS_0000015	Clinical History	AMAZONIA_0000020	MalViv	MalViv	variable
EUPATH_0000347	Infections w/ p. viv last year	OGMS_0000015	Clinical History	AMAZONIA_0000021	MalVivano	MalVivano	variable
EUPATH_0000348	Infections w/ p.fal	OGMS_0000015	Clinical History	AMAZONIA_0000022	MalFal	MalFal	variable
EUPATH_0000349	Infections w/ p.fal last year	OGMS_0000015	Clinical History	AMAZONIA_0000023	MalFalano	MalFalano	variable
EUPATH_0000350	Days worked per week (Primary)	EUPATH_0000342	Employment Details	AMAZONIA_0000024	diassemp	diassemp	variable
EUPATH_0000351	Days worked per week (Secondary)	EUPATH_0000342	Employment Details	AMAZONIA_0000025	diasseml	diasseml	variable
EUPATH_0000354	Job (Primary)	EUPATH_0000342	Employment Details	AMAZONIA_0000026	traprin	traprin	variable
EUPATH_0000355	Job (Secondary)	EUPATH_0000342	Employment Details	AMAZONIA_0000027	lab	lab	variable
EUPATH_0000356	Job description (Primary)	EUPATH_0000342	Employment Details	AMAZONIA_0000028	destra	destra	variable
EUPATH_0000357	Job description (Secondary)	EUPATH_0000342	Employment Details	AMAZONIA_0000029	labotr	labotr	variable
EUPATH_0000358	Job in the last month (Secondary)	EUPATH_0000342	Employment Details	AMAZONIA_0000030	Otrlab	Otrlab	variable
EUPATH_0000359	Occupation	EUPATH_0000342	Employment Details	AMAZONIA_0000031	trabaj	trabaj	variable
EUPATH_0000360	Pay period (Primary)	EUPATH_0000342	Employment Details	AMAZONIA_0000032	Frepagp	Frepagp	variable
EUPATH_0000361	Pay period (Secondary)	EUPATH_0000342	Employment Details	AMAZONIA_0000033	Frepagl	Frepagl	variable
EUPATH_0000362	Received payment (Primary)	EUPATH_0000342	Employment Details	AMAZONIA_0000034	Recpagp	Recpagp	variable
EUPATH_0000363	Received payment (Secondary)	EUPATH_0000342	Employment Details	AMAZONIA_0000035	Recpagl	Recpagl	variable
EUPATH_0000364	Salary in soles (Primary)	EUPATH_0000342	Employment Details	AMAZONIA_0000036	Cantip	Cantip	variable
EUPATH_0000365	Salary in soles (Secondary)	EUPATH_0000342	Employment Details	AMAZONIA_0000037	Cantil	Cantil	variable
EUPATH_0000366	Work Hours/Day (Primary)	EUPATH_0000342	Employment Details	AMAZONIA_0000038	Hordiap	Hordiap	variable
EUPATH_0000367	Work Hours/Day (Secondary)	EUPATH_0000342	Employment Details	AMAZONIA_0000039	Hordial	Hordial	variable
EUPATH_0000023	Cooking fuel	EUPATH_0000302	Facilities	AMAZONIA_0000040	combus	combus	variable
ENVO_00003064	Drinking water source	EUPATH_0000302	Facilities	AMAZONIA_0000041	fueagu	fueagu	variable
EUPATH_0000368	Garbage disposal	EUPATH_0000302	Facilities	AMAZONIA_0000042	basu	basu	variable
EUPATH_0000335	Human waste disposal	EUPATH_0000302	Facilities	AMAZONIA_0000043	excre	excre	variable
EUPATH_0000369	Community	GAZ_00000448	Geographic location	AMAZONIA_0000044	Codmunidad	Codmunidad	variable
EUPATH_0000370	Study location	GAZ_00000448	Geographic location	AMAZONIA_0000045	areest	areest	variable
EUPATH_0000048	Asexual parasites present	OGMS_0000018	Laboratory Findings	AMAZONIA_0000046	19_FROTIS	19_FROTIS	variable
EUPATH_0000371	Malaria Medication (First Line)	EUPATH_0000057	Medication	AMAZONIA_0000047	21_1_Medicamento	21_1_Medicamento	variable
EUPATH_0000372	Malaria Medication (Second Line)	EUPATH_0000057	Medication	AMAZONIA_0000048	21_1_Medicamento	21_1_Medicamento	variable
EUPATH_0000373	Malaria Medication?	EUPATH_0000057	Medication	AMAZONIA_0000049	21_1_Medicamento	21_1_Medicamento	variable
EUPATH_0000120	Age at time of enrollment	EUPATH_0000307	Participant Study Details	AMAZONIA_0000050	edad	edad	variable
EUPATH_0000032	Date of Birth	EUPATH_0000307	Participant Study Details	AMAZONIA_0000051	fec_naci	fec_naci	variable
EUPATH_0000345	Education level	EUPATH_0000307	Participant Study Details	AMAZONIA_0000052	Instruc	Instruc	variable
EUPATH_0000151	Enrollment date	EUPATH_0000307	Participant Study Details	AMAZONIA_0000053	fecha	fecha	variable
EUPATH_0000374	Marital status	EUPATH_0000307	Participant Study Details	AMAZONIA_0000054	EstCiv	EstCiv	variable
EUPATH_0000375	Plan to move	EUPATH_0000307	Participant Study Details	AMAZONIA_0000055	mud	mud	variable
UBERON_0009097	Pregnant	EUPATH_0000307	Participant Study Details	AMAZONIA_0000056	gestante	gestante	variable
EUPATH_0000376	Family head relationship	EUPATH_0000307	Participant Study Details	AMAZONIA_0000057	RelJeFam	RelJeFam	variable
PATO_0000047	Sex	EUPATH_0000096	Participant	AMAZONIA_0000058	sexo	sexo	variable
EUPATH_0000377	Time living in the dwelling (year)	EUPATH_0000307	Participant Study Details	AMAZONIA_0000059	TieHog	TieHog	variable
