codebookOrder,variable,dataset,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,notesForOnt
1,cod_casa,Peru_household,EUPATH_0000094,Household ID,,Participant,EUPATH_0000307,Participant study details,Household ID,
,,,EUPATH_0000307,Participant study details,,Participant,EUPATH_0000096,Participant,,
,,,EUPATH_0000096,Participant,,Participant,,,,
2,comun,Peru_household,EUPATH_0021094,Study site,,Household,GAZ_00000448,Geographic location,Study site,
,,,GAZ_00000448,Geographic location,,Household,PCO_0000024,Household,,
3,comunidad,Peru_household,,Community,,Household,GAZ_00000448,Geographic location,Community,
4,fec_enrol,Peru_household,EUPATH_0021085,Date of household visit,,Household,PCO_0000024,Household,Date of enrollment,
5,areatotal,Peru_household,EUPATH_0000382,Total area (m2),Total area of lot,Household,EUPATH_0000303,Dwelling physical characteristics,Total area (square meters),
6,areate,Peru_household,EUPATH_0000380,Covered area (m2),Area of lot with roof coverage,Household,EUPATH_0000303,Dwelling physical characteristics,Total roofed area (square meters),
7,cuardor,Peru_household,EUPATH_0000201,Bedrooms (#),,Household,EUPATH_0000303,Dwelling physical characteristics,Number of bedrooms,Need to set IRI
8,cuacom,Peru_household,EUPATH_0000379,Common rooms (#),,Household,EUPATH_0000303,Dwelling physical characteristics,Number of common rooms,Update label in ontology
9,coci,Peru_household,EUPATH_0000381,Kitchen location,,Household,EUPATH_0000303,Dwelling physical characteristics,Kitchen type,Update label in ontology
10,elec,Peru_household,EUPATH_0021084,Electricity,,Household,EUPATH_0000144,Assets,Electrical installation,
,,,EUPATH_0000144,Assets,,Household,EUPATH_0000304,Socioeconomic factors,,
11,aguua,Peru_household,,Potable water,,Household,EUPATH_0000731,Water information,Potable water,
12,fueagu,Peru_household,ENVO_00003064,Drinking water source,,Household,EUPATH_0000731,Water information,Source of water,
13,tencas,Peru_household,EUPATH_0000383,Home ownership,,Household,,,House ownership,Update label in ontology
15,pared_ext,Peru_household,,External wall material,,Household,EUPATH_0000303,Dwelling physical characteristics,External wall material,
16,parotr,Peru_household,,Internal wall material ,,Household,EUPATH_0000303,Dwelling physical characteristics,Internal wall material,
17,techo,Peru_household,EUPATH_0000003,Roof material,,Household,EUPATH_0000303,Dwelling physical characteristics,Roof material,
19,piso,Peru_household,EUPATH_0000006,Floor material,,Household,EUPATH_0000303,Dwelling physical characteristics,Floor material,
21,fumi,Peru_household,EUPATH_0000390,Date of last fumigation,,Household,,,Date of last fumigation,
22,basu,Peru_household,EUPATH_0000368,Garbage disposal,,Household,EUPATH_0000302,Facilities,Waste disposal,
23,basuotr,Peru_household,EUPATH_0000368,Garbage disposal,,Household,EUPATH_0000302,Facilities,Other waste disposal,collapse with basu
24,combus,Peru_household,EUPATH_0000023,Cooking fuel,,Household,EUPATH_0000302,Facilities,Cookfuel,
26,excre,Peru_household,EUPATH_0000335,Human waste facilities,,Household,EUPATH_0000302,Facilities,Toilet type,
28,numcam,Peru_household,EUPATH_0000201,Sleeping places (#),,Household,EUPATH_0000303,Dwelling physical characteristics,Number of beds in hh,
29,cammos,Peru_household,,Beds with bednet (#) ,,Household,EUPATH_0000341,Vector information,Number of beds with mosquito net,
30,matmos,Peru_household,EUPATH_0000389,Bednet material,,Household,EUPATH_0000341,Vector information,Mosquito net material,
31,matmosot,Peru_household,EUPATH_0000389,Bednet material,,Household,EUPATH_0000341,Vector information,Mosquito net material (other),
32,ultimpr,Peru_household,EUPATH_0000344,Last bednet treatment,,Household,EUPATH_0000341,Vector information,Last treatment of mosquito net,
33,imprmo,Peru_household,EUPATH_0000391,Who treated bednets,,Household,EUPATH_0000341,Vector information,Who treated mosquito net,
35,silla,Peru_household,EUPATH_0000173,Chair,,Household,EUPATH_0000144,Assets,Chair,
36,sillon,Peru_household,ENVO_01000588,Sofa,,Household,EUPATH_0000144,Assets,Couch,
37,telefono,Peru_household,EUPATH_0015002,Telephone (mobile or non-mobile),,Household,EUPATH_0000144,Assets,Telephone,
38,camas,Peru_household,EUPATH_0000168,Bed,,Household,EUPATH_0000144,Assets,Beds,
39,armarios,Peru_household,,Cabinet,,Household,EUPATH_0000144,Assets,Cabinets,
40,roperos,Peru_household,,Closet,,Household,EUPATH_0000144,Assets,Closets,
41,mesa,Peru_household,EUPATH_0000184,Table,,Household,EUPATH_0000144,Assets,Table,
42,refrigeradora,Peru_household,EUPATH_0015007,Refrigerator,,Household,EUPATH_0000144,Assets,Refrigerator,
43,congeladora,Peru_household,,Freezer,,Household,EUPATH_0000144,Assets,Freezer,
44,licuadora,Peru_household,,Blender,,Household,EUPATH_0000144,Assets,Blender,
45,cocelec,Peru_household,,Electric stove,,Household,EUPATH_0000144,Assets,Electric stove,
46,cocgas,Peru_household,,Gas stove,,Household,EUPATH_0000144,Assets,Gas stove,
47,cockero,Peru_household,,Kerosene stove,,Household,EUPATH_0000144,Assets,Kerosene stove,
48,coccar,Peru_household,,Coal stove,,Household,EUPATH_0000144,Assets,Coal stove,
49,radio,Peru_household,EUPATH_0000181,Radio,,Household,EUPATH_0000144,Assets,Radio,
50,TV_BN,Peru_household,,Black and white TV,,Household,EUPATH_0000144,Assets,TV black and white,
51,TV_COL,Peru_household,,Color TV,,Household,EUPATH_0000144,Assets,TV color,
52,DVD,Peru_household,,DVD,,Household,EUPATH_0000144,Assets,DVD,
53,Min,Peru_household,,Stereo,,Household,EUPATH_0000144,Assets,Stereo,
54,vacas,Peru_household,,Cows,,Household,EUPATH_0000144,Assets,Cows,
55,cabras,Peru_household,,Goats,,Household,EUPATH_0000144,Assets,Goats,
56,pollos,Peru_household,,Chicks,,Household,EUPATH_0000144,Assets,Chicks,
57,gallina,Peru_household,,Hens,,Household,EUPATH_0000144,Assets,Hens,
58,gallos,Peru_household,,Roosters,,Household,EUPATH_0000144,Assets,Roosters,
59,pavo,Peru_household,,Turkeys,,Household,EUPATH_0000144,Assets,Turkeys,
60,patos,Peru_household,,Ducks,,Household,EUPATH_0000144,Assets,Ducks,
61,pericos,Peru_household,,Parakeets,,Household,EUPATH_0000144,Assets,Parakeet,
62,loros,Peru_household,,Parrots,,Household,EUPATH_0000144,Assets,Parrots,
63,mono,Peru_household,,Monkeys,,Household,EUPATH_0000144,Assets,Monkey,
64,chancho,Peru_household,,Pigs,,Household,EUPATH_0000144,Assets,Pigs,
65,conejo,Peru_household,,Rabbits,,Household,EUPATH_0000144,Assets,Rabbits,
66,perro,Peru_household,,Dogs,,Household,EUPATH_0000144,Assets,Dog,
67,gato,Peru_household,,Cats,,Household,EUPATH_0000144,Assets,Cat,
68,tortuga,Peru_household,,Turtles,,Household,EUPATH_0000144,Assets,Turtle,
69,cod_per,Peru_individual,EUPATH_0000095,Participant ID,,Household,EUPATH_0000307,Participant study details,Individual ID,"Same as cod_casa, but has extra letter added to indicate individual"
74,fec_naci,Peru_individual,EFO_0004950,Date of birth,,Participant,,,Date of birth,Need to obfuscate
75,edad,Peru_individual,EUPATH_0000120,Age at time of enrollment,,Participant,,,Age,
76,sexo,Peru_individual,PATO_0000047,Sex,,Participant,,,Sex,
77,gestante,Peru_individual,UBERON_0009097,Pregnancy status,,Participant,,,Pregnant,"May need to create new IRI, since this one is being used under Observations"
78,estciv,Peru_individual,EUPATH_0000374,Marital status,,Participant,,,Marital status,
79,tiecom,Peru_individual,EUPATH_0000378,Time living in community (years),,Participant,,,Time living in community (years),
80,tiehog,Peru_individual,EUPATH_0000377,Time living in dwelling (years),,Participant,,,Time living in household (years),
81,instruc,Peru_individual,EUPATH_0000345,Education level,,Participant,,,Education level,
82,mud,Peru_individual,EUPATH_0000375,Plan to move,,Participant,,,Plan to move within 2 years,
83,reljefam,Peru_individual,EUPATH_0000376,Relationship to head of household,,Participant,,,Relationship to head of household,
84,malviv,Peru_individual,EUPATH_0000346,Number of infections with P. vivax in lifetime,,Participant,,,Lifetime episodes malaria vivax,
85,malvivano,Peru_individual,EUPATH_0000347,Number of infections with P. vivax in the last year,,Participant,,,Past year episodes malaria vivax,
86,malfal,Peru_individual,EUPATH_0000348,Number of infections with P. falciparum in lifetime,,Participant,,,Lifetime episodes malaria falciparum,
87,malfalano,Peru_individual,EUPATH_0000349,Number of infections with P. falciparum in the last year,,Participant,,,Past year episodes malaria falciparum,
88,viaantenf1,Peru_individual,,Traveled in the 2 weeks before most recent malaria episode,,Participant,,,Travel in the 2 weeks before most recent malaria episode,
89,viaantenf2,Peru_individual,,Traveled in the 2 weeks before second most recent malaria episode,,Participant,,,Travel in the 2 weeks before penultimate malaria episode,
90,viaantenf3,Peru_individual,,Traveled in the 2 weeks before third most recent malaria episode,,Participant,,,Travel in the 2 weeks before third most recent malaria episode,
91,viaantenf4,Peru_individual,,Traveled in the 2 weeks before fourth most recent malaria episode,,Participant,,,Travel in the 2 weeks before fourth most recent malaria episode,
92,viaultimes,Peru_individual,EUPATH_0000387,Traveled in last month,Traveled more than 10 km away from the community in the last month,Participant,,Travel history,Past month traveled further than 10 km from community,use same IRI as in South Asia ICEMR
93,durviaje1,Peru_individual,,Length of most recent trip (days),,Participant,,Travel history,Number of days trip 1,
94,durviaje2,Peru_individual,,Length of second most recent trip (days),,Participant,,Travel history,Number of days trip 2,
95,durviaje3,Peru_individual,,Length of third most recent trip (days),,Participant,,Travel history,Number of days trip 3,
96,durviaje4,Peru_individual,,Length of fourth most recent trip (days),,Participant,,Travel history,Number of days trip 4,
97,naveviaje1,Peru_individual,,River traveled on most recent trip,No rivers were traveled on for second to fourth most recent trips,Participant,,Travel history,Rivers traveled for trip 1,Collapse with viaotro1
