Country_Code	Country_Code	NIG	Niger
Sex	Sex	F	Female
Sex	Sex	M	Male
Sex	Sex	N	No data
Niger_Rx	Niger_Rx	CWT once	Community-wide treatment once a year
Niger_Rx	Niger_Rx	CWT twice	Community-wide treatment twice a year
Niger_Rx	Niger_Rx	SBT once	School-based treatment once a year
Niger_Rx	Niger_Rx	SBT twice	School-based treatment twice a year
Study_group	Study_group	A1	Starting prevalence of 10-24%, school-based treatment once a year
Study_group	Study_group	A2	Starting prevalence of 10-24%, school-based treatment twice a year
Study_group	Study_group	B1	Starting prevalence of >=25%, school-based treatment once a year
Study_group	Study_group	B2	Starting prevalence of >=25%, school-based treatment twice a year
Study_group	Study_group	C1	Starting prevalence of >=25%, communitywide treatment once a year
Study_group	Study_group	C2	Starting prevalence of >=25%, communitywide treatment twice a year
Sh_binary	Sh_binary	0	Negative
Sh_binary	Sh_binary	1	Positive
percent_total_pop_rxed_rx1	percent_total_pop_rxed_rx1	{{^\s*$}}	:::UNDEF:::
total_pop	total_pop	{{^\s*$}}	:::UNDEF:::
total_pop_rxed_rx1	total_pop_rxed_rx1	{{^\s*$}}	:::UNDEF:::
total_pop_rxed_rx2	total_pop_rxed_rx2	{{^\s*$}}	:::UNDEF:::
percent_total_pop_rxed_rx2	percent_total_pop_rxed_rx2	{{^\s*$}}	:::UNDEF:::
total_sac	total_sac	{{^\s*$}}	:::UNDEF:::
sac_rxed_rx2	sac_rxed_rx2	{{^\s*$}}	:::UNDEF:::
percent_sac_rxed_rx1	percent_sac_rxed_rx1	{{^\s*$}}	:::UNDEF:::
total_sac	total_sac	{{^\s*$}}	:::UNDEF:::
percent_sac_rxed_rx2	percent_sac_rxed_rx2	{{^\s*$}}	:::UNDEF:::
sac_rxed_rx1	sac_rxed_rx1	{{^\s*$}}	:::UNDEF:::
x_sect	EUPATH_0030022	20_55	20 to 55 years
x_sect	EUPATH_0030022	5_8	5 to 8 years
x_sect	EUPATH_0030022	9_12	9 to 12 years
x_sect	EUPATH_0030022	Adult	18+ years
x_sect	EUPATH_0030022	Teenage	13 to 17 years 
study_year	study_year	1	2011
study_year	study_year	2	2012
study_year	study_year	3	2013
study_year	study_year	4	2014
study_year	study_year	5	2015
