colOrder,overallOrder,display_Order,variable,dataFile,tempVariable,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL
16,,,WOMAN_Trial_dataset_anonymised_Codebook::box,WOMAN_Trial_dataset_anonymised_Codebook,box,,,,,,,box number,Range 2000 to 9068,variable,need to follow up with provider about the meaning of this variable,,
17,,,WOMAN_Trial_dataset_anonymised_Codebook::pack,WOMAN_Trial_dataset_anonymised_Codebook,pack,,,,,,,pack number,Range 21 to 98,variable,need to follow up with provider about the meaning of this variable,,
18,,,WOMAN_Trial_dataset_anonymised_Codebook::countrycode,WOMAN_Trial_dataset_anonymised_Codebook,countrycode,http://purl.obolibrary.org/obo/ENVO_00000004,Country,Country of randomization,Household,,,country of randomisation,Please see sheet 2,variable,,,
30,,,WOMAN_Trial_dataset_anonymised_Codebook::anxietydepression,WOMAN_Trial_dataset_anonymised_Codebook,anxietydepression,,Anxious or depressed,Patient anxious or depressed at discharge or at 42 days,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,patient anxious or depressed at discharge or at 42 days,0 = Not anxious or depressed1 = Moderately anxious or depressed2 = Extremely anxious or depressedNULL (Blank) = missing data,variable,,,
39,,,WOMAN_Trial_dataset_anonymised_Codebook::arteryligation,WOMAN_Trial_dataset_anonymised_Codebook,arteryligation,,Uterine arterial ligation,Rrterial ligation performed,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,patient management: arterial ligation performed,0 = No1 = YesNULL (Blank) = missing data,variable,,,
75,,,WOMAN_Trial_dataset_anonymised_Codebook::babybreastfed1,WOMAN_Trial_dataset_anonymised_Codebook,babybreastfed1,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby breastfed any time after randomisation (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
79,,,WOMAN_Trial_dataset_anonymised_Codebook::babybreastfed2,WOMAN_Trial_dataset_anonymised_Codebook,babybreastfed2,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby breastfed any time after randomisation (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
83,,,WOMAN_Trial_dataset_anonymised_Codebook::babybreastfed3,WOMAN_Trial_dataset_anonymised_Codebook,babybreastfed3,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby breastfed any time after randomisation (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
87,,,WOMAN_Trial_dataset_anonymised_Codebook::babybreastfed4,WOMAN_Trial_dataset_anonymised_Codebook,babybreastfed4,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby breastfed any time after randomisation (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
91,,,WOMAN_Trial_dataset_anonymised_Codebook::babybreastfed5,WOMAN_Trial_dataset_anonymised_Codebook,babybreastfed5,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby breastfed any time after randomisation (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
73,,,WOMAN_Trial_dataset_anonymised_Codebook::babyhealthy1,WOMAN_Trial_dataset_anonymised_Codebook,babyhealthy1,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby considered healthy at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
77,,,WOMAN_Trial_dataset_anonymised_Codebook::babyhealthy2,WOMAN_Trial_dataset_anonymised_Codebook,babyhealthy2,http://purl.obolibrary.org/obo/EUPATH_0010371,Breastfed,Baby was breastfed any time after randomization,Observation,,,Was baby considered healthy at outcome (Baby number in order of delivery),0 = No1 = YesNULL (Blank) = missing data,variable,,,
