colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
1,eligibilityid,form01,discard,,,,,,,,,EligibilityID,form01::eligibilityid,chr,GM0001-1,NA,NA,>10 unique values,4919,NA,0,NA
2,uniquekey,form01,discard,,,,,,,,,UniqueKey,form01::uniquekey,int,49,NA,NA,1 to 1886,1726,NA,0,duplicated variable
3,hospitalname,form01,keep,,,,,,,,,HospitalName,form01::hospitalname,chr,GMH,NA,NA,"GMH, GUH, JUH, SPH, TAH",5,NA,0,duplicated variable
4,medicalrecordnumber,form01,discard,,,,,,,,,MedicalRecordNumber,form01::medicalrecordnumber,dbl,110037,NA,NA,7 to 4.55e+11,4699,NA,0.027851189,duplicated variable
5,dateofscreening,form01,keep,,,,,,,,,DATEOFSCREENING,form01::dateofscreening,chr,12/7/16,date?,%d/%m/%Y,>10 unique values,709,NA,0.005692214,duplicated variable
6,didmotherdeliveratoneoftheparticipatingstudyhospitalsandinfant,form01,keep,,,,,,,,,DIDMOTHERDELIVERATONEOFTHEPARTICIPATINGSTUDYHOSPITALSANDINFANT,form01::didmotherdeliveratoneoftheparticipatingstudyhospitalsandinfant,chr,Yes,NA,NA,", Missing, No, Yes",3,NA,0.001423053,NA
7,wasbabytransferredfromotherfacilitiesorhometooneoftheparticipa,form01,keep,,,,,,,,,WASBABYTRANSFERREDFROMOTHERFACILITIESORHOMETOONEOFTHEPARTICIPA,form01::wasbabytransferredfromotherfacilitiesorhometooneoftheparticipa,chr,No,NA,NA,", Missing, No, Yes",3,NA,0.010571254,NA
8,didbabyhaveapgar1orcriedbreathedorhavemovementafterdelivery,form01,discard,,,,,,,,,DIDBABYHAVEAPGAR1orCRIEDBREATHEDORHAVEMOVEMENTAFTERDELIVERY,form01::didbabyhaveapgar1orcriedbreathedorhavemovementafterdelivery,chr,Yes,NA,NA,", Missing, No, Yes",3,NA,0.004065867,NA
9,gestationalageinweeksbyballard,form01,keep,,,,,,,,,GestationalageinweeksbyBallard,form01::gestationalageinweeksbyballard,int,34,NA,NA,19 to 38,20,NA,0.022158975,NA
10,ballardneuromuscularmaturityscore,form01,keep,,,,,,,,,BallardNeuromuscularmaturityScore,form01::ballardneuromuscularmaturityscore,int,14,NA,NA,0 to 22,23,NA,0.039845497,NA
11,ballardphysicalmaturityscore,form01,keep,,,,,,,,,BallardPhysicalmaturityScore,form01::ballardphysicalmaturityscore,int,11,NA,NA,0 to 25,25,NA,0.040455377,NA
12,total,form01,keep,,,,,,,,,Total,form01::total,int,25,NA,NA,0 to 40,40,NA,0.027444603,NA
13,bestga,form01,keep,,,,,,,,,BestGA,form01::bestga,int,34,NA,NA,20 to 36,17,NA,0,NA
14,doesinfantmeetalleligibilitycriteriaforstudy,form01,discard,,,,,,,,,DOESINFANTMEETALLELIGIBILITYCRITERIAFORSTUDY,form01::doesinfantmeetalleligibilitycriteriaforstudy,chr,Yes,NA,NA,", Missing, No, Yes",3,NA,0.001626347,NA
15,wasconsentobtained,form01,discard,,,,,,,,,WASCONSENTOBTAINED,form01::wasconsentobtained,chr,Yes,NA,NA,", Missing, No, Yes",3,NA,0.002642814,NA
16,nameofpersonwhocompletedform,form01,discard,,,,,,,,,NAMEOFPERSONWHOCOMPLETEDFORM,form01::nameofpersonwhocompletedform,chr,Mersit G/Meskel,NA,NA,>10 unique values,856,NA,0.023378736,duplicated variable
17,nameofpersonwhoreviewform,form01,discard,,,,,,,,,NAMEOFPERSONWHOREVIEWFORM,form01::nameofpersonwhoreviewform,chr,Sr.Metasebiya,NA,NA,>10 unique values,225,NA,0.236633462,duplicated variable
18,days,form01,keep,,,days associated with bestga,,,,,,days,form01::days,int,0,NA,NA,0 to 8,8,NA,0.416548079,duplicated variable
19,isthedateoflmpreliable,form01,discard,,,,,,,,,IsthedateofLMPreliable,form01::isthedateoflmpreliable,chr,Yes,date?,NA,", Missing, No, Yes",3,NA,0.002642814,NA
20,ifyesfirstdayoflastmenstrualperiod,form01,keep,,,,,,,,,Ifyesfirstdayoflastmenstrualperiod,form01::ifyesfirstdayoflastmenstrualperiod,chr,16/11/2015,date?,%d/%m/%Y,>10 unique values,595,NA,0.700548892,NA
21,ifyesgestationalagegaatdeliveryinweeksfromlmpwks,form01,keep,,,,,,,,may want to combine with days1,IfyesgestationalageGAatdeliveryinweeksfromLMPwks,form01::ifyesgestationalagegaatdeliveryinweeksfromlmpwks,int,34,NA,NA,22 to 36,15,NA,0.713966253,NA
22,days1,form01,keep,,,"gestational age at delivery in weeks from lmpwks, the days portion",,,,,may want to combine with ifyesgestationalagegaatdeliveryinweeksfromlmpwks,days1,form01::days1,int,5,NA,NA,0 to 9,10,NA,0.741410856,duplicated variable
23,wasultrasoundperformed,form01,keep,,,,,,,,,Wasultrasoundperformed,form01::wasultrasoundperformed,chr,Yes,NA,NA,", Missing, No, Yes",3,NA,0.03821915,NA
24,dateoffirstonlyusexam,form01,keep,,,,,,,,,DateoffirstonlyUSexam,form01::dateoffirstonlyusexam,chr,12/4/16,date?,%d/%m/%Y,>10 unique values,451,NA,0.809920716,NA
25,dontknow,form01,discard,,,,,,,,,DontKnow,form01::dontknow,chr,Yes,NA,NA,", No, Yes",2,NA,0.00060988,duplicated variable
26,trimesterofearliestultrasound,form01,keep,,,,,,,,,Trimesterofearliestultrasound,form01::trimesterofearliestultrasound,int,1,NA,NA,1 to 4,4,NA,0.717828827,NA
27,gestationalageatthefirstonlyusexamwks,form01,keep,,,,,,,,may want to combine with days2,GestationalageatthefirstonlyUSexamwks,form01::gestationalageatthefirstonlyusexamwks,int,22,NA,NA,0 to 36,34,NA,0.784915633,NA
28,days2,form01,keep,,,"gestational age at first/only ultrasound, the days portion",,,,,may want to combine with gestationalageatthefirstonlyusexamwks,days2,form01::days2,int,6,NA,NA,0 to 44,15,NA,0.809717422,NA
29,gestationalageatdeliverybasedonfirstonlyuswks,form01,keep,,,,,,,,may want to combine with days3,GestationalageatdeliverybasedonfirstonlyUSwks,form01::gestationalageatdeliverybasedonfirstonlyuswks,int,36,NA,NA,20 to 38,17,NA,0.808700955,NA
30,days3,form01,keep,,,"gestational age at delivery based on first/only ultrasound, the days portion",,,,,may want to combine with gestationalageatdeliverybasedonfirstonlyuswks,days3,form01::days3,int,4,NA,NA,0 to 88,9,NA,0.825574304,NA
31,dateballardexamdone,form01,keep,,,,,,,,,DateBallardexamdone,form01::dateballardexamdone,chr,12/7/16,date?,%d/%m/%Y,>10 unique values,712,NA,0.068916446,NA
32,ultrasoundwasdoneat28weeks,form01,discard,,,,,,eligibility criteria. Put on study page,,,Ultrasoundwasdoneat28weeks,form01::ultrasoundwasdoneat28weeks,chr,Yes,NA,NA,", Missing, No, Yes",3,NA,0.00487904,NA
33,ifultrasoundat28weeksandeithervalidlmporballard,form01,discard,,,,,,eligibility criteria. Put on study page,,,IfUltrasoundat28weeksandeithervalidLMPorBallard,form01::ifultrasoundat28weeksandeithervalidlmporballard,chr,Yes,NA,NA,", Missing, No, Yes",3,NA,0.00487904,NA
34,ifnousvalidlmpandballardexamdone7daysafterdelivery,form01,discard,,,,,,eligibility criteria. Put on study page,,,IfnoUSvalidLMPandBallardexamdone7daysafterdelivery,form01::ifnousvalidlmpandballardexamdone7daysafterdelivery,chr,No,NA,NA,", Missing, No, Yes",3,NA,0.003455987,NA
35,ifnousvalidlmpandballardexamdone7daysafterdeliveryanddiscrepan,form01,discard,,,,,,eligibility criteria. Put on study page,,,IfnoUSvalidLMPandBallardExamdone7daysafterdeliveryanddiscrepan,form01::ifnousvalidlmpandballardexamdone7daysafterdeliveryanddiscrepan,chr,No,NA,NA,", Missing, No, Yes",3,NA,0.005082334,NA
