"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI","hidden"
"http://purl.obolibrary.org/obo/PCO_0000024","Household","","","","","Household","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","yes"
"http://purl.obolibrary.org/obo/ENVO_00000004","Country","6","country","","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","","","derived","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038001","Hospital","1","form01::hospitalname","form01","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0026002","Subdistrict","4","form03b::kebele | form05_long::kebele | form03a::kebele","form03b | form05_long | form03a","A kebele, or ward, is the smallest administrative unit of Ethiopia. Consists of >500 families, generally 3,500-4,000 people","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038127","Town or district","3","form05_long::townorworeda | form03b::townorworeda | form03a::townorworeda","form05_long | form03a | form03b","Town or woreda, which is the 3rd-level administrative division in Ethiopia. Further subdivided into wards (kebele, here labeled as ""Subdistrict"").","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","","","variable","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000773","Village","5","form05_long::gottketana | form03a::gottketana | form03b::gottketana","form03b | form03a | form05_long","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","","","variable","","","","yes"
"http://purl.obolibrary.org/obo/NCIT_C43428","Zone","2","form03b::azone | form05_long::zonee | form03a::azone","form03b | form05_long | form03a","A zone is the 2nd-level administrative division in Ethiopia. Further subdivided into districts (woreda).","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","","","variable","","","",""
"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","","","","","Household","Household","http://purl.obolibrary.org/obo/PCO_0000024","","","category","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000738","Observation","","","","","Observation","","http://www.w3.org/2002/07/owl#Thing","","","category","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0041093","Abdominal","11","form03b::abdomennormal | form03a::abdomen","form03b | form03a","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038319","Abdominal X-ray","25","form03b::ifdone1 | form06_a_xray::abdominalxrayresults","form03b | form06_a_xray","Collected at NICU admission and at any point an abdominal X-ray was performed while the infant remained in the NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","If abdominal x-ray performed, whether findings were normal","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038318","Abdominal ultrasound","28","form03b::n611ifdone","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","If abdominal ultrasound performed, whether findings were normal","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0041099","Cardiac","10","form03a::cardiovascularsystem | form03b::heartexamnormal","form03b | form03a","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038320","Chest X-ray","24","form06_c_xray::chestxrayresults | form03b::ifdone","form03b | form06_c_xray","Collected at NICU admission and at any point a chest X-ray was performed while the infant remained in the NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","If chest x-ray performed, whether findings were normal","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038321","Cranial ultrasound","27","form03b::n601ifdone","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","If head ultrasound performed, whether findings were normal","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038132","Ears","6","form03a::ears | form03b::earsnormal","form03b | form03a","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038322","Eyes","4","form03a::eye | form03b::eyesnormal","form03a | form03b","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038129","Face","3","form03a::face","form03a","Assessed once for healthy infants discharged home without admission to the NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038135","Genitourinary","14","form03b::genitaliakidneysnormal | form03a::genitourinarysystem","form03b | form03a","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038324","Grasp","21","form03b::graspappropriateforage","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038326","MRI","30","form03b::n631ifdone","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","If MRI performed, whether findings were normal","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038325","Moro reflex","19","form03b::moronormalforage","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038133","Mouth","7","form03b::mouthnormal | form03a::mouth","form03b | form03a","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038327","Muscle tone","22","form03b::tonenormal","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038138","Musculoskeletal","17","form03a::musculoskeletalsystem | form03b::musculoskeletalsystemnormal","form03a | form03b","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038134","Neck","8","form03a::neck | form03b::necknormal","form03b | form03a","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038139","Neurological","23","form03a::neurologicalsystemincdhxorcurrentseizures","form03a","Assessed once for healthy infants discharged home without admission to the NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038131","Nose","5","form03b::nosepatent | form03a::nose","form03a | form03b","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038328","Organ size","12","form03b::organsizenormal","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038330","Other X-ray","26","form03b::n591ifdone","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","If other x-ray performed, whether findings were normal","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038329","Other ultrasound","29","form03b::n62otherultrasound","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","If other ultrasound performed, whether findings were normal","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038331","Posture","1","form03b::normalposture","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0041143","Pulmonary","9","form03b::breathingnormal | form03a::respiratorysystem","form03b | form03a","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038140","Reflexes","18","form03a::reflexesappropriateforage | form03b::reflexesappropriateforage","form03a | form03b","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038136","Skin","15","form03b::skintexturenormal | form03a::skin","form03a | form03b","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038128","Skull","2","form03b::skullnormal | form03a::skull","form03a | form03b","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038332","Sucking","20","form03b::suckingnormalforage","form03b","Assessed once for infants admitted to NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038137","Umbilical stump","16","form03a::umbilicalstump | form03b::umbilicalstumpnormal","form03b | form03a","Assessed once for all infants at first exam","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038333","Urine output","13","form04::urineoutput | form03b::urineoutputnormal","form03b | form04","Asked at NICU admission and daily while the infant remained in the NICU","Observation","Abnormal physical exam","http://purl.obolibrary.org/obo/EUPATH_0041001","","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0047060","Antenatal care visits (count)","2","form02_long::numberofvisitswhetherinthisorotherhospitalclinics","form02_long","Total number of antenatal care visits prior to participant's birth. Maternal data assessed at enrollment","Observation","Antenatal care","http://purl.obolibrary.org/obo/EUPATH_0047002","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038016","Received antenatal care","1","form02_long::antenatalcareancreceived","form02_long","Antenatal care received for pregnancy resulting in participant's birth. Maternal data assessed at enrollment","Observation","Antenatal care","http://purl.obolibrary.org/obo/EUPATH_0047002","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000683","Head circumference (cm)","3","form05_long::headcircumference | form04::weeklyheadcircumferencecm | form03a::headcircumference | form03b::headcircumference","form03a | form03b | form05_long | form04","Asked of all infants at first exam and repeated daily for those in the NICU. For infants discharged home with weekly follow-up, asked at face-to-face visits.","Observation","Anthropometry","http://purl.obolibrary.org/obo/EUPATH_0000649","","","variable","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010075","Height","1","form04::weeklylengthcm | form03a::hlength | form05_long::hlength | form03b::hlength","form04 | form05_long | form03a | form03b","Asked of all infants at first exam and repeated daily for those in the NICU. For infants discharged home with weekly follow-up, asked at face-to-face visits.","Participant","Anthropometry","http://purl.obolibrary.org/obo/EUPATH_0000649","","","variable","","cm","http://purl.obolibrary.org/obo/UO_0000015",""
"http://purl.obolibrary.org/obo/IAO_0000414","Weight","2","form05_long::weightatexam | form03b::weightatexam | form03a::weightatexam | form04::dailyweightg","form03b | form03a | form05_long | form04","Asked of all infants at first exam and repeated daily for those in the NICU. For infants discharged home with weekly follow-up, asked at face-to-face visits.","Participant","Anthropometry","http://purl.obolibrary.org/obo/EUPATH_0000649","","","variable","EUPATH_0000732","kg","http://purl.obolibrary.org/obo/UO_0000009",""
"http://purl.obolibrary.org/obo/EUPATH_0038096","Cesarean section prophylaxis","4","form02_long::prophylaxisforcsection","form02_long","Asked at enrollment","Observation","Antibiotics before delivery indication","http://purl.obolibrary.org/obo/EUPATH_0038092","Reason antibiotics given","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038094","Chorioamnionitis","2","form02_long::chorioamnionitis","form02_long","Asked at enrollment","Observation","Antibiotics before delivery indication","http://purl.obolibrary.org/obo/EUPATH_0038092","Reason antibiotics given","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038095","Maternal urinary tract infection","3","form02_long::maternalurinarytractinfection","form02_long","Asked at enrollment","Observation","Antibiotics before delivery indication","http://purl.obolibrary.org/obo/EUPATH_0038092","Reason antibiotics given","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038097","Other maternal infection","5","form02_long::othermaternalinfection1","form02_long","Asked at enrollment","Observation","Antibiotics before delivery indication","http://purl.obolibrary.org/obo/EUPATH_0038092","Reason antibiotics given","","value","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0038093","Prelabor rupture of membranes","1","form02_long::prom","form02_long","PROM. Asked at enrollment","Observation","Antibiotics before delivery indication","http://purl.obolibrary.org/obo/EUPATH_0038092","Reason antibiotics given","","value","","","",""
