variable	IRI	values	mappedTerms
hhobservationprotocol	EUPATH_0044122	Enrollment	1. Enrollment
hhobservationprotocol	EUPATH_0044122	60 day follow-up	6. 60 day follow-up
observationprotocol	OBI_0001508	Enrollment	1. Enrollment
observationprotocol	OBI_0001508	"Enrollment, Outcome 4 hours after rehydration"	"2. Enrollment, Outcome 4 hours after rehydration"
observationprotocol	OBI_0001508	"Enrollment, Outcome if additional rehydration needed"	"3. Enrollment, Outcome if additional rehydration needed"
observationprotocol	OBI_0001508	"Enrollment, Outcome leaving hospital/health center"	"4. Enrollment, Outcome leaving hospital/health center"
observationprotocol	OBI_0001508	"Enrollment, Last Outcome"	"5. Enrollment, Last Outcome"
observationprotocol	OBI_0001508	60 day follow-up	6. 60 day follow-up
agegroup	EUPATH_0010367	1	0-11 months
agegroup	EUPATH_0010367	2	12-23 months
agegroup	EUPATH_0010367	3	24-59 months
c_all	EUPATH_0010050	0	Missing forms or pages
c_all	EUPATH_0010050	1	All forms complete
c_labfrm	EUPATH_0010051	0	Missing forms or pages
c_labfrm	EUPATH_0010051	1	All forms complete
death	EUPATH_0000667	0	No
death	EUPATH_0000667	1	Yes
death	EUPATH_0000667	NA	NA
enr_mon	EUPATH_0010369	1	January
enr_mon	EUPATH_0010369	2	February
enr_mon	EUPATH_0010369	3	March
enr_mon	EUPATH_0010369	4	April
enr_mon	EUPATH_0010369	5	May
enr_mon	EUPATH_0010369	6	June
enr_mon	EUPATH_0010369	7	July
enr_mon	EUPATH_0010369	8	August
enr_mon	EUPATH_0010369	9	September
enr_mon	EUPATH_0010369	10	October
enr_mon	EUPATH_0010369	11	November
enr_mon	EUPATH_0010369	12	December
enr_yr	EUPATH_0010370	2007	2007
enr_yr	EUPATH_0010370	2008	2008
enr_yr	EUPATH_0010370	2009	2009
enr_yr	EUPATH_0010370	2010	2010
enr_yr	EUPATH_0010370	2011	2011
f11_antibiotic	EUPATH_0010218	0	No
f11_antibiotic	EUPATH_0010218	1	Yes
f11_antibiotic	EUPATH_0010218	9	Don't know
f11_consistency	EUPATH_0010217	1	Grade 1 (formed)
f11_consistency	EUPATH_0010217	2	Grade 2 (soft)
f11_consistency	EUPATH_0010217	3	Grade 3 (thick liquid)
f11_consistency	EUPATH_0010217	4	Grade 4 (opaque watery)
f11_consistency	EUPATH_0010217	5	Grade 5 (rice water-clear watery)
f11_consistency	EUPATH_0010217	NA	NA
f16corr_shig_5a	EUPATH_0015326	0	No
f2_gender	PATO_0000047	0	Male
f2_gender	PATO_0000047	1	Female
f2_gender	PATO_0000047	NA	NA
f3_abn_loose	EUPATH_0010410	1	Yes
f3_abn_loose	EUPATH_0010410	NA	NA
f3_age59	EUPATH_0010409	1	Yes
f3_age59	EUPATH_0010409	NA	NA
f3_child_dss	EUPATH_0010407	1	Yes
f3_child_dss	EUPATH_0010407	NA	NA
f3_child_elig	EUPATH_0010418	1	Yes
f3_child_elig	EUPATH_0010418	NA	NA
f3_child_enroll	EUPATH_0010424	1	Yes
f3_child_enroll	EUPATH_0010424	NA	NA
f3_consent	EUPATH_0010420	1	Yes
f3_consent	EUPATH_0010420	NA	NA
f3_drh_7	EUPATH_0010411	1	Yes
f3_drh_7	EUPATH_0010411	NA	NA
f3_drh_dys	EUPATH_0010416	0	No
f3_drh_dys	EUPATH_0010416	1	Yes
f3_drh_dys	EUPATH_0010416	9	Don't know
f3_drh_dys	EUPATH_0010416	NA	NA
f3_gender	PATO_0000047	0	Male
f3_gender	PATO_0000047	1	Female
f3_gender	PATO_0000047	NA	NA
f3_not_elig	EUPATH_0010419	0	No
f3_not_elig	EUPATH_0010419	NA	NA
f3_not_gems	EUPATH_0010408	1	Yes
f3_not_gems	EUPATH_0010408	NA	NA
f3_rect_swab	EUPATH_0010423	1	Yes
f3_rect_swab	EUPATH_0010423	NA	NA
f3_stool_smpl	EUPATH_0010422	1	Yes
f3_stool_smpl	EUPATH_0010422	NA	NA
f4a_breastfed	EUPATH_0010371	0	Not currently breastfed
f4a_breastfed	EUPATH_0010371	1	Partially breastfed
f4a_breastfed	EUPATH_0010371	2	Exclusively breastfed
f4a_breastfed	EUPATH_0010371	NA	NA
f4a_chlorine	EUPATH_0010147	0	NA
f4a_chlorine	EUPATH_0010147	1	Certeza
f4a_chlorine	EUPATH_0010147	2	Aquatabs
f4a_chlorine	EUPATH_0010147	3	AquaGuard
f4a_chlorine	EUPATH_0010147	4	WaterGuard
f4a_chlorine	EUPATH_0010147	5	Watermaker
f4a_chlorine	EUPATH_0010147	6	PuR
f4a_chlorine	EUPATH_0010147	7	Unknown
f4a_chlorine	EUPATH_0010147	8	Other
f4a_chlorine	EUPATH_0010147	NA	NA
f4a_cur_drymouth	EUPATH_0015080	0	No
f4a_cur_drymouth	EUPATH_0015080	1	Yes
f4a_cur_drymouth	EUPATH_0015080	9	Don't know
f4a_cur_drymouth	EUPATH_0015080	NA	NA
f4a_cur_fastbreath	EUPATH_0015081	0	No
f4a_cur_fastbreath	EUPATH_0015081	1	Yes
f4a_cur_fastbreath	EUPATH_0015081	9	Don't know
f4a_cur_fastbreath	EUPATH_0015081	NA	NA
f4a_cur_lethrgy	EUPATH_0015079	0	No
f4a_cur_lethrgy	EUPATH_0015079	1	Yes
f4a_cur_lethrgy	EUPATH_0015079	9	Don't know
f4a_cur_lethrgy	EUPATH_0015079	NA	NA
f4a_cur_nodrink	EUPATH_0015075	0	No
f4a_cur_nodrink	EUPATH_0015075	1	Yes
f4a_cur_nodrink	EUPATH_0015075	9	Don't know
f4a_cur_nodrink	EUPATH_0015075	NA	NA
f4a_cur_restless	EUPATH_0015078	0	No
f4a_cur_restless	EUPATH_0015078	1	Yes
f4a_cur_restless	EUPATH_0015078	9	Don't know
f4a_cur_restless	EUPATH_0015078	NA	NA
f4a_cur_skin	EUPATH_0015077	0	No
f4a_cur_skin	EUPATH_0015077	1	Yes
f4a_cur_skin	EUPATH_0015077	9	Don't know
f4a_cur_skin	EUPATH_0015077	NA	NA
f4a_cur_sunkeyes	EUPATH_0015076	0	No
f4a_cur_sunkeyes	EUPATH_0015076	1	Yes
f4a_cur_sunkeyes	EUPATH_0015076	9	Don't know
f4a_cur_sunkeyes	EUPATH_0015076	NA	NA
f4a_cur_thirsty	EUPATH_0015074	0	No
f4a_cur_thirsty	EUPATH_0015074	1	Yes
f4a_cur_thirsty	EUPATH_0015074	9	Don't know
f4a_cur_thirsty	EUPATH_0015074	NA	NA
f4a_dad_live	EUPATH_0000676	1	Living in household
f4a_dad_live	EUPATH_0000676	2	Lives outside of household
f4a_dad_live	EUPATH_0000676	3	Abroad
f4a_dad_live	EUPATH_0000676	4	Whereabouts unknown
f4a_dad_live	EUPATH_0000676	5	Died
f4a_dad_live	EUPATH_0000676	NA	NA
f4a_disp_feces	EUPATH_0000722	1	Scatter in yard
f4a_disp_feces	EUPATH_0000722	2	Bury
f4a_disp_feces	EUPATH_0000722	3	"Toilet, latrine"
f4a_disp_feces	EUPATH_0000722	4	Bush/field/ground/stream/open sewer (includes dumping anywhere in environment outside compound)
f4a_disp_feces	EUPATH_0000722	5	Do nothing
f4a_disp_feces	EUPATH_0000722	6	Other
f4a_disp_feces	EUPATH_0000722	NA	NA
f4a_drh_bellypain	EUPATH_0015064	0	No
f4a_drh_bellypain	EUPATH_0015064	1	Yes
f4a_drh_bellypain	EUPATH_0015064	9	Don't know
f4a_drh_bellypain	EUPATH_0015064	NA	NA
f4a_drh_blood	EUPATH_0015059	0	No
f4a_drh_blood	EUPATH_0015059	1	Yes
f4a_drh_blood	EUPATH_0015059	9	Don't know
f4a_drh_blood	EUPATH_0015059	NA	NA
f4a_drh_breath	EUPATH_0015072	0	No
f4a_drh_breath	EUPATH_0015072	1	Yes
f4a_drh_breath	EUPATH_0015072	9	Don't know
