colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceTostring,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
2,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x2,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,,Data access group,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Data Access Group,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
4,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x4,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,http://purl.obolibrary.org/obo/EUPATH_0031056,Cluster number,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Cluster,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
5,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x5,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,,County code,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010038,Administrative information,County,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
6,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x6,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,http://purl.obolibrary.org/obo/EUPATH_0053050,Facility name,,Participant,,,Facility Name,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
8,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x8,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,1. What is your age since your most recent birthday?,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
9,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x9,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,2. What is your sex at birth (biological)?,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
10,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x10,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other specify,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
11,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x11,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,,Participant,,,3. What is the highest level of education that you completed?,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
12,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x12,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,http://purl.obolibrary.org/obo/APOLLO_SV_00000570,Employment status,,Participant,,,4. I would like to ask you about your employment status.  Are you now PRIMARILY,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
13,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x13,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,,Participant,,,5. Are you current married or living together with a man/woman as married?,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
14,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x14,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,,Sex partner,,Participant,,Sexual behavior,6. Whom do you have sex with?,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
15,jilinde_retrospective_data_labels_2021-11-29_1127_rev1::x15,jilinde_retrospective_data_labels_2021-11-29_1127_rev1,,"Sex partner, specified",,Participant,,Sexual behavior,Other specify,,variable,,,,,Jilinde_prospective_cohort,,,,,,,,,
