IRI,label,variable,dataFile,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,EcoCF.txt::country,EcoCF.txt,,,,,,,,,,,,,,
ENVO_01000739,Habitat,EcoCF.txt::env_feature,EcoCF.txt,,,,,,ENVO_00002297,,,,,,,,
CHEBI_161680,Aztreonam,EcoCF.txt::Aztreonam,EcoCF.txt,,,,,,,,,,,,,,
CHEBI_28864,Tobramycin,EcoCF.txt::Tobramycin,EcoCF.txt,,,yes,,,,,,,,,,,
CHEBI_2955,Azithromycin,EcoCF.txt::Azithromycin,EcoCF.txt,,,yes,,,,,,,,,,,
CHEBI_37943,Colistin,EcoCF.txt::Colistin,EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009032,CFTR mutation (allele 2),EcoCF.txt::Mutation 2,EcoCF.txt,,,,,,,,,,,,,,
EUPATH_0009087,"Forced expiratory volume, percentage",EcoCF.txt::Forced Expiratory Volume (FEV1) percentage,EcoCF.txt,,,yes,,,,%,http://purl.obolibrary.org/obo/UO_0000187,,,,,,
EUPATH_0009088,Forced expiratory volume,EcoCF.txt::Forced Expiratory Volume (FEV1) liter,EcoCF.txt,,,yes,,,,L,http://purl.obolibrary.org/obo/UO_0000099,,,,,,
EUPATH_0009089,Virology result,EcoCF.txt::Virology result,EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009091,CFTR mutation (F508del),EcoCF.txt::F508del-CFTR genotype,EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009092,CFTR mutation (allele 1),EcoCF.txt::Mutation 1,EcoCF.txt,,,,,,,,,,,,,,
HP_0032319,Clinical status,EcoCF.txt::Clinical Status,EcoCF.txt,,,yes,,,,,,,,,,,
NCIT_C83101,Visit number,EcoCF.txt::Visit Number,EcoCF.txt,,,yes,yes,yes,,,,,,,,,yes
OBI_0001169,Age,EcoCF.txt::Age (days),EcoCF.txt,,,yes,yes,,EUPATH_0000579,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
OBI_0001169,Age,EcoCF.txt::Age (years),EcoCF.txt,,,,,,,,,,,,,,
OBI_0003071,Subject ID,EcoCF.txt::host_subject_id,EcoCF.txt,,,,,,,,,,everywhere,,,,yes
PATO_0000047,Sex,EcoCF.txt::Sex,EcoCF.txt,,,,,,,,,,,,,,
UBERON_0000061,Host body site,EcoCF.txt::body_site,EcoCF.txt,,,yes,,,,,,,,,,,
UBERON_0000463,Host body product,EcoCF.txt::body_product,EcoCF.txt,,,yes,,,,,,,,,,,
UBERON_0000466,Host body habitat,EcoCF.txt::body_habitat,EcoCF.txt,,,yes,,,,,,,,,,,
ARO_3004306,Methicillin resistant Staphylococcus aureus,EcoCF.txt::methicillin resistant Staphylococcus aureus (MRSA),EcoCF.txt,,,yes,,,,,,,,,,,
DRON_00018567,Dornase,EcoCF.txt::Dornase,EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009096,Methicillin sensitive Staphylococcus aureus,EcoCF.txt::methicillin sensitive Staphylococcus aureus (MSSA),EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009103,Influenza,EcoCF.txt::Influenza,EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009105,Pseudomonas (mucoid),EcoCF.txt::Pseudomonas (mucoid),EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009106,Pseudomonas (nonmucoid),EcoCF.txt::Pseudomonas (nonmucoid),EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009111,Rhinovirus,EcoCF.txt::Rhinovirus,EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009117,Mixed Commensal Flora (prelim),EcoCF.txt::MCF (prelim),EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009119,Methicillin sensitive Staphylococcus aureus (prelim),EcoCF.txt::MSSA (prelim),EcoCF.txt,,,yes,,,,,,,,,,,
EUPATH_0009120,Pseudomonas (prelim),EcoCF.txt::Pseudomonas (prelim),EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_10508,Adenovirus,EcoCF.txt::Adenovirus,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_11137,Human coronavirus 229E,EcoCF.txt::Coronavirus 229E,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_11216,Human parainfluenza virus 3,EcoCF.txt::parainfluenza 3,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_12059,Enterovirus,EcoCF.txt::Enterovirus,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_1279,Staphylococcus,EcoCF.txt::Staphylococcus,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_12814,Respiratory syncytial virus,EcoCF.txt::Respiratory syncytial virus,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_1313,Streptococcus pneumoniae,EcoCF.txt::Streptococcus pneumoniae,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_1314,Streptococcus pyogenes,EcoCF.txt::Streptococcus pyogenes,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_162145,Human metapneumovirus,EcoCF.txt::Human metapneumovirus,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_1817,Nocardia,EcoCF.txt::Nocardia,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_222,Achromobacter,EcoCF.txt::Achromobacter,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_24,Shewanella putrefaciens,EcoCF.txt::Shewanella putrifaciens,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_2501931,Coronavirus,EcoCF.txt::Coronavirus,EcoCF.txt,,,yes,,,NCBITaxon_11118,,,,,,,,
NCBITaxon_253,Chryseobacterium indologenes,EcoCF.txt::Chryseobacterium indologenes,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_277944,Human coronavirus NL63,EcoCF.txt::Coronavirus NL63,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_28090,Acinetobacter lwoffi,EcoCF.txt::Acinetobacter lwoffi,EcoCF.txt,,,yes,,,SNOMEDCT/83088009,,,,,,,,
NCBITaxon_286,Pseudomonas,EcoCF.txt::Pseudomonas,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_290028,Human coronavirus HKU1,EcoCF.txt::Coronavirus HKU1,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_303,Pseudomonas putida,EcoCF.txt::Pseudomonas putida,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_31631,Coronavirus OC43,EcoCF.txt::Coronavirus OC43,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_36420,Influenza A 2009,EcoCF.txt::Influenza A 2009,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_36809,Mycobacteroides abscessus,EcoCF.txt::Mycobacterium abcessus,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_40323,Stenotrophomonas,EcoCF.txt::Stenotrophomonas,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_469,Acinetobacter,EcoCF.txt::Acinetobacter,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_47886,Pseudomonas luteola,EcoCF.txt::Pseudomonas luteola,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_487,Neisseria meningitidis,EcoCF.txt::Neisseria meningitidis,EcoCF.txt,,,yes,,,,,,,,,,,
NCBITaxon_5067,Aspergillus,EcoCF.txt::Aspergillus,EcoCF.txt,,,yes,,,,,,,,,,,
