variable	variable2	values	mappedTerm	Ordinal Value
abdominal_pain	abdominal_pain	1	Yes	
abdominal_pain	abdominal_pain	2	No	
aches_or_pains	aches_or_pains	1	Yes	
aches_or_pains	aches_or_pains	2	No	
acidosis_rad	acidosis_rad	2	No	
acidosis_rad	acidosis_rad	99999	Unknown	
anemia_rad	anemia_rad	2	No	
anemia_rad	anemia_rad	99999	Unknown	
ards_rad	ards_rad	2	No	
ards_rad	ards_rad	99999	Unknown	
artesunate_dose	artesunate_dose	120mg	120 mg	
artesunate_dose	artesunate_dose	2.4 mg/kg		
artesunate_dose	artesunate_dose	35mg	35 mg	
artesunate_freq	artesunate_freq	12hrs	Twice a day	
artesunate_freq	artesunate_freq	1:5 BD	1.5 BD	
artesunate_freq	artesunate_freq	8hrs	Three times a day	
artesunate_freq	artesunate_freq	BD	Twice a day	
artesunate_length	artesunate_length	1 Day	1 day	
artesunate_rad	artesunate_rad	1	Artesunate	
artesunate_rad	artesunate_rad	2	:::UNDEF:::	
artesunate_route_rad	artesunate_route_rad	3	Intravenous (IV)	
bednet_chk___1	bednet_chk___1	1	Yes	
bednet_chk___2	bednet_chk___2	0	No	
bednet_chk___3	bednet_chk___3	0	No	
bednet_chk___4	bednet_chk___4	0	No	
bednet_chk___5	bednet_chk___5	0	No	
bednet_chk___6	bednet_chk___6	0	No	
bednet_chk___88888	bednet_chk___88888	0	No	
bleeding_rad	bleeding_rad	1	Yes	
bleeding_rad	bleeding_rad	2	No	
bleeding_rad	bleeding_rad	99999	Unknown	
blood_rad	blood_rad	1	Yes	
blood_rad	blood_rad	2	No	
blood_smear_fu_rad	blood_smear_fu_rad	1	Yes	
blood_smear_fu_rad	blood_smear_fu_rad	2	No	
blood_smear_fu_rad_v2	blood_smear_fu_rad_v2	1	Yes	
blood_smear_fu_rad_v2	blood_smear_fu_rad_v2	2	No	
breathing	breathing	1	Yes	
breathing	breathing	2	No	
breathing	breathing	99999	Unknown	
chest_pain	chest_pain	1	Yes	
chest_pain	chest_pain	2	No	
chik_eos_chk	chik_eos_chk	1	Positive	
chik_eos_chk	chik_eos_chk	2	Negative	
chik_eos_chk	chik_eos_chk	4	Not done	
chik_eos_chk	chik_eos_chk	88888	Missing	
chills	chills	1	Yes	
city	city	Ahmedabad city	Ahmedabad	
city	city	"Memco, Ahmedabad"	Ahmedabad	
convulsions_rad	convulsions_rad	1	Yes	
convulsions_rad	convulsions_rad	2	No	
cough	cough	1	Yes	
cough	cough	2	No	
creatinine	creatinine_result	0.92.	0.92	
culture_rad	culture_rad	1	No	
