hh,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0036201,Almeria (steel cabinet),ext_crypto_ses_2000::almirah | ext_crypto_ses_3000::almirah,,ext_crypto_ses_2000 | ext_crypto_ses_3000,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Almeria,"1 = Yes, 2 = No",value,,,,NIH Crypto,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0036205,Bench,ext_crypto_ses_3000::bench | ext_crypto_ses_2000::bench,,ext_crypto_ses_2000 | ext_crypto_ses_3000,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Bench,"1 = Yes, 2 = No",value,,,,NIH Crypto,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,ext_crypto_ses_3000::bl_cycle | ext_crypto_ses_2000::bl_cycle,,ext_crypto_ses_2000 | ext_crypto_ses_3000,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Bicycle,"1 = Yes, 2 = No",value,,,,NIH Crypto,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000586,Chair,ext_crypto_ses_2000::chair | ext_crypto_ses_3000::chair,,ext_crypto_ses_3000 | ext_crypto_ses_2000,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Chair,"1 = Yes, 2 = No",value,,,,NIH Crypto,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0036207,Cooking gas,ext_crypto_ses_3000::gas | ext_crypto_ses_2000::gas,,ext_crypto_ses_2000 | ext_crypto_ses_3000,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Cooking Gas,"1 = Yes, 2 = No",variable,,,,NIH Crypto,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0036208,Cot or bed,ext_crypto_ses_2000::cot | ext_crypto_ses_3000::cot,,ext_crypto_ses_2000 | ext_crypto_ses_3000,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Cot or bed,"1 = Yes, 2 = No",value,,,,NIH Crypto,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,ext_crypto_ses_3000::electric | ext_crypto_ses_2000::electric,,ext_crypto_ses_2000 | ext_crypto_ses_3000,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Electricity,"1 = Yes, 2 = No",value,,,,NIH Crypto,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0036212,Fan,ext_crypto_ses_2000::fan | ext_crypto_ses_3000::fan,,ext_crypto_ses_2000 | ext_crypto_ses_3000,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Fan,"1 = Yes, 2 = No",value,,,,NIH Crypto,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,ext_crypto_ses_3000::mo_cycle | ext_crypto_ses_2000::mo_cycle,,ext_crypto_ses_3000 | ext_crypto_ses_2000,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Motorcycle,"1 = Yes, 2 = No",value,,,,NIH Crypto,,,,,,,,,,
