variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1a_huas label
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=NOT IN CODEBOOK, 9=NOT IN CODEBOOK, NA=NA",,,,,62,61,,response values 0 & 3 & 9 not in codebook,34. Admitted for treatment of illness
admit_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E35: Health care utilization. To which hospital was the child admitted (health facility code for center of 1st choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,63,62,,,35. Hospital admitted to 1st choice
admit_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,"0, 1",,,,,79,NA,,,
admit_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E35.1: Health care utilization. To which hospital was the child admitted (health facility code for center of 2nd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,64,63,,,35. Hospital admitted to 2nd choice
admit_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,1,,,,,80,NA,,,
admit_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E35.2: Health care utilization. To which hospital was the child admitted (health facility code for center of 3rd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,65,64,,,35. Hospital admitted to 3rd choice
admit_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,,,,,,81,NA,,,
admit_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,"E35.3: Health care utilization. If the facility was not coded, specify. Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks",,,,,,66,65,,,35. Specify other facility not coded
age,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,A06.1: Eligibility information. Age (months). 15 is used for missing day in birthdate,,,,,,7,72,,,
agestratum,gems1_huas_lite_data_kenya.sas7bdat,,,num,A01: Eligibility information. Child's age stratum (in months) according to the census.,"0=NOT IN CODEBOOK, 1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months",,,,,NA,77,,response value 0 not in codebook,1. Child's age stratum
aswt,gems1_huas_lite_data_6_sites.sas7bdat,Discard,,num,,,,,,,83,NA,,variable not in HUAS codebook (CRF01 HUAS),
care,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2, 3",,,,,NA,81,,variable not in HUAS codebook (CRF01 HUAS),
childid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,1. Child ID.,,,,,,2,6,,,Child ID
consent,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"A03: Eligibility information. Was consent given by the parent, primary caretaker, or guardian. If ""refused"" or ""not available after 3 attempts, stop here","1=Yes, 2=Refused, 3=Not available after 3 attempts",,,,,10,11,,,3. Was consent given by parent
dayseek,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E32: Health care utilization. On what day of the child's diarrhea did you seek care t the sentinel hospital/health center. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,61,60,,,32. What day of diarrhea you sought care
diarrhea,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2",,,,,14,15,,variable not in HUAS codebook (CRF01 HUAS),
