gems1a_ken,gems1a_6sites,variable,Label,Source ID,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1a_huas label
admit,ADMIT,admit,Admitted to hospital,EUPATH_0010345,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,"E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=NOT IN CODEBOOK, 9=NOT IN CODEBOOK, NA=NA",,,,,62,61,,response values 0 & 3 & 9 not in codebook,34. Admitted for treatment of illness
admit_ctr1,ADMIT_CTR1,admit_ctr1,Hospital admitted,EUPATH_0015550,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,E35: Health care utilization. To which hospital was the child admitted (health facility code for center of 1st choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,63,62,,,35. Hospital admitted to 1st choice
,ADMIT_CTR1_SHC,admit_ctr1_shc,,,gems1a_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,"0, 1",,,,,79,NA,,,
admit_ctr2,ADMIT_CTR2,admit_ctr2,Hospital admitted 2nd choice,EUPATH_0015551,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,E35.1: Health care utilization. To which hospital was the child admitted (health facility code for center of 2nd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,64,63,,,35. Hospital admitted to 2nd choice
,ADMIT_CTR2_SHC,admit_ctr2_shc,,,gems1a_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,1,,,,,80,NA,,,
admit_ctr3,ADMIT_CTR3,admit_ctr3,Hospital admitted 3rd choice,EUPATH_0015552,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,E35.2: Health care utilization. To which hospital was the child admitted (health facility code for center of 3rd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,65,64,,,35. Hospital admitted to 3rd choice
,ADMIT_CTR3_SHC,admit_ctr3_shc,,,gems1a_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,,,,,,81,NA,,,
admit_spec,ADMIT_SPEC,admit_spec,,,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",Discard,,chr,"E35.3: Health care utilization. If the facility was not coded, specify. Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks",,,,,,66,65,,,35. Specify other facility not coded
age,AGE,age,Age (months),EUPATH_0015400,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,A06.1: Eligibility information. Age (months). 15 is used for missing day in birthdate,,,,,,7,72,,,
AGESTRATUM,,agestratum,Age group,EUPATH_0010367,gems1_huas_lite_data_kenya.sas7bdat,,,num,A01: Eligibility information. Child's age stratum (in months) according to the census.,"0=NOT IN CODEBOOK, 1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months",,,,,NA,77,,response value 0 not in codebook,1. Child's age stratum
,aswt,aswt,,,gems1a_huas_lite_data_6_sites.sas7bdat,Discard,,num,,,,,,,83,NA,,variable not in HUAS codebook (CRF01 HUAS),
Care,,care,,,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2, 3",,,,,NA,81,,variable not in HUAS codebook (CRF01 HUAS),
ChildID,CHILDID,childid,Participant ID,EUPATH_0000095,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,1. Child ID.,,,,,,2,6,,,Child ID
consent,CONSENT,consent,Consent for enrollment given,EUPATH_0010420,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,"A03: Eligibility information. Was consent given by the parent, primary caretaker, or guardian. If ""refused"" or ""not available after 3 attempts, stop here","1=Yes, 2=Refused, 3=Not available after 3 attempts",,,,,10,11,,,3. Was consent given by parent
dayseek,DAYSEEK,dayseek,Diarrheal day sought care at health center,EUPATH_0015547,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,E32: Health care utilization. On what day of the child's diarrhea did you seek care t the sentinel hospital/health center. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,61,60,,,32. What day of diarrhea you sought care
diarrhea,DIARRHEA,diarrhea,,,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2",,,,,14,15,,variable not in HUAS codebook (CRF01 HUAS),
diarrhea_new,,diarrhea_new,,,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2",,,,,NA,74,,variable not in HUAS codebook (CRF01 HUAS),
drh_blood,DRH_BLOOD,drh_blood,Blood in stools,EUPATH_0015685,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Blood in stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,23,22,,response values 0 & 9 not in codebook,27. Symptom during illness-Blood
drh_days,DRH_DAYS,drh_days,Diarrheal episode duration (days),EUPATH_0010238,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,D28: Diarrhea history. How many days did the child have diarrhea. Only complete for children who had diarrhea in the last 2 weeks,,,,,,18,17,,,28. How many days child had diarrhea
drh_days_last,DRH_DAYS_LAST,drh_days_last,Diarrheal episode duration (days),EUPATH_0010238,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,"Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes""",,,,,,19,18,,,
drh_drink,DRH_DRINK,drh_drink,Unable to drink or drank poorly,EUPATH_0015688,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",,,,,22,21,,,
drh_fever,DRH_FEVER,drh_fever,Measured fever of at least 38C or parental perception,EUPATH_0015687,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Fever. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,21,20,,response values 0 & 9 not in codebook,27. Symptom during illness-Fever
drh_irritable,DRH_IRRITABLE,drh_irritable,Irritable/less playful,EUPATH_0015516,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",,,,,25,24,,,
drh_lethrgy,DRH_LETHRGY,drh_lethrgy,Decreased activity or lethargy,EUPATH_0015686,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Lethargy. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,26,25,,response values 0 & 9 not in codebook,27. Symptom during illness-Lethargy
drh_rice,DRH_RICE,drh_rice,Rice watery stool,EUPATH_0015513,"gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat",,,num,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Rice watery stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,,,,24,23,,response values 0 & 9 not in codebook,27. Symptom during illness-Rice watery
