"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI","is_featured","hidden"
"http://purl.obolibrary.org/obo/PCO_0000024","Household","1","","","","Household","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","","yes"
"http://purl.obolibrary.org/obo/OBI_0001627","Country","","site","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Household","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","3. Site.","1=The Gambia, 2=Mali, 3=Mozambique, 4=Kenya, 5=India, 6=Bangladesh, 7=Pakistan","variable","","","","",""
"http://purl.obolibrary.org/obo/GAZ_00000448","Geographic location","","","","","Household","Household","http://purl.obolibrary.org/obo/PCO_0000024","","","category","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000738","Observation","3","","","","Observation","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015670","Homemade fluid","1","trt_homefluid","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Diarrhea treament","http://purl.obolibrary.org/obo/EUPATH_0015669","","0, 1","value","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015671","Intravenous fluids","3","trt_iv","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Diarrhea treament","http://purl.obolibrary.org/obo/EUPATH_0015669","","0, 1","value","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015672","None prescribed or taken","4","trt_none","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Diarrhea treament","http://purl.obolibrary.org/obo/EUPATH_0015669","","0, 1","value","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015673","ORALITE or ORS","2","trt_ors","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Diarrhea treament","http://purl.obolibrary.org/obo/EUPATH_0015669","","0, 1","value","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010241","Amount offered to drink during diarrheal episode","5","offr_drink | offer_drink","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Diarrheal episodes","http://purl.obolibrary.org/obo/EUPATH_0010016","E39: Health care utilization. How much was the child offered to drink during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010177","Amount offered to eat during diarrheal episode","6","offer_eat | offr_eat","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Diarrheal episodes","http://purl.obolibrary.org/obo/EUPATH_0010016","E40: Health care utilization. How much was the child offered to eat during the diarrheal illness? . Only complete for children who had diarrhea in the last 2 weeks.","0=NOT IN CODEBOOK, 1=Usual, 2=More than usual, 3=Less than usual, NA=NA, 4=NOT IN CODEBOOK, 5=NOT IN CODEBOOK","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015519","Child days since diarrhea","","drh_days","","","Observation","Diarrheal episodes","http://purl.obolibrary.org/obo/EUPATH_0010016","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015507","Diarrhea in past 2 weeks","1","diarrhea","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Diarrheal episodes","http://purl.obolibrary.org/obo/EUPATH_0010016","","0, 1, 2","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010238","Diarrheal episode duration","4","drh_days_last","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Participant","Diarrheal episodes","http://purl.obolibrary.org/obo/EUPATH_0010016","Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes | D28: Diarrhea history. How many days did the child have diarrhea. Only complete for children who had diarrhea in the last 2 weeks","","variable","","days","http://purl.obolibrary.org/obo/UO_0000033","",""
"http://purl.obolibrary.org/obo/EUPATH_0010240","Max loose stools at episode count","3","max_stools","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Participant","Diarrheal episodes","http://purl.obolibrary.org/obo/EUPATH_0010016","D26: Diarrhea history. What is your best estimate of the maximum number of loose stools per day your child had during his/her diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=3-6 times per dy, 2=7-10 times per day, 3=More than 10 times per day, 4=Don't know, NA=NA","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015508","Moderate to severe diarrhea in past 2 weeks","2","mod_severe","gems1a_huas_lite_data_kenya.sas7bdat,","","Observation","Diarrheal episodes","http://purl.obolibrary.org/obo/EUPATH_0010016","D26.1: Diarrhea history. Moderate to severe diarrhea (drh_sunkeneyes=2 or dhr_wrnkskin=2 or hosptrt_intfld=1 or drh_blood=2 or admit=2). Only complete for children who had diarrhea in the last 2 weeks","1=Moderate to severe diarrhea, 2=Had diarrhea, not moderate to severe, 3=No diarrhea in the last 2 weeks, 99=Missing/error","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015708","Outcome of diarrheal illness","","outcome","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Diarrheal episodes","http://purl.obolibrary.org/obo/EUPATH_0010016","","0, 1, 2, 3, 4, 5","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010159","1st choice facility SHC","3","seek_ctr1_shc","gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Hospital Center","http://purl.obolibrary.org/obo/EUPATH_0010014","E31.12: Health care utilization.","0, 1","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010157","1st choice facility code","2","seek_ctr1_code","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Hospital Center","http://purl.obolibrary.org/obo/EUPATH_0010014","E31.12: Health care utilization.","402, 404, 405, 407, 408, 409, 410, 411, 438, 439, 446,","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010155","1st choice hospital or health center","1","seek_ctr1","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Hospital Center","http://purl.obolibrary.org/obo/EUPATH_0010014","E31.12: Health care utilization.","0, 1","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010165","2nd choice facility SHC","6","seek_ctr2_shc","gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Hospital Center","http://purl.obolibrary.org/obo/EUPATH_0010014","E31.12: Health care utilization.","1","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010163","2nd choice facility code","5","seek_ctr2_code","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Hospital Center","http://purl.obolibrary.org/obo/EUPATH_0010014","E31.12: Health care utilization.","101, 102, 202, 301, 303, 402, 405, 407, 408, 411, 501","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010161","2nd choice hospital or health center","4","seek_ctr2","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Hospital Center","http://purl.obolibrary.org/obo/EUPATH_0010014","E31.12: Health care utilization.","0, 1","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010171","3rd choice facility SHC","9","seek_ctr3_shc","gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Hospital Center","http://purl.obolibrary.org/obo/EUPATH_0010014","E31.12: Health care utilization.","1","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010169","3rd choice facility code","8","seek_ctr3_code","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Hospital Center","http://purl.obolibrary.org/obo/EUPATH_0010014","E31.12: Health care utilization.","303, 402","variable","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0010167","3rd choice hospital or health center","7","seek_ctr3","gems1a_huas_lite_data_kenya.sas7bdat, gems1a_huas_lite_data_6_sites.sas7bdat","","Observation","Hospital Center","http://purl.obolibrary.org/obo/EUPATH_0010014","E31.12: Health care utilization.","0, 1","variable","","","","",""
