Variable,Original variable name,Variable descriptions,ValueFormat
x1,record_id,Record ID,
x2,event_name,Event Name,"1, Baseline"
x3,Repeat Instrument,Repeat Instrument,
x4,Repeat Instance,Repeat Instance,
x5,Data Access Group,Data Access Group,
x6,Longitude,Longitude,
x7,Latitude,Latitude,
x8,record_create_date,Record create date,
x9,event_name,Event Name,"1, Baseline"
x10,cluster,Cluster,"1, Cluster 1 | 2, Cluster 3 | 3, Cluster 2"
x11,county,County,"1, County001 | 2, County003 | 3, County002 | 4, County008 | 5, County009 | 6, County010 | 7, County004 | 8, County006 | 9, County007 | 10, County005"
x12,fac_name,Facility Name,"101, <b style='color:blue'>********Cluster 1 Facilities*********</b> |1, Facility012 | 2, Facility026 | 3, Facility025 | 4, Facility071 | 5, Facility019 | 6, Facility062 | 7, Facility085 | 8, Facility070 | 9, Facility067 | 10, Facility054 | 11, Facility020 | 12, Facility066| 13, Facility060 | 14, Facility061 | 15, Facility065 | 16, Facility069 | 17, Facility053 | 72, Facility018 | 73, Facility009 | 102, <b style='color:blue'>********COUNTY 003 FACILITIES*********</b> | 18, Facility083 | 19, Facility082 | 20, Facility051 | 21, Facility086 | 22, Facility052 | 23, Facility089 | 24, Facility050 | 25, Facility087 | 69, Facility008 | 70, Facility006 | 71, Facility088 | 103, <b style='color:blue'>******** County002*********</b> | 26, Facility048 | 27, Facility047 | 28, Facility049 | 29, Facility001 | 30, Facility004 | 32, Facility002  | 35, Facility064 | 104, <b style='color:blue'>********County 008 Facilities*********</b> | 36, Facility003 | 37, Facility004 | 38, Facility042 | 39, Facility041 | 40, Facility078 | 74, Facility040 | 105, <b style='color:blue'>********COUNTY009 FACILITIES*********</b> | 41, Facility030 | 42, Facility034 | 43, Facility056 | 44, Facility014 | 45, Facility016 | 46, Facility033 | 47, Facility015 | 48, Facility036 | 49, Facility031| 75, Facility033| 76, Facility035 | 77, Facility029 | 78, Facility030 | 79, Facility031| 106, <b style='color:blue'>********COUNTY 010 FACILITIES*********</b> | 50, Facility059 | 51, Facility021 | 52, Facility058 | 53, Facility068 | 54, Facility032 | 107, <b style='color:blue'>********COUNTY004 FACILITIES*********</b> | 55, Facility080 | 56, Facility010 | 57, Facility011| 58, Facility022 | 59, Facility023 | 80, Facility045 | 81, Facility044 | 82, Facility057 | 83, Facility046 | 84, Facility043 | 108, <b style='color:blue'>********County006 FACILITIES*********</b> | 60, i | 61, Facility084 | 62, Facility013 | 63, Facility039 | 85, Facility072 | 86, Facility076 | 87, Facility075 | 88, Facility073 | 89, Facility074 | 109, <b style='color:blue'>********COUNTY007 FACILITIES*********</b> | 64, Facility024 | 65, Facility006 | 90, Facility063 | 91, Facility077 | 110, <b style='color:blue'>********County 005 FACILITIES*********</b> | 66, Facility028 | 67, Facility027 | 68, Facility081 | 92, Other facility not listed"
x13,other_fac,Other facility,
x14,interview_date,Enrollment Date/Date of Interview,
x15,ra_num,Research Assistant Number,
x16,,Complete?,
x17,follow_up_date,Follow-up Date/Date Follow-up Questionnaire completed,
x18,follow_up_q1a,a. Did the client return to the PrEP service delivery point as schedule for his/her follow-up appointment with the provider?,
x19,follow_up_q1b,b. Timing of follow-up visit,"1, 3 month (approximate) | 2, 6 month (approximate) | 3, 12 month (approximate) | 77, Other"
x20,other_timing,Other,
x21,follow_up_q1d,d. Where was the Follow-up Survey administered?,"1, At the service delivery point after the client failed to follow-up but was contacted and persuaded to return for the Follow-up Survey | 2, Over the telephone | 3, At the participant's home | 77, At another location requested by the participants"
x22,other_location,Other specify,
x23,,Complete?,
x24,age,1. What is your age at Last Birthday?,
x25,sex,2. What is your sex at birth (Biological) ?,"1, Male | 2, Female | 77, Other | 98, Don't Know | 99, Refused to answer"
x26,other_sex,"Other Sex, Specify",
x27,gender,3. How do you currently define your gender?,"1, Male | 2, Female | 3, Transgender Male | 4, Transgender Female | 5, Intersex | 77, Other | 98, Don't Know | 99, Refused to answer"
x28,gender_other,"Other Gender, Specify",
x29,,"4. How many people live in your household? By household, I mean the number of people who eat from the same pot.  ",
x30,education_level,5. What is the highest level of education that you completed?,"1, Primary | 2, Secondary | 3, Tertiary | 4, Didn't take | 98, Don't know | 99, Refused to answer"
x31,employ_status,6. I would like to ask you about your employment status.  Are you now PRIMARILY,"1, Regularly Employed full-time | 2, Regularly Employed Part-time | 3, Seasonally Employed | 4, Self Employed | 5, Unemployed/ Looking for Work | 6, A Student | 99, Refused to answer"
x32,gross_income,7. Approximately what is your gross monthly income?,
x33,marriage_status,8. Are you currently married or living together with a man/woman as married,"0, No | 1, Yes, Currently Married | 2, Yes, Living with a man/ woman | 99, Refused to Answer"
x34,partner_status,8a. What is the HIV status of your husband/wife or partner (the person to whom you are married or living with as married)?,"1, HIV negative | 2, HIV positive | 3, Unknown HIV status | 99, Refused to Answer"
x35,art_treatment,8b. Is your husband/wife or partner who is HIV-positive on treatment or ART for his/her HIV infection,"0, No | 1, Yes, s/he consistently takes ART | 2, Yes, s/he takes ART but inconsistently | 3, Yes, but consistency of ART use is unknown | 4, Unknown | 99, Refused to answer"
x36,viral_suppression,8c. Is your husband/wife or partner virally suppressed?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to Answer"
x37,partner_reside,9. Is your husband/wife or partner living with you now or is he/she staying elsewhere?,"1, Living with Me | 2, Living Elsewhere | 99, Refused to Answer"
x38,children,10. Do you have children (either biological or adopted)?,"0, No | 1, Yes | 99, Refused to Answer"
x39,no_children,11. How many children do you have?,
x40,dependent_children,12. How many of these children depend upon you financially?,
x41,pregnant,13. Are you currently pregnant?,"0, No | 1, Yes | 98, Don't Know | 99, Refused to answer"
