IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceTostring,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/EUPATH_0054343,HIV/AIDS and STIs,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000577,Radio,jilindequestionnaire_data_2022-01-10_16241::x34,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,b. Do you have a radio?,"1, Yes | 0, No | 98, Don't Know",value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000579,Television,jilindequestionnaire_data_2022-01-10_16241::x35,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,c. Do you have a Television?,"1, Yes | 0, No | 98, Don't Know",value,,,,Jilinde_awareness_survey,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),jilindequestionnaire_data_2022-01-10_16241::x36,jilindequestionnaire_data_2022-01-10_16241,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,d. Do you have a telephone/cell phone?,"1, Yes | 0, No | 98, Don't Know",value,,,,Jilinde_awareness_survey,,,,,,,,,,
