colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceTostring,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
2,jilindequestionnaire_data_2022-01-10_16241::x2,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/EUPATH_0053030,Consent language,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consenting_language,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
3,jilindequestionnaire_data_2022-01-10_16241::x3,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consent_given,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
4,jilindequestionnaire_data_2022-01-10_16241::x4,jilindequestionnaire_data_2022-01-10_16241,,Consent date,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consent_date,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
5,jilindequestionnaire_data_2022-01-10_16241::x5,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/EUPATH_0051787,Reason not consented,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,reasonfor_notconsenting,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
6,jilindequestionnaire_data_2022-01-10_16241::x6,jilindequestionnaire_data_2022-01-10_16241,,Consent completed,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consent_complete,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
7,jilindequestionnaire_data_2022-01-10_16241::x7,jilindequestionnaire_data_2022-01-10_16241,,Record date,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,record_date,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
8,jilindequestionnaire_data_2022-01-10_16241::x8,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/EUPATH_0051287,County in Kenya,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,county,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
9,jilindequestionnaire_data_2022-01-10_16241::x9,jilindequestionnaire_data_2022-01-10_16241, ,Residence status by time living,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,residence,"1, Months | 2, Years | 3, Visitor",variable,,,,,Jilinde_awareness_survey,,,,,,,,,
25,jilindequestionnaire_data_2022-01-10_16241::x25,jilindequestionnaire_data_2022-01-10_16241,,Time living type,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,8. How long have you been living here in [estate] continuously? (NAME OF CURRENT PLACE OF RESIDENCE) ,"1, Months | 2, Years | 3, Visitor",variable,,,,,Jilinde_awareness_survey,,,,,,,,,
10,jilindequestionnaire_data_2022-01-10_16241::x10,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/EUPATH_0015683,Interview date,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,interview_date,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
11,jilindequestionnaire_data_2022-01-10_16241::x11,jilindequestionnaire_data_2022-01-10_16241,,Interview starting time,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,start_time,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
12,jilindequestionnaire_data_2022-01-10_16241::x12,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/EUPATH_0053070,Interview language,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,language,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
13,jilindequestionnaire_data_2022-01-10_16241::x13,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,1. What was your sex at birth?,"1, Male | 2, Female",variable,,,,,Jilinde_awareness_survey,,,,,,,,,
14,jilindequestionnaire_data_2022-01-10_16241::x14,jilindequestionnaire_data_2022-01-10_16241,,Whether know birth month and year,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,2. Do you know the month and year that you were born?,"1, Yes | 0, No | 98, Don't know",variable,,,,,Jilinde_awareness_survey,,,,,,,,,
15,jilindequestionnaire_data_2022-01-10_16241::x15,jilindequestionnaire_data_2022-01-10_16241,,Month of birth,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,2a. Month of birth,,variable,,,yes,,Jilinde_awareness_survey,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
16,jilindequestionnaire_data_2022-01-10_16241::x16,jilindequestionnaire_data_2022-01-10_16241,,Year of birth,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,2b. Year of birth,,variable,,,yes,,Jilinde_awareness_survey,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
17,jilindequestionnaire_data_2022-01-10_16241::x17,jilindequestionnaire_data_2022-01-10_16241,,Age at last birthday,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,2c. How old were you at your last birthday?    (COMPARE AND CORRECT IF INCONSISTENT),,variable,,,yes,,Jilinde_awareness_survey,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
18,jilindequestionnaire_data_2022-01-10_16241::x18,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/OBI_0001169,Age,,Participant,,,2d. Age in completed years,,variable,,,,,Jilinde_awareness_survey,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
19,jilindequestionnaire_data_2022-01-10_16241::x19,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,3. What is the highest level of education you completed?,"1, None | 2, Nursery/kindergarten | 3, Primary | 4, Secondary | 5, Tertiary/Vocational | 6, College/University | 7, Adult education | 96, Other",variable,,,,,Jilinde_awareness_survey,,,,,,,,,
20,jilindequestionnaire_data_2022-01-10_16241::x20,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other specify,,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
21,jilindequestionnaire_data_2022-01-10_16241::x21,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,,Participant,,,4. What is your current marital status?,"1, Single/Not married | 2, Married | 3, Cohabiting | 4, Divorced | 5, Separated | 6, Widowed | 7, In a relationship",variable,,,,,Jilinde_awareness_survey,,,,,,,,,
22,jilindequestionnaire_data_2022-01-10_16241::x22,jilindequestionnaire_data_2022-01-10_16241,http://purl.obolibrary.org/obo/EUPATH_0054162,Live together with spouse or partner,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,"5. Is your regular partner currently living with you now, or does s/he stay elsewhere?",,variable,,,,,Jilinde_awareness_survey,,,,,,,,,
