colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
23,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,lab_hbx,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,"Hemoglobin (Hb), unit: (g/dL)",,,,,,,,SSA ICEMR Index,,g/dL,http://purl.obolibrary.org/obo/UO_0000208,,,,,,,
30,http://purl.obolibrary.org/obo/EUPATH_0000546,"Plasmodium falciparum gametocytes, by microscopy result",ms_pfgd,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. falciparum Gametocyte Density,,,,,,,,SSA ICEMR Index,,,,,,,,,,
32,http://purl.obolibrary.org/obo/EUPATH_0000547,"Plasmodium vivax gametocytes, by microscopy result",ms_pvgd,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. vivax Gametocyte Density,,,,,,,,SSA ICEMR Index,,,,,,,,,,
29,http://purl.obolibrary.org/obo/EUPATH_0000550,"Plasmodium falciparum asexual stages, by microscopy result",ms_pfad,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. falciparum Asexual Density,,,,,,,,SSA ICEMR Index,,,,,,,,,,
31,http://purl.obolibrary.org/obo/EUPATH_0000551,"Plasmodium vivax asexual stages, by microscopy result",ms_pvad,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. vivax Asexual Density,,,,,,,,SSA ICEMR Index,,,,,,,,,,
3,http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,h1_sdat,,icemr_index_20230307,Survey date,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Survey Date,,,,,,,,SSA ICEMR Index,,,,,,,,,,
27,http://purl.obolibrary.org/obo/EUPATH_0021031,Microscopy performed,mscopy,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,Has this microscopy examination been done?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
39,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,vs_samp_smr,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,What types of blood samples or measurements have been collected from this person?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
4,http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,h1_site,,icemr_index_20230307,Study Site,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic locationhttp://purl.obolibrary.org/obo/EUPATH_0021094,Study Site,"ET_AD=Ethiopia - Arjo-Dedessa, ET_GB=Ethiopia - Gambella, KE_HB=Kenya - Homa Bay (Kendu Bay), KE_KS=Kenya - Chulaimbo (Kisumu County), OTHER=Other Study Site",,,,,,,SSA ICEMR Index,,,,,,,,,,
6,http://purl.obolibrary.org/obo/EUPATH_0021100,Other health facility name,h1_clin99,,icemr_index_20230307,,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,Other Clinic/Health Facility Name,,,,,,,,SSA ICEMR Index,,,,,,,,,,
26,http://purl.obolibrary.org/obo/EUPATH_0021306,"Plasmodium species, by RDT",rdt_spc,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,"If the RDT result is positive, please specify the parasite species",,,,,,,,SSA ICEMR Index,,,,,,,,,,
24,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",rdt_rst,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,What is the Malaria Rapid Diagnostic Test (RDT) Result,,,,,,,,SSA ICEMR Index,,,,,,,,,,
28,http://purl.obolibrary.org/obo/EUPATH_0025095,Microscopy analysis date,mr_mdat,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/EUPATH_0021130,Blood eukaryote testing,Microscopy Examination Date,,,,,,,,SSA ICEMR Index,,,,,,,,,,
20,http://purl.obolibrary.org/obo/EUPATH_0033146,Blood sample collected,vs_bdsm,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/EUPATH_0011482,Blood sample collection process,Has any type of blood samples been collected from this person?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
16,http://purl.obolibrary.org/obo/EUPATH_0040021,Antimalarial prescribed,h2_cqpq,,icemr_index_20230307,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Has the PQ drug/treatment given by Clinic?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
42,http://purl.obolibrary.org/obo/EUPATH_0041080,Venipuncture blood sample,vs_samp_ven,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,What types of blood samples or measurements have been collected from this person?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
17,http://purl.obolibrary.org/obo/EUPATH_0041092,Completed antimalarial treatment course,h2_finh,,icemr_index_20230307,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Does the patient finish the PQ dose on schedule?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
5,http://purl.obolibrary.org/obo/EUPATH_0050586,Health facility name,h1_clin,,icemr_index_20230307,"If resident was sick in past two days, which health facility were they referred to for treatment?",Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,Clinic/Health Facility,,,,,,,,SSA ICEMR Index,,,,,,,,,,
37,http://purl.obolibrary.org/obo/EUPATH_0053041,Dried blood spot collected,vs_samp_dbs,,icemr_index_20230307,,Sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,What types of blood samples or measurements have been collected from this person?,,,,,,,,SSA ICEMR Index,,,,,,,,,,
