colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
3,h1_sdat,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,Survey date,Participant,,,Survey Date,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,10/10/19,date?,%Y-%m-%d,>10 unique values,398,0,,H1_SDAT,icemr_index_20230307::h1_sdat
4,h1_site,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,Study Site,Household,,,Study Site,"ET_AD=Ethiopia - Arjo-Dedessa, ET_GB=Ethiopia - Gambella, KE_HB=Kenya - Homa Bay (Kendu Bay), KE_KS=Kenya - Chulaimbo (Kisumu County), OTHER=Other Study Site",,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,ET_AD,,,ET_AD,1,0,,H1_SITE,icemr_index_20230307::h1_site
5,h1_clin,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0050586,Health facility name,"If resident was sick in past two days, which health facility were they referred to for treatment?",Participant,,,Clinic/Health Facility,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,AD_ADP,,,"AD_ADP, AD_CO2, AD_CO5, AD_HGP, AD_KEK, AD_SFC, AD_SFT, OTHER",8,0,,H1_CLIN,icemr_index_20230307::h1_clin
6,h1_clin99,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0021100,Other health facility name,,Participant,,,Other Clinic/Health Facility Name,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,During RCD,,,"During RCD, RCD, RCF, NA",3,0.720459149,,H1_CLIN99,icemr_index_20230307::h1_clin99
10,s2_agex,icemr_index_20230307,http://purl.obolibrary.org/obo/OBI_0001169,Age,The resident's age in years,Participant,,,The resident's age in years,,,,,,,,,SSA ICEMR Index,years,,,,,,,,,int,17,,,1 to 50,39,0,,S2_AGEX,icemr_index_20230307::s2_agex
11,s2_sexx,icemr_index_20230307,http://purl.obolibrary.org/obo/PATO_0000047,Sex,Gender of the study subject/patient,Participant,,,Gender of the study subject/patient,"M=Male, F=Female",,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,M,,,"F, M",2,0,,S2_SEXX,icemr_index_20230307::s2_sexx
13,h2_vill,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0063401,Cluster name,Cluster of household location,Household,,,Cluster of household location,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,AD2,,,"AD1, AD2, CO2, CO5, HG1, HNG, KER, OTHER, SFT",9,0,,H2_VILL,icemr_index_20230307::h2_vill
14,h2_vill99,icemr_index_20230307,,Other cluster name,,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Other Cluster Name,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,Dabohana,,,>10 unique values,39,0.35381499,,H2_VILL99,icemr_index_20230307::h2_vill99
15,h2_schd,icemr_index_20230307,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,Participant,,,Enrollment or Follow-Up schedule,"0=Day 0 - Enrollment, 1= Bi-weekly Visit, 2=Monthly Visit, 3=Day 3 - Usage Check-up, 7=Day 7 - Usage Check-up, 4= Day 14 - Usage Check-up, 5= Day 42 - G6PD (Index Case), 6=Re-Infection",,,,,,,,SSA ICEMR Index,,,,,,,,,,int,0,,,0 to 6,5,0,,H2_SCHD,icemr_index_20230307::h2_schd
16,h2_cqpq,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0040021,Antimalarial prescribed,,Participant,,,Has the PQ drug/treatment given by Clinic?,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,N,,,"N, Y, NA",2,0.864280891,,H2_CQPQ,icemr_index_20230307::h2_cqpq
17,h2_finh,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0041092,Completed antimalarial treatment course,,Participant,,,Does the patient finish the PQ dose on schedule?,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,Y,,,"N, Y, NA",2,0.910195814,,H2_FINH,icemr_index_20230307::h2_finh
18,h2_douf,icemr_index_20230307,,Days of antimalarial treatment left,,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,"If not finished the PQ drug/dose on schedule, how many days of dose are left?",,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,7,,,6 to 10,3,0.995948683,,H2_DOUF,icemr_index_20230307::h2_douf
20,vs_bdsm,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0033146,Blood sample collected,,,,,Has any type of blood samples been collected from this person?,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,Y,,,"N, Y",2,0,,VS_BDSM,icemr_index_20230307::vs_bdsm
23,lab_hbx,icemr_index_20230307,http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,,,,,"Hemoglobin (Hb), unit: (g/dL)",,,,,,,,,SSA ICEMR Index,g/dL,,,,,,,,,dbl,11.2,,,2.4 to 20,96,0.74341661,,LAB_HBX,icemr_index_20230307::lab_hbx
24,rdt_rst,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",,,,,What is the Malaria Rapid Diagnostic Test (RDT) Result,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,P,,,"N, P, X, NA",3,0.020256583,,RDT_RST,icemr_index_20230307::rdt_rst
25,rdt_kit,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0064251,RDT type,,,,,"If did the RDT, please specify which RDT kit used",,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,CareSTART,,,"CareSTART, NA",1,0.019581364,,RDT_KIT,icemr_index_20230307::rdt_kit
26,rdt_spc,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0021306,"Plasmodium species, by RDT",,,,,"If the RDT result is positive, please specify the parasite species",,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,2,,,0 to 2,3,0.726536124,,RDT_SPC,icemr_index_20230307::rdt_spc
27,mscopy,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0021031,Microscopy performed,,,,,Has this microscopy examination been done?,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,Y,,,"N, Y",2,0,,MSCOPY,icemr_index_20230307::mscopy
28,mr_mdat,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0025095,Microscopy analysis date,,,,,Microscopy Examination Date,,,,,,,,,SSA ICEMR Index,,,,,,,,,,chr,10/17/19,date?,%Y-%m-%d,>10 unique values,75,0.913571911,,MR_MDAT,icemr_index_20230307::mr_mdat
22,lab_g6_p,icemr_index_20230307,,Glucose-6-phosphate dehydrogenase,,,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,"G6PD, Glucose-6-phosphate dehydrogenase, unit: (IU/g Hb)",,,,,,,,,SSA ICEMR Index,IU/g Hb,,,,,,,,,dbl,9.1,,,0.1 to 159.3,107,0.911546253,,LAB_G6_P,icemr_index_20230307::lab_g6_p
29,ms_pfad,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0000550,"Plasmodium falciparum asexual stages, by microscopy result",,,,,P. falciparum Asexual Density,,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,0,,,0 to 240,2,0.935854153,,MS_PFAD,icemr_index_20230307::ms_pfad
30,ms_pfgd,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0000546,"Plasmodium falciparum gametocytes, by microscopy result",,,,,P. falciparum Gametocyte Density,,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,0,,,0 to 80,4,0.935854153,,MS_PFGD,icemr_index_20230307::ms_pfgd
31,ms_pvad,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0000551,"Plasmodium vivax asexual stages, by microscopy result",,,,,P. vivax Asexual Density,,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,9665,,,0 to 70593,31,0.935854153,,MS_PVAD,icemr_index_20230307::ms_pvad
32,ms_pvgd,icemr_index_20230307,http://purl.obolibrary.org/obo/EUPATH_0000547,"Plasmodium vivax gametocytes, by microscopy result",,,,,P. vivax Gametocyte Density,,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,325,,,0 to 9051,19,0.935854153,,MS_PVGD,icemr_index_20230307::ms_pvgd
33,ms_pmad,icemr_index_20230307,,"Plasmodium malariae asexual stages, by microscopy result",,,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. malariae Asexual Density,,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,0,,,0 to 0,1,0.936529372,,MS_PMAD,icemr_index_20230307::ms_pmad
34,ms_pmgd,icemr_index_20230307,,"Plasmodium malariae gametocytes, by microscopy result",,,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. malariae Gametocyte Density,,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,0,,,0 to 0,1,0.937204591,,MS_PMGD,icemr_index_20230307::ms_pmgd
35,ms_poad,icemr_index_20230307,,"Plasmodium ovale asexual stages, by microscopy result",,,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. ovale Asexual Density,,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,0,,,0 to 0,1,0.937204591,,MS_POAD,icemr_index_20230307::ms_poad
36,ms_pogd,icemr_index_20230307,,"Plasmodium ovale gametocytes, by microscopy result",,,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,P. ovale Gametocyte Density,,,,,,,,,SSA ICEMR Index,,,,,,,,,,int,0,,,0 to 0,1,0.937204591,,MS_POGD,icemr_index_20230307::ms_pogd
