variable	variable	values	mappedTerm
adeno_4041	EUPATH_0015288	0	No
adeno_4041	EUPATH_0015288	1	Yes
aepec	EUPATH_0015397	0	No
aepec	EUPATH_0015397	1	Yes
agegroup	EUPATH_0010367	1	0-11 months
agegroup	EUPATH_0010367	2	12-23 months
agegroup	EUPATH_0010367	3	24-59 months
agegroup_fine	EUPATH_0010367	1	0-2 months
agegroup_fine	EUPATH_0010367	2	3-5 months
agegroup_fine	EUPATH_0010367	3	6-8 months
agegroup_fine	EUPATH_0010367	4	9-11 months
agegroup_fine	EUPATH_0010367	5	12-23 months
agegroup_fine	EUPATH_0010367	6	24-59 months
base_baz_flag	EUPATH_0031206	0	No
base_baz_flag	EUPATH_0031206	1	Yes
base_bazr_flag	EUPATH_0031206	0	No
base_bazr_flag	EUPATH_0031206	1	Yes
base_haz_flag	EUPATH_0031227	0	No
base_haz_flag	EUPATH_0031227	1	Yes
base_hazr_flag	EUPATH_0031227	0	No
base_hazr_flag	EUPATH_0031227	1	Yes
base_malnut	EUPATH_0031200	0	None
base_malnut	EUPATH_0031200	1	Mild
base_malnut	EUPATH_0031200	2	Moderate
base_malnut_comb	EUPATH_0031200	0	None
base_malnut_comb	EUPATH_0031200	1	Mild
base_malnut_comb	EUPATH_0031200	2	Moderate
base_muaz_flag	EUPATH_0031244	0	No
base_muaz_flag	EUPATH_0031244	1	Yes
base_muazr_flag	EUPATH_0031244	0	No
base_muazr_flag	EUPATH_0031244	1	Yes
base_stunting	EUPATH_0031112	0	None
base_stunting	EUPATH_0031112	1	Mild
base_stunting	EUPATH_0031112	2	Moderate
base_stunting	EUPATH_0031112	3	
base_wasting	EUPATH_0031117	0	None
base_wasting	EUPATH_0031117	1	Mild 
base_wasting	EUPATH_0031117	2	Moderate
base_wasting	EUPATH_0031117	3	Severe
base_wasting_comb	EUPATH_0031117	0	None
base_wasting_comb	EUPATH_0031117	1	Mild 
base_wasting_comb	EUPATH_0031117	2	Moderate
base_wasting_comb	EUPATH_0031117	3	Severe
base_waz_flag	EUPATH_0031290	0	No
base_waz_flag	EUPATH_0031290	1	Yes
base_wazr_flag	EUPATH_0031290	0	No
base_wazr_flag	EUPATH_0031290	1	Yes
base_whz_flag	EUPATH_0031292	0	No
base_whz_flag	EUPATH_0031292	1	Yes
base_whzr_flag	EUPATH_0031292	0	No
base_whzr_flag	EUPATH_0031292	1	Yes
campy_any	EUPATH_0015300	0	No
campy_any	EUPATH_0015300	1	Yes
death_ind	EUPATH_0031197	0	No
death_ind	EUPATH_0031197	1	Yes
drh_syn	EUPATH_0031199	1	Acute water
drh_syn	EUPATH_0031199	2	Acute dysentary
drh_syn	EUPATH_0031199	3	Persistent watery
drh_syn	EUPATH_0031199	4	Persistent dysentary
dys_ind	EUPATH_0015422	0	No
dys_ind	EUPATH_0015422	1	Yes
eaec	EUPATH_0015389	0	No
eaec	EUPATH_0015389	1	Yes
ecoli_aaic	EUPATH_0031081	0	No
ecoli_aaic	EUPATH_0031081	1	Yes
ecoli_aata	EUPATH_0031082	0	No
ecoli_aata	EUPATH_0031082	1	Yes
ecoli_eae	EUPATH_0031083	0	No
ecoli_eae	EUPATH_0031083	1	Yes
ecoli_lt	EUPATH_0031084	0	No
ecoli_lt	EUPATH_0031084	1	Yes
ecoli_stx	EUPATH_0031085	0	No
ecoli_stx	EUPATH_0031085	1	Yes
ehec	EUPATH_0031080	0	No
ehec	EUPATH_0031080	1	Yes
end_baz_flag	EUPATH_0031207	0	No
end_baz_flag	EUPATH_0031207	1	Yes
end_haz_flag	EUPATH_0031226	0	No
end_haz_flag	EUPATH_0031226	1	Yes
end_malnut	EUPATH_0031243	0	No
end_malnut	EUPATH_0031243	0	No acute malnutrition
end_malnut	EUPATH_0031243	1	Mild/moderate malnutrition
end_malnut	EUPATH_0031243	2	Severe malnutrition
end_muaz_flag	EUPATH_0031245	0	No
end_muaz_flag	EUPATH_0031245	1	Yes
end_stunting	EUPATH_0031112	0	No
end_stunting	EUPATH_0031112	1	Mild 
end_stunting	EUPATH_0031112	2	Moderate
end_stunting	EUPATH_0031112	3	Severe
end_wasting	EUPATH_0031117	0	No
end_wasting	EUPATH_0031117	1	Mild 
end_wasting	EUPATH_0031117	2	Moderate
end_wasting	EUPATH_0031117	3	Severe
end_waz_flag	EUPATH_0031291	0	No
end_waz_flag	EUPATH_0031291	1	Yes
end_whz_flag	EUPATH_0031293	0	No
end_whz_flag	EUPATH_0031293	1	Yes
etec_all	EUPATH_0010711	0	No
etec_all	EUPATH_0010711	1	Yes
