colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceTostring,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
2,jilindehealthcarepro_data_2021-12-15_0958::x2,jilindehealthcarepro_data_2021-12-15_0958,http://purl.obolibrary.org/obo/OBI_0001508,Study timepoint,,Participant,,,Event Name,,variable,,yes,yes,,Jilinde_healthprovider_cohort,,,yes,,,,,,
3,jilindehealthcarepro_data_2021-12-15_0958::x3,jilindehealthcarepro_data_2021-12-15_0958,http://purl.obolibrary.org/obo/EUPATH_0054270,Repeat instrument,,Participant,,,Repeat Instrument,,variable,,yes,,,Jilinde_healthprovider_cohort,,,,,,,,,
4,jilindehealthcarepro_data_2021-12-15_0958::x4,jilindehealthcarepro_data_2021-12-15_0958,http://purl.obolibrary.org/obo/EUPATH_0054269,Repeat instance,,Participant,,,Repeat Instance,,variable,,yes,,,Jilinde_healthprovider_cohort,,,,,,,,,
5,jilindehealthcarepro_data_2021-12-15_0958::x5,jilindehealthcarepro_data_2021-12-15_0958,,,,Participant,,,Record create date,,variable,,yes,,,Jilinde_healthprovider_cohort,,,,,,,,,
6,jilindehealthcarepro_data_2021-12-15_0958::x6,jilindehealthcarepro_data_2021-12-15_0958,http://purl.obolibrary.org/obo/EUPATH_0031056,Cluster number,,Participant,,,Cluster,,variable,,yes,,,Jilinde_healthprovider_cohort,,,,,,,,,
7,jilindehealthcarepro_data_2021-12-15_0958::x7,jilindehealthcarepro_data_2021-12-15_0958,http://purl.obolibrary.org/obo/EUPATH_0051287,County in Kenya,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,County,,variable,,yes,,,Jilinde_healthprovider_cohort,,,,,,,,,
8,jilindehealthcarepro_data_2021-12-15_0958::x8,jilindehealthcarepro_data_2021-12-15_0958,,,,Participant,,,Facility Name,,variable,,yes,,,Jilinde_healthprovider_cohort,,,,,,,,,
9,jilindehealthcarepro_data_2021-12-15_0958::x9,jilindehealthcarepro_data_2021-12-15_0958,,Date of completion,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Date of Completion:,,variable,,yes,,,Jilinde_healthprovider_cohort,,,,,,,,,
10,jilindehealthcarepro_data_2021-12-15_0958::x10,jilindehealthcarepro_data_2021-12-15_0958,,Age at last birthday,,Participant,,,What is your age since your last birthday,,variable,,yes,,,Jilinde_healthprovider_cohort,,,yes,,,,,,
11,jilindehealthcarepro_data_2021-12-15_0958::x11,jilindehealthcarepro_data_2021-12-15_0958,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,What is your gender?,"1, Male | 2, Female | 77, Other",variable,,,,,Jilinde_healthprovider_cohort,,,,,,,,,
12,jilindehealthcarepro_data_2021-12-15_0958::x12,jilindehealthcarepro_data_2021-12-15_0958,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,"Other Gender, Specify",,variable,,,,,Jilinde_healthprovider_cohort,,,,,,,,,
13,jilindehealthcarepro_data_2021-12-15_0958::x13,jilindehealthcarepro_data_2021-12-15_0958,http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,,Participant,,,What is your marital Status?,"1, Single / Never Married | 2, Married/ In Union | 3, Living Together | 4, Widowed, Separated, Divorced",variable,,yes,,,Jilinde_healthprovider_cohort,,,,,,,,,
