colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
2,studyid,nectar4_181023_cedb,discard,,,StudyCode numeric,%10.0g,,,,NA,nectar4_181023_cedb::studyid,NECTAR3,studyid,int,1,NA,NA,1 to 100,100,0,NA
3,study,nectar4_181023_cedb,discard,,,NA,%9s,,,,NA,nectar4_181023_cedb::study,NECTAR3,study,chr,NECTAR4,NA,NA,NECTAR4,1,0,NA
4,studyvisit_num,nectar4_181023_cedb,keep,,,Days after treatment start,%10.0g,,,,NA,nectar4_181023_cedb::studyvisit_num,NECTAR3,studyvisit_num,int,0,NA,NA,0 to 28,7,0,NA
5,enrol_month_year,nectar4_181023_cedb,keep,,,Month/year of enrolment,%9s,,,,NA,nectar4_181023_cedb::enrol_month_year,NECTAR3,enrol_month_year,chr,Oct-22,date?,NA,"10/2022, 11/2022, 12/2022",3,0,NA
6,month,nectar4_181023_cedb,keep,,,NA,%9.0g,,,,NA,nectar4_181023_cedb::month,NECTAR3,month,int,10,NA,NA,10 to 12,3,0,NA
7,year,nectar4_181023_cedb,keep,,,NA,%9.0g,,,,NA,nectar4_181023_cedb::year,NECTAR3,year,int,2022,NA,NA,2022 to 2022,1,0,NA
8,trt_arm,nectar4_181023_cedb,discard,,,"Treatment arm numeric (1=AL, 2=AL-PQ, 3=SPAW, 4=SPAQ-TQ)",%9.0g,,,,NA,nectar4_181023_cedb::trt_arm,NECTAR3,trt_arm,int,1,NA,NA,1 to 5,5,0,NA
9,arm,nectar4_181023_cedb,keep,,,Treatment arm,%9s,,,,NA,nectar4_181023_cedb::arm,NECTAR3,arm,chr,AL,NA,NA,"AL, ALAQ, ALAQ + PQ, ASAQ, ASAQ + PQ",5,0,NA
10,age_cat,nectar4_181023_cedb,keep,,,Age categories (5 years),%9.0g,,,,age_cat1,nectar4_181023_cedb::age_cat,NECTAR3,age_cat,int,3,NA,NA,2 to 10,9,0,NA
11,sex_bin,nectar4_181023_cedb,keep,,,"Sex binary (Female = 0, Male =1)",%9.0g,,,,NA,nectar4_181023_cedb::sex_bin,NECTAR3,sex_bin,int,1,NA,NA,0 to 1,2,0,NA
12,weight,nectar4_181023_cedb,keep,,,Weight in kg,%10.0g,,,,NA,nectar4_181023_cedb::weight,NECTAR3,weight,int,33,NA,NA,22 to 78,46,0,NA
13,hbrsult,nectar4_181023_cedb,keep,,,hbrsult,%10.0g,,,,NA,nectar4_181023_cedb::hbrsult,NECTAR3,hbrsult,int,13,NA,NA,9 to 16,8,0,NA
14,temp,nectar4_181023_cedb,keep,,,Temperature in celsius,%10.0g,,,,NA,nectar4_181023_cedb::temp,NECTAR3,temp,int,36,NA,NA,36 to 38,3,0,NA
15,mic_pf_asc_ul,nectar4_181023_cedb,keep,,,Microscopy Pf asexuals per uL,%9.0g,,,,NA,nectar4_181023_cedb::mic_pf_asc_ul,NECTAR3,mic_pf_asc_ul,int,0,NA,NA,0 to 33132,37,0.146627566,NA
16,mic_pf_gct_ul,nectar4_181023_cedb,keep,,,Microscopy Pf gametocytes per uL,%9.0g,,,,NA,nectar4_181023_cedb::mic_pf_gct_ul,NECTAR3,mic_pf_gct_ul,int,185,NA,NA,0 to 2241,83,0.146627566,NA
17,mic_pf_pos,nectar4_181023_cedb,keep,,,Microscopy positivity Pf,%9.0g,,,,NA,nectar4_181023_cedb::mic_pf_pos,NECTAR3,mic_pf_pos,int,1,NA,NA,0 to 1,2,0.146627566,NA
18,qrtpcr_gct_ul,nectar4_181023_cedb,keep,,,qRTPCR total gametocytes per uL,%9.0g,,,,NA,nectar4_181023_cedb::qrtpcr_gct_ul,NECTAR3,qrtpcr_gct_ul,int,64,NA,NA,0 to 3115,118,0.146627566,NA
19,qrtpcr_malgct_ul,nectar4_181023_cedb,keep,,,qRTPCR male gametocytes per uL,%9.0g,,,,NA,nectar4_181023_cedb::qrtpcr_malgct_ul,NECTAR3,qrtpcr_malgct_ul,int,47,NA,NA,0 to 1824,94,0.146627566,NA
20,qrtpcr_femgct_ul,nectar4_181023_cedb,keep,,,qRTPCR female gametocytes per uL,%9.0g,,,,NA,nectar4_181023_cedb::qrtpcr_femgct_ul,NECTAR3,qrtpcr_femgct_ul,int,17,NA,NA,0 to 1291,79,0.146627566,NA
21,mosq_total,nectar4_181023_cedb,keep,,,Mosquitoes dissected,%9.0g,,,,NA,nectar4_181023_cedb::mosq_total,NECTAR3,mosq_total,int,75,NA,NA,29 to 75,41,0.41202346,NA
22,mosq_pos,nectar4_181023_cedb,keep,,,Mosquitoes positive for oocysts,%9.0g,,,,NA,nectar4_181023_cedb::mosq_pos,NECTAR3,mosq_pos,int,17,NA,NA,0 to 52,28,0.41202346,NA
23,mean_ooc_all,nectar4_181023_cedb,keep,,,Mean oocysts accross all dissected mosquitoes,%9.0g,,,,NA,nectar4_181023_cedb::mean_ooc_all,NECTAR3,mean_ooc_all,int,1,NA,NA,0 to 41,12,0.41202346,NA
24,mean_ooc_pos,nectar4_181023_cedb,keep,,,Mean oocysts accross all infected mosquitoes,%9.0g,,,,NA,nectar4_181023_cedb::mean_ooc_pos,NECTAR3,mean_ooc_pos,int,5,NA,NA,1 to 53,14,0.865102639,NA
1,x...studyid_str,nectar4_181023_cedb,discard,,,NA,NA,,,,NA,nectar4_181023_cedb::x...studyid_str,NECTAR3,X...studyid_str,chr,NEC-04-001,NA,NA,>10 unique values,100,0,NA
