"label","IRI","parentLabel","parentIRI"
"Adenovirus, by ELISA","http://purl.obolibrary.org/obo/EUPATH_0010599","Adenovirus in stool","http://purl.obolibrary.org/obo/EUPATH_0011964"
"Aeromonas, by bacteriology","http://purl.obolibrary.org/obo/EUPATH_0010603","Aeromonas in stool","http://purl.obolibrary.org/obo/EUPATH_0011965"
"Hookworm, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010734","Ancylostomatoidea in stool","http://purl.obolibrary.org/obo/EUPATH_0030118"
"Ascaris lumbricoides, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010607","Ascaris in stool","http://purl.obolibrary.org/obo/EUPATH_0030119"
"Astrovirus, by ELISA","http://purl.obolibrary.org/obo/EUPATH_0010611","Astrovirus in stool","http://purl.obolibrary.org/obo/EUPATH_0011985"
"Balantidium coli, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010623","Balantidium in stool","http://purl.obolibrary.org/obo/EUPATH_0011968"
"Campylobacter, by ELISA","http://purl.obolibrary.org/obo/EUPATH_0010999","Campylobacter in stool","http://purl.obolibrary.org/obo/EUPATH_0011969"
"Chilomastix mesnili, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010643","Chilomastix in stool","http://purl.obolibrary.org/obo/EUPATH_0011970"
"Cryptosporidium, by ELISA","http://purl.obolibrary.org/obo/EUPATH_0011000","Cryptosporidium in stool","http://purl.obolibrary.org/obo/EUPATH_0011971"
"Cyclospora, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010651","Cyclospora in stool","http://purl.obolibrary.org/obo/EUPATH_0011972"
"Endolimax nana, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010703","Endolimax in stool","http://purl.obolibrary.org/obo/EUPATH_0011973"
"Entamoeba coli, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010754","Entamoeba in stool","http://purl.obolibrary.org/obo/EUPATH_0011974"
"Entamoeba histolytica, by ELISA","http://purl.obolibrary.org/obo/EUPATH_0010695","Entamoeba in stool","http://purl.obolibrary.org/obo/EUPATH_0011974"
"Enterobius vermicularis, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010715","Enterobius in stool","http://purl.obolibrary.org/obo/EUPATH_0011975"
"Atypical EPEC, by PCR","http://purl.obolibrary.org/obo/EUPATH_0010619","Escherichia in stool","http://purl.obolibrary.org/obo/EUPATH_0011976"
"EAEC aatA-pos or aaiC-pos, by PCR","http://purl.obolibrary.org/obo/EUPATH_0010655","Escherichia in stool","http://purl.obolibrary.org/obo/EUPATH_0011976"
"EIEC ipaH-pos, by PCR","http://purl.obolibrary.org/obo/EUPATH_0010699","Escherichia in stool","http://purl.obolibrary.org/obo/EUPATH_0011976"
"EPEC eae-pos and bfpA-pos, by PCR","http://purl.obolibrary.org/obo/EUPATH_0010707","Escherichia in stool","http://purl.obolibrary.org/obo/EUPATH_0011976"
"ETEC LT-pos ST-neg, by PCR","http://purl.obolibrary.org/obo/EUPATH_0010746","Escherichia in stool","http://purl.obolibrary.org/obo/EUPATH_0011976"
"ETEC ST-pos, by PCR","http://purl.obolibrary.org/obo/EUPATH_0010683","Escherichia in stool","http://purl.obolibrary.org/obo/EUPATH_0011976"
"STEC stx1-pos or stx2-pos, by PCR","http://purl.obolibrary.org/obo/EUPATH_0010817","Escherichia in stool","http://purl.obolibrary.org/obo/EUPATH_0011976"
"Giardia, by ELISA","http://purl.obolibrary.org/obo/EUPATH_0011003","Giardia in stool","http://purl.obolibrary.org/obo/EUPATH_0011962"
"Hymenolepis diminuta, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010726","Hymenolepis in stool","http://purl.obolibrary.org/obo/EUPATH_0011977"
"Hymenolepis nana, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010730","Hymenolepis in stool","http://purl.obolibrary.org/obo/EUPATH_0011977"
"Iodamoeba butschlii, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010738","Iodamoeba in stool","http://purl.obolibrary.org/obo/EUPATH_0011978"
"Isospora, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0011005","Isospora in stool","http://purl.obolibrary.org/obo/EUPATH_0011979"
"Norovirus GI, by qRT-PCR","http://purl.obolibrary.org/obo/EUPATH_0011989","Norovirus in stool","http://purl.obolibrary.org/obo/EUPATH_0011980"
"Norovirus GII, by qRT-PCR","http://purl.obolibrary.org/obo/EUPATH_0011990","Norovirus in stool","http://purl.obolibrary.org/obo/EUPATH_0011980"
"Plesiomonas shigelloides, by bacteriology","http://purl.obolibrary.org/obo/EUPATH_0010789","Plesiomonas in stool","http://purl.obolibrary.org/obo/EUPATH_0011981"
"Rotavirus (post-vax corrected), by ELISA","http://purl.obolibrary.org/obo/EUPATH_0011993","Rotavirus in stool","http://purl.obolibrary.org/obo/EUPATH_0011982"
"Salmonella, by bacteriology","http://purl.obolibrary.org/obo/EUPATH_0010797","Salmonella in stool","http://purl.obolibrary.org/obo/EUPATH_0011983"
"Schistosoma, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010801","Schistosoma in stool","http://purl.obolibrary.org/obo/EUPATH_0030025"
"Shigella, by bacteriology","http://purl.obolibrary.org/obo/EUPATH_0010805","Shigella in stool","http://purl.obolibrary.org/obo/EUPATH_0011984"
"Strongyloides stercoralis, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010809","Strongyloides in stool","http://purl.obolibrary.org/obo/EUPATH_0011963"
"Taenia, by microscopy","http://purl.obolibrary.org/obo/EUPATH_0010821","Taenia in stool","http://purl.obolibrary.org/obo/EUPATH_0011957"
