sid,pid_count,labels,pLabels
OBI_0000661,2,ELISA,Blood meal assay|Pathogen detection assay
NCBITaxon_9606,2,Homo sapiens,blood meal host organism|arthropod attractor role
NCBITaxon_7742,2,Vertebrata,blood meal host organism|arthropod attractor role
PATO_0000462,2,absent,blood meal host presence|presence of pathogen
OBI_0002907,2,aquatic arthropod specimen collection process,device|specimen collection process
PATO_0000033,2,concentration of|group1.concentration of,Insecticide resistance assay|specimen information
EUPATH_0043211,2,geolocation provenance information,Collection|insecticide|group1.insecticide
OBI_0002737,2,organism identification by cytological chromosome examination assay,Organism identification assay|Genotyping assay
PATO_0000467,2,present,blood meal host presence|presence of pathogen
OBI_0002993,2,prevalence of blood meal specimens from a host organism,Blood meal assay|specimen information
OBI_0000911,2,real time reverse-transcription polymerase chain reaction  assay,Pathogen detection assay|Genotyping assay
PATO_0001178,2,resistant to,variant_phenotype|group1.variant_phenotype|Organism under investigation
OBI_0001170,2,reverse transcription polymerase chain reaction assay,Organism identification assay|Genotyping assay
PATO_0001152,2,susceptible toward,variant_phenotype|group1.variant_phenotype|Organism under investigation
CHEBI_4388,3,deltamethrin,resistant to|susceptible toward|insecticide|group1.insecticide
OBI_0003032,3,genotyping by PCR assay,Blood meal assay|Organism identification assay|Genotyping assay
CHEBI_24852,3,group1.insecticide|insecticide,Insecticide resistance assay|specimen information|Organism under investigation
OBI_0002726,3,insecticide resistance by PCR-RELP assay,Blood meal assay|Organism identification assay|Genotyping assay
OBI_0002725,3,insecticide resistance by fluorogenic PCR assay,Pathogen detection assay|Organism identification assay|Genotyping assay
OBI_0000415,4,PCR,Blood meal assay|Pathogen detection assay|Organism identification assay|Genotyping assay
OBI_0600047,4,sequencing assay,Blood meal assay|Pathogen detection assay|Organism identification assay|Genotyping assay
EUPATH_0043155,6,number of input specimens to assay,Insecticide resistance assay|Organism under investigation|Pathogen detection assay|Genotyping assay|Blood meal assay|specimen information
OBI_0001898,7,comment on investigation,Pathogen detection assay|Organism identification assay|Genotyping assay|Collection|Blood meal assay|specimen information|Insecticide resistance assay
