variable	variable2	values	mappedTerm
malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	1	Daily wage/labor
malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	2	Salaried service
malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	3	Self-employed/trade
malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	4	Housewife
malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	5	None
malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	6	:::UNDEF:::
malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	malariabehaviorhouse_data_2020-05-27_1622::occupation_rad	NA	:::UNDEF:::
malariabehaviorhouse_data_2020-05-27_1622::occupation_other	malariabehaviorhouse_data_2020-05-27_1622::occupation_other	CULTIVATION	Farmer	
malariabehaviorhouse_data_2020-05-27_1622::occupation_other	malariabehaviorhouse_data_2020-05-27_1622::occupation_other	DRIVER	Driver
malariabehaviorhouse_data_2020-05-27_1622::occupation_other	malariabehaviorhouse_data_2020-05-27_1622::occupation_other	FARM WORK	Farmer
malariabehaviorhouse_data_2020-05-27_1622::occupation_other	malariabehaviorhouse_data_2020-05-27_1622::occupation_other	FARMER	Farmer
malariabehaviorhouse_data_2020-05-27_1622::occupation_other	malariabehaviorhouse_data_2020-05-27_1622::occupation_other	SOCIAL WORKER	Salaried service	
malariabehaviorhouse_data_2020-05-27_1622::occupation_other	malariabehaviorhouse_data_2020-05-27_1622::occupation_other	STUDENT	Student
malariabehaviorhouse_data_2020-05-27_1622::occupation_other	malariabehaviorhouse_data_2020-05-27_1622::occupation_other	NA	:::UNDEF:::
malariabehaviorhouse_data_2020-05-27_1622::education_rad	malariabehaviorhouse_data_2020-05-27_1622::education_rad	1	None
malariabehaviorhouse_data_2020-05-27_1622::education_rad	malariabehaviorhouse_data_2020-05-27_1622::education_rad	2	Primary
malariabehaviorhouse_data_2020-05-27_1622::education_rad	malariabehaviorhouse_data_2020-05-27_1622::education_rad	3	Secondary
malariabehaviorhouse_data_2020-05-27_1622::education_rad	malariabehaviorhouse_data_2020-05-27_1622::education_rad	4	University
malariabehaviorhouse_data_2020-05-27_1622::electricity_rad	malariabehaviorhouse_data_2020-05-27_1622::electricity_rad	1	Yes
malariabehaviorhouse_data_2020-05-27_1622::electricity_rad	malariabehaviorhouse_data_2020-05-27_1622::electricity_rad	2	No
malariabehaviorhouse_data_2020-05-27_1622::electricity_rad	malariabehaviorhouse_data_2020-05-27_1622::electricity_rad	3	No
malariabehaviorhouse_data_2020-05-27_1622::water_rad	malariabehaviorhouse_data_2020-05-27_1622::water_rad	2	Bore well
malariabehaviorhouse_data_2020-05-27_1622::water_rad	malariabehaviorhouse_data_2020-05-27_1622::water_rad	3	Open well
malariabehaviorhouse_data_2020-05-27_1622::water_rad	malariabehaviorhouse_data_2020-05-27_1622::water_rad	4	Stream/river
malariabehaviorhouse_data_2020-05-27_1622::water_rad	malariabehaviorhouse_data_2020-05-27_1622::water_rad	5	Public tank/pump
malariabehaviorhouse_data_2020-05-27_1622::water_rad	malariabehaviorhouse_data_2020-05-27_1622::water_rad	NA	:::UNDEF:::
malariabehaviorhouse_data_2020-05-27_1622::toilet_rad	malariabehaviorhouse_data_2020-05-27_1622::toilet_rad	1	No toilet for household
malariabehaviorhouse_data_2020-05-27_1622::toilet_rad	malariabehaviorhouse_data_2020-05-27_1622::toilet_rad	2	Pit latrine available
malariabehaviorhouse_data_2020-05-27_1622::toilet_rad	malariabehaviorhouse_data_2020-05-27_1622::toilet_rad	3	:::UNDEF:::
malariabehaviorhouse_data_2020-05-27_1622::toilet_other	malariabehaviorhouse_data_2020-05-27_1622::toilet_other	BUSHES	Bushes/open field
malariabehaviorhouse_data_2020-05-27_1622::toilet_other	malariabehaviorhouse_data_2020-05-27_1622::toilet_other	BUSHES/OPEN FIELD	Bushes/open field
malariabehaviorhouse_data_2020-05-27_1622::toilet_other	malariabehaviorhouse_data_2020-05-27_1622::toilet_other	OPEN FIELD	Bushes/open field
